영화제목,개봉일,키워드,수상내역
0.0MHz,2019-05-29,"웹툰원작,아이돌,미스터리써클,미스터리 탐사,초자연현상,흉가",
007 북경특급 2,2014-05-01,"비밀,경호원,중국,임무",
007 스카이폴,2012-10-26,"속편,시리즈,은퇴,현장,테러범,정보요원,기차","LA비평가협회상(2012) : 촬영상 - 로저 디킨스|골든글로브 시상식(2013) : 주제가상 - 아델, 폴 엡워스|아카데미 시상식(2013) : 주제가상 - 아델, 폴 엡워스|아카데미 시상식(2013) : 음향편집상 - 그렉 P. 러셀, 퍼 할베르그"
007 스펙터,2015-11-11,"007,시리즈",골든글로브 시상식(2016) : 주제가상 -|아카데미 시상식(2016) : 주제가상 -|미국배우조합상(2013) : 영화부문 스턴트 앙상블상 -
009 사이보그,2013-05-09,"유령,전쟁,사이보그,생체실험,세계평화",
10 바이 10,2019-01-03,"과거의 비밀,여자의과거,납치",
10 아이템 오어 레스,2013-06-13,"영화,대형마트,면접,도움",
"10,000km (만 킬로미터)",2015-07-16,,
1000 : 최후의 전사들,2014-11-12,,
100미터,2017-07-20,,
108: 잠들 수 없는 시간,2018-12-04,"정신병원,수면박탈,불면증,생체실험",
108영웅: 전설의 무공,2019-05-23,"진실 찾기,의적,무공,함정,신분위장,최후의 결전,무협,영웅,운명,소설원작",
10분,2014-04-24,"면접,선택,인턴,제안,부장,공공기관,지방이전,정규직,재난훈련,회식,노조지부장,복사기,한국영상자료원","부산국제영화제(2013) : 피프레시(국제영화평론가협회)상 - 이용승|부산국제영화제(2013) : KNN관객상 - 이용승|시네마테크KOFA가 주목한 한국영화(2015) : 선정작 -|들꽃영화상(2015) : 신인감독상 - 이용승|2014 제20회  브졸국제아시아영화제 황금수레바퀴상,'INALCO 스페셜 페이버릿상  2014 제38회 홍콩국제영화제 국제비평가협회상 수상  2014 제17회 상하이 국제 영화제 아시아 신인상 부문 심사위원 특별상 수상  2014 제16회 타이베이영화제 대상 수상"
12 솔져스,2018-01-31,"9.11,탈레반,최정예요원,아프가니스탄,전쟁,특수부대,미군",
120 BPM,2018-03-15,"에이즈,동성애,제약회사,투쟁,파리",뉴욕비평가협회상(2017) : 최우수 외국영화상 - 로뱅 캉필로|LA비평가협회상(2017) : 외국어영화상 - 로뱅 캉필로|칸국제영화제(2017) : 심사위원대상 - 로빈 캉필로|서울프라이드영화제(2017) : 왓챠프라이드상 - 로빈 캉필로
127시간,2011-02-17,"산악등반,생존,조난사고,협곡,낙오/고립,실존인물",로저 이버트 Roger Ebert TOP 10(2010) : 특별언급 -
12번째 솔저,2019-04-11,"제2차세계대전,노르웨이,저항군,생존기,생존자,전쟁,탈출,추격",
12피트,2018-11-08,"수영장,탈출,생존본능,생존기",
13시간,2016-03-03,,
15소년 표류기: 해적섬을 탈출하라,2014-11-27,,
"1789, 바스티유의 연인들",2014-09-18,"뮤지컬,프랑스혁명,공연실황,3D",
18 - 우리들의 성장 느와르,2014-08-14,"1990년대말,부천,고등학생",부천국제판타스틱영화제(2014) : LG하이엔텍 어워드 - 한윤선
18禁 린코 2,2011-11-17,"가난,에로영화,비디오,여배우",
18禁린코,2010-08-12,에로배우,
1918: 크루티 대전투,2019-06-05,"우크라이나,볼셰비키,학도병,자유투쟁",
1919 유관순,2019-03-14,"31운동,3.1운동,유관순,일제강점기,일제시대,일제치하,고문,1919년,1910년대,삼일운동",
1942: 최정예특수부대 스페츠나츠,2016-12-01,,
1987,2017-12-27,"1980년대,1987년,대학생,검사,시위,신문기자,안기부,6월항쟁,박종철,이한열,최루탄,교도관,사건은폐,진상규명,5.18민주화운동,민주화투쟁,군부정권,군부독재,신문사,고문,백골단,명동성당,천주교정의구현사제단,남영동대공분실,국가폭력","제천국제음악영화제(2018) : JIMFF OST - 김태성|황금촬영상 시상식(2018) : 감독상 - 장준환|황금촬영상 시상식(2018) : 최우수 남우주연상 - 김윤석|황금촬영상 시상식(2018) : 최우수 작품상 - 장준환|백상예술대상(2018) : 영화부문 시나리오상 - 김경찬|백상예술대상(2018) : 영화부문 남자 최우수 연기상 - 김윤석|백상예술대상(2018) : 영화부문 남자 조연상 - 박희순|백상예술대상(2018) : 영화부문 대상 -|청룡영화상(2018) : 최우수 작품상 - 장준환|청룡영화상(2018) : 남우주연상 - 김윤석|청룡영화상(2018) : 촬영조명상 - 김우형, 김승규|대종상 영화제(2018) : 기획상 - 이우정|대종상 영화제(2018) : 감독상 - 장준환|한국영화평론가협회상 (영평상)(2018) : 음악상 - 김태성|한국영화평론가협회상 (영평상)(2018) : 영평 11선 -|한국영화평론가협회상 (영평상)(2018) : 최우수작품상 -|시네마테크KOFA가 주목한 한국영화(2018) : 선정작 - 장준환|부일영화상(2018) : 촬영상 - 김우형|올해의 영화상(2018) : 작품상 - 장준환|올해의 영화상(2018) : 감독상 - 장준환|한국영화제작가협회상(2018) : 각본상 - 김경찬|한국영화제작가협회상(2018) : 작품상 -"
"1991, 봄",2018-10-31,"민중저항,거짓,민주화투쟁,군부독재,운동권,간암,유서 대필 조작 사건,민주항쟁",서울독립영화제(2017) : 새로운선택상 - 권경원
"1999, 면회",2013-02-21,"고교동창,군입대,대학신입생,재수생,편지,세친구,친구들,면회,군인,우정",부산국제영화제(2012) : 한국영화감독조합상- 남자배우상 - 안재홍|부산국제영화제(2012) : 한국영화감독조합상- 남자배우상 - 김창환|부산국제영화제(2012) : 한국영화감독조합상- 남자배우상 - 심희섭|서울독립영화제(2012) : 독립스타상-배우부문 - 김창환|제54회 데살로니키국제영화제 각본상 (2013)
19곰 테드,2012-09-27,"왕따,곰인형,음주가무,음담패설",
19곰 테드 2,2015-06-25,,
19금 만남의 목적,2016-08-18,"짝사랑,소개,계획,몰래카메라,정사",
19금 정사: 말할 수 없는 비밀,2016-08-18,"한남자,자매,유혹,살인계획",
19금 특별한 정사,2018-04-24,,
1st 지드래곤 콘서트 - Shine a Light,2010-04-15,"콘서트,공연",
1급기밀,2018-01-24,"고발영화,유작,방산비리,군비리,공군조종사,전투기",황금촬영상 시상식(2018) : 심사위원특별상 - 김상경
1월의 두 얼굴,2014-09-11,"여름,휴가,가이드,살인",
2 데이즈 인 뉴욕,2013-08-29,"뉴욕,프랑스,후속편,로맨스",
2004 서태지 라이브투어 제로,2011-04-23,"서태지,라이브공연,실황",
2008 서태지 심포니 앙코르,2010-09-25,"서태지,오케스트라,협연",
2008 서태지심포니 위드 톨가 카쉬프 로열 필하모닉,2010-01-22,"서태지,공연실황,월드컵경기장,로열필하모닉,런던 왓포드 콜로세움 스튜디오,합주연습,인터뷰",
2010 빅뱅 라이브 콘서트 빅쇼 3D,2011-02-02,"빅뱅,아이돌,팬,콘서트,실황녹화",
2012,2013-06-13,"블록버스터, 재난영화, 지구종말",
2012 - 슈퍼노바,2011-02-24,"비디오영화,NASA,초신성,이상기류,가족,피신,천재지변,사투",
2014 베를린필하모닉 발트뷔네콘서트,2014-08-04,"공연실황,베를린필하모닉",
2014 지구 최후의 날,2014-06-12,,
2017 잘츠부르크 - 티토 황제의 자비,2017-08-13,,
2017복상사,2017-11-09,,
2047: 지구 최후의 날,2015-08-05,,
20년 전의 약속,2011-10-25,"에베레스트,산악,아버지와아들,사진",
20세기소년:최종장-우리들의깃발,2011-01-13,"미스테리,초등학교동창,친구,지구멸망",
21 앤드 오버,2013-12-18,"면접,생일,생일파티,만취,젊음",
22,2018-08-14,"일제,만행,고발,일본군위안부피해자,위안부,종군위안부,항일투쟁,항일운동",
22 블렛,2010-10-14,"마피아,배신,복수",
22년 후의 고백,2018-01-17,"연쇄살인범,공소시효,한국영화리메이크,내가 살인범이다,정병길 감독",
23 아이덴티티,2017-02-22,,
24일,2015-09-24,,
24주,2017-06-15,,베를린국제영화제(2016) : 독일예술영화조합상 - 안네 초라 베라체드
26년,2012-11-29,"1980년,광주민주항쟁,5.185.18민주화운동,광주항쟁,만화원작,복수,실화바탕,5.185.18민주화운동,전두환,한국만화원작,웹툰원작,518,5.185.18민주화운동,5185.18민주화운동,5.18,계엄군,5.18",황금촬영상 시상식(2014) : 심사위원특별남우상 -
28살 미망인의 속옷,2017-11-16,,
28세 미성년,2018-11-21,"시간여행,타임워프,성장영화",
2AM SHOW,2010-12-02,"2AM,콘서트,아이돌",
2차 노출,2013-09-05,"성형외과,스릴러,판타지,트라우마,광기",
2차 세계대전 타임트랙,2016-07-07,,
300: 제국의 부활,2014-03-06,"블록버스터,페르시아,그리스,전투,해전",
303 전투비행단,2019-05-16,"제2차세계대전,실화바탕,공중전,폴란드,독일군,전투기,영국군,비행사",
3096일,2013-09-26,"감금,납치,탈출,8년,사육,학대,실화바탕",
33,2016-04-07,"광산,광부,붕괴,광산 붕괴,실화바탕,칠레,구조",
33리,2013-09-05,"꿈,래퍼,엄마,현실,노력,힙합","부산국제단편영화제 (옛 부산아시아단편영화제, 한국 창작 단편 영화제, 부산단편영화제)(2012) : 기술상 - 조승연|전북독립영화제(2012) : 다부진상(우수상) - 조승연"
3:10 투 유마,2015-10-08,,
400 데이즈,2015-11-12,,
400번의 구타,2016-04-13,"경찰,공원,교도소,네오누아르,누벨바그,도주,소년,파리,학교,롱테이크",뉴욕비평가협회상(1959) : 외국영화상 -|칸국제영화제(1959) : OCIC상 - 프랑소와 트뤼포|칸국제영화제(1959) : 감독상 - 프랑소와 트뤼포
44인치 가슴,2013-08-15,"불륜,내연남,남편,실내극형식",
45년 후,2016-05-05,,전미비평가협회상(2016) : 여우주연상 - 샤롯 램플링|LA비평가협회상(2015) : 여우주연상 - 샤롯 램플링|베를린국제영화제(2015) : 은곰상:남자연기자상 - 톰 커트니|베를린국제영화제(2015) : 은곰상:여자연기자상 - 샤롯 램플링
47미터,2017-07-20,,
48 미터,2013-07-04,"북한,압록강,중국,탈북,삶과죽음,생사고비,생사,실화바탕,실화바탕,인권문제,인권,탈북자,새터민",
4등,2016-04-13,"스포츠,수영선수",부산영화평론가협회상(2016) : 심사위원특별상 - 정지우|대종상 영화제(2016) : 신인남우상 - 정가람|시네마테크KOFA가 주목한 한국영화(2017) : 선정작 - 정지우|올해의 영화상(2017) : 신인남우상 - 정가람
4명의 암살자,2014-12-23,,
5 to 7,2015-11-19,,
5 데이즈 오브 워,2012-12-27,"대통령,개혁,실패,독립",
5 솔저스,2019-02-18,"최정예요원,특수부대,테러집단,테러진압부대,비밀작전,동료의 죽음",
5.18 힌츠페터 스토리,2018-05-17,"5185.18민주화운동,5.185.18민주화운동,5.185.185.18민주화운동,위르겐 힌츠페터,5.18,1980년,5.18,5.185.18민주화운동,518",
50/50,2011-11-24,"척추암,생존율,애인,심리치료사",
500일의 썸머,2016-06-29,"비서,비틀즈,사표,운명,음악,카드,사랑,이별,롤링스톤즈,이케아",
50가지 그림자: 심연,2017-02-09,,
50가지 그림자: 해방,2018-02-21,"시리즈,19금,로맨스",
50가지 욕망의 그림자,2017-11-02,,
50대 장모님의 불타는 사위 사랑,2017-12-04,,
51구역,2011-12-01,"군사기지,네바다,사막,여론,의혹",
577 프로젝트,2012-08-30,"실천,공약,국토대장정,버라이어티,서울,해남,국토종단",
5백만불의 사나이,2012-07-19,"회사원,돈가방,대기업,비자금",
5월 1일,2016-04-28,,
5일의 마중,2014-10-08,"중국문화혁명,기억상실증,중국문화대혁명,기다림,비극,소설바탕,중국소설원작,부부애,가족,기차역,정치범",
5쿼터,2012-08-23,"뇌사상태,장기기증,미식축구,형제",
6 웨이 투 다이,2017-08-31,,
600 결사대,2019-02-28,"상해전투,실화바탕,중일전쟁,최정예요원,군부대,일본군,시가전",
"60년 전, 사선에서",2010-06-24,"6.25,전쟁노병,증언,전우회,625,한국전쟁",
60만번의 트라이,2014-09-18,"스포츠,재일교포,재일교포3세,재일동포,재일조선인,재일한국인,럭비,재일한국인감독,럭비부,오사카조선고급학교,고등학교,조선인고등학교,고등학생","전주국제영화제(2014) : CGV 무비꼴라쥬 배급지원상 - 박사유, 박돈사|정동진독립영화제(2014) : 땡그랑동전상 -"
60일의 썸머,2018-10-25,"가족회복,현대가족관계,가족의사랑,소통부재,갈등과화해,손자,할아버지",
64 파트 1,2017-03-16,,
64 파트 2,2017-04-26,,
6솔져스,2019-05-29,"터키,국경수비대,테러범,특공대원",
71: 벨파스트의 눈물,2016-07-21,,베를린국제영화제(2014) : 특별언급 -|시체스 국제판타스틱 영화제(2014) : 오피셜 판타스틱orbita 특별언급 - 얀 디맨지
7:20 원나잇 포에버,2018-12-19,"불륜,원나잇스탠드",
7공주 대리운전,2015-05-28,"빌라,경매,세입자,대리운전,입소문",
7광구,2011-08-04,"괴물,괴생물체,석유,심해,해저,시추선,괴생명체,입체영화,3D영화",
7년-그들이 없는 언론,2017-01-12,"이명박,언론인,해직,해직통보,해고,공정방송",
7년의 밤,2018-03-28,"살인사건,복수",
7번방의 선물,2013-01-23,"공권력,교도소,누명,동료,부성애,살인누명,여자아이,출입금지,지적장애인,아빠와딸,아버지와딸,장애인",황금촬영상 시상식(2014) : 작품상 -|황금촬영상 시상식(2014) : 최우수남우조연상 -|백상예술대상(2013) : 영화 여자인기상 - 박신혜|백상예술대상(2013) : 영화 대상 - 류승룡|청룡영화상(2013) : 한국영화 최다관객상 -|대종상 영화제(2013) : 심사위원특별상 - 갈소원|대종상 영화제(2013) : 기획상 - 이환경|대종상 영화제(2013) : 남우주연상 - 류승룡|대종상 영화제(2013) : 시나리오상 - 이환경|한국영화평론가협회상 (영평상)(2013) : 여우조연상 - 박신혜
7번째 내가 죽던 날,2017-05-31,",타임루프",
7번째 아들,2015-02-11,,
7월 32일,2010-04-22,"집장촌,섬,창녀촌,부녀,부녀관계,부녀지간,각색,소설원작,가족,가족해체",
7호실,2017-11-15,,
8 마일,2017-05-09,"힙합, 클럽, 디트로이트",아카데미 시상식(2003) : 주제가상 -  Lose Yourself 
8광구: 몬스터의 부활,2014-12-23,,
8년 전쟁: 이란 vs 이라크,2019-04-25,"이란,이라크,8년,전쟁,전쟁영웅,혁명가,지휘관,사령관",
8인: 최후의 결사단,2010-01-21,"1900년대,영웅,혁명,실존인물,암살자,비밀계획,호위",
8인의 수상한 신사들,2017-06-08,,
90분,2012-08-23,"대기업후계자,묘령의여인,유부남,바람둥이,협박,재벌,후계자,성적유희,협박전화,살인미수,용의자",
A 특공대,2010-06-10,"TV시리즈원작,누명,군대,미군,특공대원",
ATM,2012-11-01,"현금인출기,송년회,밀실,살인",
AV스타 납치사건,2012-11-22,"납치,동영상,스타,에로배우,AV,야동,av배우,기자,취재,취재기자,살해,인터넷방송",
B급 며느리,2018-01-17,"고부갈등,시어머니,며느리,가부장제",
CCTV: 은밀한 시선,2019-02-21,"CCTV,몰래카메라,어플리케이션,게임,사랑과 갈등,욕망",
F.O.E.: 에프.오.이.,2014-04-24,,
G-포스: 기니피그 특공대,2010-04-22,"기니피그,말하는 동물,동물,부분애니메이션,특공대,특수요원",
H2: 어느 살인마의 가족 이야기,2010-06-10,"병원,부활,사이코패스,살인마,속편,시리즈,리메이크",
I AM.,2012-06-21,"한류,아이돌,연습생,청춘,뉴욕",
JAM DOCU 강정,2011-12-22,"독립영화,제주도,올레길,해군기지,역사","서울환경영화제(2012) : 아베다 한국환경영화상 대상 - 경순, 최하동하, 최진성, 양동규, 홍형숙, 권효, 정윤석, 김태일"
JK닌자걸스,2019-01-31,"일본아이돌,걸그룹,여성히어로,여고생,연극의영화화,영혼이동,이중생활",
JSA남북공동초등학교,2016-01-21,"초등학생,초등학교,공동경비구역,통일,북한",
K 미싱 킹즈,2015-04-16,,
K-20 괴도가면,2011-10-06,"괴도,가면,잡지기자,명탐정,상속녀",
KM 31,2011-07-14,"쌍둥이,자매,교통사고,교감,환상,환각",
L.A. 팜므파탈,2016-08-25,,
LA 대지진,2017-03-22,,
MB의 추억,2012-10-18,"이명박,경제위기,대통령,유권자",
Mr. 스타벅,2012-09-13,"정자기증,아버지,임신,소송",
Mr. 아이돌,2011-11-03,"가수,가수지망생,노래,노래방,댄스,아이돌,프로듀서,랩퍼,스타,연예계,연예인,보컬,래퍼,가요,음악방송",
O의 정사,2011-12-29,"플룻,룸메이트,교수",
O의 정사 2,2012-01-19,"연극배우,호감,쾌락,변태",
P.S. 걸,2016-02-04,,
P.S. 온리 유,2010-02-25,"전남편,미술대학,옛사랑,연적,교통사고,이혼녀",
PMC: 더 벙커,2018-12-26,"CIA,DMZ,지하벙커,비밀기지,비밀작전,제한시간",
Q-섹스힐링,2012-06-28,"학대,유혹,욕망,매춘",
R.I.P.D. : 알.아이.피.디.,2013-08-22,"살해,경찰살해,중간세계,악령,체포",
R2B: 리턴 투 베이스,2012-08-15,"공군,공군조종사,구출작전,귀순,문제아,전투기,정비공,조종사,전투조종사,에어쇼,북한전투기,위장귀순,비행사,비행,비행기,공습,공습경보,비행기조종사",
S 메이트,2012-10-18,"뉴욕,정자기증,결혼,섹스메이트",
S 중독자의 고백,2011-12-29,"원나잇스탠드,사랑,섹스,면접",
SM작가,2014-02-06,"남편,직업,소설,가학",
SX 테잎,2014-05-29,"예술가,사진사,병원,커플,전시회,출구",
S걸의 덫,2018-04-10,"유흥업소,매춘단속,단속,검사,매춘부",
T-34,2019-06-06,"러시아,독일,탱크,러시아군,독일군,포로",
U.F.O.,2012-05-24,"UFO,고등학생,실종,외계인,유에프오,우주선",시네마디지털서울 영화제(2011) : 무비꼴라쥬상 - 공귀현
U2 3D,2011-10-20,음악,
USS 인디애나폴리스,2019-01-31,"제2차세계대전,실화바탕,함장,비밀임무,대참사",
V/H/S/2 : 악마를 부르는 비디오,2013-08-14,"옴니버스영화,공포영화,비디오,촬영,사립탐정,실종",
V/H/S:죽음을 부르는 비디오,2013-05-02,"비디오테이프,녹화,호러,옴니버스영화",
VJ의 은밀한 사생활,2017-12-25,,
[강연]발성영화를 둘러싼 찬반양론: 일본의 경우,2014-05-31,"발성영화,토키,일본영화,강연,유성영화,변사,일본국제교류기금,한국영상자료원,영상자료원40주년",
"[개막영상]매혹의 배우, 김지미",2017-06-29,"개막영상,개막식,한국영화,영화배우,여배우,한국영상자료원",
"[개막영상]한국영화의 페르소나, 안성기展",2017-04-13,"한국영상자료원,영화배우,한국영화,개막식,개막영상",
●REC,2011-11-24,"게이커플,동성애,성적소수자,이별,퀴어,퀴어무비,셀프카메라,동성애인,동성애자,동성연애자,기념일,비디오,사랑,모텔,정사",
