영화명,개봉일,키워드,수상내역,순번,감독,제작사,수입사,배급사,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,API구분
카페 서울,2010-01-02,"홍대,인사동,보컬,취재,떡,재개발,전통,파티쉐",,4912.0,타케 마사하루,"(주)나이너스엔터테인먼트,레인디어",,(주)나이너스엔터테인먼트,개봉영화,장편,일본,1,"2,359,647",359,"2,240,600",337,드라마,12세이상관람가,독립/예술영화,both
당신을 오랫동안 사랑했어요,2010-01-07,"비밀,수영장,아들,의사,자매,죽음,출소,보호관찰,담배",,3456.0,필립 클로델,,위드시네마,주식회사 마운틴픽쳐스,개봉영화,장편,프랑스,3,"20,401,309","2,858","16,676,000","2,243",드라마,15세이상관람가,독립/예술영화,both
더 로드,2010-01-07,"부자관계,사투,살인,생존,소설원작,재앙,종말,혹한",,1059.0,존 힐코트,,(주)누리픽쳐스,에스케이텔레콤(주),개봉영화,장편,미국,172,"1,303,099,693","176,152","535,743,000","69,037",SF,15세이상관람가,일반영화,both
"시네도키, 뉴욕",2010-01-07,"무대,부부관계,연극,연극감독,연극연출,뉴욕",LA비평가협회상(2008) : 미술상 - 마크 프리드버그(Mark Friedberg)|로저 이버트 Roger Ebert TOP 10(2008) : 18 - 찰리 카우프만,3075.0,찰리 카우프만,,(주)스폰지이엔티,(주)스폰지이엔티,개봉영화,장편,미국,5,"36,604,709","5,001","32,130,000","4,317",드라마,15세이상관람가,독립/예술영화,both
퀼,2010-01-07,,,2810.0,최양일,2004 Quill Film Partners,(주)동아수출공사,주식회사 마운틴픽쳐스,개봉영화,장편,일본,14,"52,551,581","6,860","31,800,000","4,113",드라마,전체관람가,독립/예술영화,both
파라노말 액티비티,2010-01-13,"발자국,초자연현상,카메라,퇴마사,페이크다큐멘터리멘터리,침실,페이크다큐멘터리,시리즈",,725.0,오렌 펠리,브름하우스 프로덕션,㈜코리아스크린,(주)넥스트엔터테인먼트월드(NEW),개봉영화,장편,미국,187,"3,265,135,449","446,510","1,234,133,000","159,569",공포(호러),12세이상관람가,일반영화,both
소규모 아카시아 밴드 이야기,2010-01-14,"보컬,음악,인디밴드,인터뷰,홍대,다큐드라마",전주국제영화제(2009) : JJ-ST★R상 특별언급 - 민환기|- 2009년도 전주국제영화제(제10회) JJ-스타상- 특별언급 수상,4443.0,"민환기,구미정",(주)이모션픽처스,,(주)이모션픽처스,개봉영화,장편,한국,5,"5,721,328",802,"5,152,500",703,다큐멘터리,12세이상관람가,독립/예술영화,both
아빠가 여자를 좋아해,2010-01-14,"과거,분장사,사진작가,포토그래퍼,아들,아버지와아들,남장,남장여자,성정체성,성전환,성전환수술,트랜스젠더",,1054.0,이광재,(주)하리마오픽쳐스,,(주)쇼박스,개봉영화,장편,한국,283,"1,264,356,155","177,535","349,074,500","45,922",멜로/로맨스,12세이상관람가,일반영화,both
웨딩드레스,2010-01-14,"디자이너,모녀지간,싱글맘,웨딩드레스,이별,딸,어머니와딸,엄마와딸,시한부인생,시한부,워킹맘,드레스,암,암선고",,1125.0,권형진,"(주)로드픽쳐스,(주)인벤트스톤",,(주)싸이더스,개봉영화,장편,한국,183,"1,014,636,235","146,148","219,105,000","29,532",드라마,전체관람가,일반영화,both
페어러브,2010-01-14,"고양이,딸,사진기,연애,아빠친구,나이차,친구,친구의죽음,사랑,데이트,노총각,총각,아가씨,빨래,사진,사진기사,사진사",시네마테크KOFA가 주목한 한국영화(2011) : 선정작 - 신연식,1912.0,신연식,"(주) 루스이소니도스,타일씨앤피㈜",,씨제이엔터테인먼트,개봉영화,장편,한국,44,"205,824,062","27,521","115,432,000","15,174",드라마,12세이상관람가,독립/예술영화,both
회복,2010-01-14,"종교,기독교,이스라엘,이슬람교,사건,폭탄",,1098.0,김종철,"(주)더피셔엔터테인먼트,㈜스토리셋",,(주)스폰지이엔티,개봉영화,장편,한국,2,"1,128,545,852","157,793","505,918,500","66,450",다큐멘터리,12세이상관람가,독립/예술영화,both
8인: 최후의 결사단,2010-01-21,"1900년대,영웅,혁명,실존인물,암살자,비밀계획,호위",,1223.0,진덕삼,차이나필름그룹,씨제이엔터테인먼트,씨제이엔터테인먼트,개봉영화,장편,중국,160,"878,708,580","116,788","270,416,000","34,297",액션,15세이상관람가,일반영화,both
공주와 개구리,2010-01-21,"동화원작,왕자,마법,키스",,1261.0,"존 머스커,론 클레멘츠",월트디즈니 애니메이션 스튜디오,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,개봉영화,장편,미국,81,"716,485,106","105,654","299,783,500","41,898",애니메이션,전체관람가,일반영화,both
사사건건,2010-01-21,"남매,단편모음,병원,부분애니메이션,산책,시각장애인,애니메이션,여자친구,잠복,시각상실,아들,낙태,오누이,잠복근무,잠복수사,형사,추억,옛추억,고향친구,소꿉친구",,4172.0,"이정욱,조성희,김영근,홍성훈",KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),개봉영화,옴니버스,한국,6,"7,688,718","1,161","5,605,000",814,드라마,청소년관람불가,독립/예술영화,both
애프터 러브,2010-01-21,"스토킹,크리스마스,전남자친구,장거리연애,신부,상처",,2129.0,파우스토 브리찌,이탈리안인터내셔널필름,라인트리엔터테인먼트,라인트리엔터테인먼트,개봉영화,장편,이탈리아,13,"149,149,711","18,966","123,786,000","15,632",멜로/로맨스,청소년관람불가,독립/예술영화,both
주문진,2010-01-21,"강원도,소녀,유령,주문진,첫사랑,펜션,죽음,연인,사랑,운명적사랑,짝사랑",,1453.0,하명중,(주)하명중 영화제작소,,롯데쇼핑㈜롯데엔터테인먼트,개봉영화,장편,한국,93,"378,219,576","67,167","144,095,300","25,604",드라마,12세이상관람가,일반영화,both
주유소 습격사건 2,2010-01-21,"사장,속편,습격,욕,주유소,직원,종업원,사은품,시리즈",,554.0,김상진,"㈜감독의집,(주)시네마서비스",,(주)시네마서비스,개봉영화,장편,한국,322,"5,466,499,511","742,475","1,378,973,500","176,464",액션,15세이상관람가,일반영화,both
꼬마 니콜라,2010-01-28,"소설원작,악동,말썽꾸러기,동생,소풍",,1013.0,로랑 티라르,피델라이트프로덕션,소서러스어프렌티스(주),(주)프라임엔터테인먼트,개봉영화,장편,프랑스,168,"1,365,849,896","199,851","458,549,500","63,324",가족,전체관람가,일반영화,both
도쿄 랑데뷰,2010-01-28,"노인,인생,젊은이",,5028.0,이케다 치히로,트랜스포머,(주)스폰지이엔티,(주)스폰지이엔티,개봉영화,장편,일본,1,"1,840,903",276,"1,413,000",198,드라마,전체관람가,독립/예술영화,both
셉템버 이슈,2010-01-28,"편집장,디자이너,유명인사,패션,패션디자이너,패션쇼,패션잡지,파티",,2538.0,R.J. 커들러,에이엔이 인디필름,(주)미로비젼,(주)미로비젼,개봉영화,장편,미국,10,"79,992,616","10,367","70,206,700","9,041",다큐멘터리,전체관람가,독립/예술영화,both
하모니,2010-01-28,"교도소,입양,죄수,합창단,아이,자식,아들,어머니와아들,엄마와아들,사형수,교도관,여자교도소,합창,합창대회",춘사영화제(2010) : 신인감독상 - 강대규|춘사영화제(2010) : 신인여우상 - 강예원,157.0,강대규,(주)제이케이필름,,씨제이엔터테인먼트,개봉영화,장편,한국,405,"21,992,266,198","3,068,544","5,451,128,000","718,993",드라마,12세이상관람가,일반영화,both
하우 투 비,2010-01-28,"기타,싱어송라이터,백수,음악",,3488.0,올리버 어빙,하우투비 필름,오드,실버스푼,개봉영화,장편,영국,19,"19,801,390","2,746","8,050,000","1,054",코미디,12세이상관람가,독립/예술영화,both
리키,2010-02-04,"모성애,천사,싱글맘,모녀관계,매스컴",,3042.0,프랑수아 오종,유로와이드 필름,㈜세종커뮤니케이션스,씨제이엔터테인먼트,개봉영화,장편,프랑스,23,"38,680,804","5,102","28,551,000","3,701",코미디,12세이상관람가,독립/예술영화,both
맨 온 와이어,2010-02-04,"실화바탕,뉴욕,공중곡예,인터뷰",뉴욕비평가협회상(2008) : 다큐멘터리상 -|LA비평가협회상(2008) : 다큐멘터리상 -|선댄스영화제(2008) : 심사위원대상(월드다큐멘터리) - 제임스 마쉬(James Marsh)|선댄스영화제(2008) : 관객상(월드시네마) - 제임스 마쉬(James Marsh),4115.0,제임스 마쉬,"디스커버리 필름,비비씨 스토리빌,월투월",(주)영화사 진진,(주)영화사 진진,개봉영화,장편,영국,1,"8,790,515","1,258","8,151,500","1,155",다큐멘터리,12세이상관람가,독립/예술영화,both
어웨이 위 고,2010-02-04,,,2620.0,샘 멘데스,빅비치필름즈,(주)스폰지이엔티,(주)스폰지이엔티,개봉영화,장편,영국,5,"65,773,369","9,100","58,658,700","8,047",드라마,15세이상관람가,독립/예술영화,both
의형제,2010-02-04,"간첩,공작원,국정원,남파공작원,암살,우정,의리,의심,총격,총격전,탈북자,편지,남파간첩",백상예술대상(2010) : 시나리오상 - 장민석|백상예술대상(2010) : 감독상 - 장훈|청룡영화상(2010) : 최우수작품상 - 장훈|한국영화평론가협회상 (영평상)(2010) : 남자연기자상 - 강동원|한국영화평론가협회상 (영평상)(2010) : 감독상 - 장훈,64.0,장훈,"(주)쇼박스,(주)다세포클럽,루비콘픽쳐스㈜",,(주)쇼박스,개봉영화,장편,한국,572,"40,800,867,602","5,507,106","12,204,373,500","1,563,042",드라마,15세이상관람가,일반영화,both
춤추는 꿈틀이 밴드,2010-02-04,"디스코,지렁이,기타,밴드,콘테스트",,2485.0,토마스 보르히 닐슨,디스코 오르메네,(주)케이앤엔터테인먼트,에이원엔터테인먼트,개봉영화,장편,덴마크,48,"74,013,035","11,061","23,609,000","3,481",애니메이션,전체관람가,일반영화,both
헤이트 발렌타인데이,2010-02-04,"계약연애,데이트,하룻밤,발렌타인데이",,2221.0,니아 발다로스,블루스타 픽쳐스,㈜케이디미디어,㈜케이디미디어,개봉영화,장편,미국,74,"127,687,241","16,566","63,328,500","7,895",멜로/로맨스,12세이상관람가,일반영화,both
남극의 쉐프,2010-02-11,"기러기아빠,남극,요리사,음식",,3311.0,오키타 슈이치,Parade,(주)스폰지이엔티,(주)스폰지이엔티,개봉영화,장편,일본,1,"25,129,544","3,530","23,407,000","3,201",코미디,전체관람가,독립/예술영화,both
발렌타인 데이,2010-02-11,"발렌타인데이,프로포즈,데이트,고백,연애",,1067.0,게리 마샬,"뉴라인 시네마,카쯔 엔터테인먼트",워너브러더스 코리아(주),워너브러더스 코리아(주),개봉영화,장편,미국,200,"1,337,699,931","172,997","708,218,500","88,323",멜로/로맨스,15세이상관람가,일반영화,both
울프맨,2010-02-11,"늑대인간,괴수,보름달,귀족,1980년대","아카데미 시상식(2011) : 분장상 - 릭 베이커, 데이브 엘시",899.0,조 존스톤,유니버셜 픽쳐스,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),개봉영화,장편,미국,266,"2,099,396,881","270,683","664,052,500","81,066",공포(호러),청소년관람불가,일반영화,both
키사라기 미키짱,2010-02-11,"자살,반전,열성팬,추모",,3865.0,사토 유이치,키사라기 필름 파트너,주식회사 마운틴픽쳐스,주식회사 마운틴픽쳐스,개봉영화,장편,일본,7,"12,004,983","1,672","7,835,500","1,030",코미디,12세이상관람가,독립/예술영화,both
하늘에서 음식이 내린다면,2010-02-11,"음식,핫도그,발명,아이스크림,젤리,햄버거",,577.0,"필 로드,크리스 밀러",소니 픽쳐스 애니메이션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,개봉영화,장편,미국,281,"5,500,218,152","665,096","1,686,106,500","187,169",애니메이션,전체관람가,일반영화,both
위핏,2010-02-18,"롤러스케이트,미인대회,인디밴드",,1786.0,드류 베리모어,맨데이트 픽쳐스,㈜에스앤엠코리아,롯데쇼핑㈜롯데엔터테인먼트,개봉영화,장편,미국,124,"225,133,182","35,241","60,210,000","8,993",드라마,12세이상관람가,일반영화,both
