,영화명,개봉일,감독,"API구분(left=kmdb, right=영진위)"
11879,퍼니 게임,2009-10-08,미카엘 하네케,right_only
12077,푸른 강은 흘러라,2009-10-08,강미자,right_only
5069,북극의 눈물,2009-10-15,"허태정,조준묵",right_only
7463,알제리 전투,2009-10-15,질로 폰테코르보,right_only
1248,까칠한 그녀의 달콤한 연애비법,2009-10-22,니샤 가나트라,right_only
4606,바스터즈: 거친 녀석들,2009-10-28,쿠엔틴 타란티노,right_only
11816,파주,2009-10-28,박찬옥,right_only
2416,더 코브: 슬픈 돌고래의 진실,2009-10-29,루이 시호요스,right_only
8270,여행자,2009-10-29,우니 르콩트,right_only
1596,내 눈에 콩깍지,2009-11-05,이장수,right_only
10346,집행자,2009-11-05,최진호,right_only
10604,청담보살,2009-11-11,김진영,right_only
34,19-Nineteen,2009-11-12,장용우,right_only
65,2012,2009-11-12,롤랜드 에머리히,right_only
10542,천국의 우편배달부,2009-11-12,이형민,right_only
824,귀없는 토끼,2009-11-19,틸 슈바이거,right_only
4767,백야행,2009-11-19,박신우,right_only
5244,브로큰 임브레이스,2009-11-19,페드로 알모도바르,right_only
1346,나는 행복합니다,2009-11-26,윤종찬,right_only
2031,닌자 어쌔신,2009-11-26,제임스 맥티그,right_only
2343,더 문,2009-11-26,던칸 존스,right_only
4560,바람,2009-11-26,이성한,right_only
11212,크리스마스 캐롤,2009-11-26,로버트 저메키스,right_only
12782,홍길동의 후예,2009-11-26,정용기,right_only
1995,뉴 문,2009-12-02,크리스 웨이츠,right_only
6736,시간의 춤,2009-12-03,송일곤,right_only
6798,시크릿,2009-12-03,윤재구,right_only
7977,에반게리온: 파,2009-12-03,"마샤유키,츠루마키 카즈야",right_only
8972,위대한 침묵,2009-12-03,필립 그로닝,right_only
378,감자심포니,2009-12-10,전용택,right_only
1323,나는 곤경에 처했다!,2009-12-10,소상민,right_only
1787,너와 나의 21세기,2009-12-10,류형기,right_only
3362,로망은 없다,2009-12-10,"박재옥,수경,홍은지",right_only
4088,모범시민,2009-12-10,F. 게리 그레이,right_only
8086,엘라의 계곡,2009-12-10,폴 해기스,right_only
8167,여배우들,2009-12-10,이재용,right_only
8208,여자 없는 세상,2009-12-10,송재윤,right_only
8937,웰컴,2009-12-10,필립 리오레,right_only
10213,줄리 & 줄리아,2009-12-10,노라 에프론,right_only
520,걸프렌즈,2009-12-17,강석범,right_only
1219,기죽지 마라,2009-12-17,김형진,right_only
5546,사람을 찾습니다,2009-12-17,이서,right_only
7206,아바타,2009-12-17,제임스 카메론,right_only
9546,일렉트릭 미스트,2009-12-17,베르트랑 타베르니에,right_only
10158,좋아서 만든 영화,2009-12-17,"고달우,김모모",right_only
10539,천국의 속삭임,2009-12-17,크리스티아노 보르토네,right_only
10804,친구사이?,2009-12-17,김조광수,right_only
6168,셜록 홈즈,2009-12-23,가이 리치,right_only
9799,전우치,2009-12-23,최동훈,right_only
11752,파르나서스 박사의 상상극장,2009-12-23,테리 길리엄,right_only
8559,올웨이스 비보이,2009-12-24,권우탁,right_only
11836,판타스틱 Mr. 폭스,2009-12-24,웨스 앤더슨,right_only
12013,포켓 몬스터 DP: 아르세우스 초극의 시공으로,2009-12-24,유야마 쿠니히코,right_only
7555,앨빈과 슈퍼밴드2,2009-12-30,베티 토머스,right_only
1471,나인,2009-12-31,롭 마샬,right_only
3127,러브 매니지먼트,2009-12-31,스티븐 벨버,right_only
1080,극장판 파워레인저: 엔진포스 vs 와일드 스피릿,2010-01-07,,left_only
1126,극장판파워레인저 엔진포스VS 와일드스피릿,2010-01-07,모로타 사토시,right_only
7005,쏘우 - 여섯 번의 기회,2010-01-07,,left_only
