movieNm,movieDrKofic,prodCompany,impCompany,distCompany,openDtKofic,State,longShort,nationNm,screenCnt,salesAcc,audiAcc,salesSeoul,audiSeoul,genres,watchGrade,classify,movieOriNm,openDtTMDB,movieDrTMDB,budget,ori_lang,series,crewData,castData,keyWord,_merge
1987,장준환,(주)우정필름,,씨제이이앤엠(주),2017-12-27,개봉영화,장편,한국,1299.0,58165581145.0,7231638.0,14638920495.0,1776877.0,드라마,15세이상관람가,일반영화,,,,,,,,,,left_only
킹스맨골든서클,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-09-27,개봉영화,장편,미국,1687.0,40987484736.0,4945484.0,12306638886.0,1419759.0,액션,청소년관람불가,일반영화,,,,,,,,,,left_only
주토피아,"바이론 하워드,리치 무어",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-02-17,개봉영화,장편,미국,661.0,37077444042.0,4703245.0,12142771642.0,1465960.0,애니메이션,전체관람가,일반영화,,,,,,,,,,left_only
해리포터와죽음의성물2,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-07-13,개봉영화,장편,미국,757.0,34507819000.0,4400298.0,11183806000.0,1361311.0,판타지,전체관람가,일반영화,,,,,,,,,,left_only
전우치,최동훈,영화사 집,,씨제이엔터테인먼트,2009-12-23,개봉영화,장편,한국,606.0,26770717436.0,3671356.0,7781335500.0,1009619.0,액션,12세이상관람가,일반영화,,,,,,,,,,left_only
리얼스틸,숀 레비,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-10-12,개봉영화,장편,미국,603.0,26566677000.0,3579666.0,8578776500.0,1090591.0,액션,12세이상관람가,일반영화,,,,,,,,,,left_only
슈퍼배드3,"피에르 꼬팽,카일 발다",,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-07-26,개봉영화,장편,미국,1057.0,24216987019.0,3324861.0,5558252919.0,723552.0,애니메이션,전체관람가,일반영화,,,,,,,,,,left_only
호빗뜻밖의여정,피터 잭슨,,워너브러더스 코리아(주),워너브러더스 코리아(주),2012-12-13,개봉영화,장편,미국,1028.0,23436820716.0,2818993.0,8241919216.0,910976.0,어드벤처,12세이상관람가,일반영화,,,,,,,,,,left_only
해리포터와죽음의성물1,데이빗 예이츠,헤이데이필름,워너브러더스 코리아(주),워너브러더스 코리아(주),2010-12-15,개봉영화,장편,미국,718.0,19906900266.0,2809053.0,6430256500.0,866701.0,미스터리,전체관람가,일반영화,,,,,,,,,,left_only
나우유씨미마술사기단,루이스 리테리어,,데이지엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2013-08-22,개봉영화,장편,미국,691.0,19146691869.0,2718227.0,6322143282.0,855244.0,범죄,12세이상관람가,일반영화,,,,,,,,,,left_only
트랜스포머최후의기사,마이클 베이,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2017-06-21,개봉영화,장편,미국,1739.0,21501959228.0,2614601.0,5273073728.0,609345.0,액션,12세이상관람가,일반영화,,,,,,,,,,left_only
맘마미아2,올 파커,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-08-08,개봉영화,장편,미국,750.0,19532365003.0,2285143.0,6377571153.0,732343.0,뮤지컬,12세이상관람가,일반영화,,,,,,,,,,left_only
나잇데이,제임스 맨골드,"뉴리전시 픽쳐스,리젠시 엔터프라이즈,이십세기폭스필름코퍼레이션,트리 라인 필름,로드레벨,핑크",이십세기폭스코리아(주),이십세기폭스코리아(주),2010-06-24,개봉영화,장편,미국,501.0,17054262425.0,2282191.0,6032890000.0,771899.0,액션,15세이상관람가,일반영화,,,,,,,,,,left_only
이클립스,데이빗 슬레이드,서미트 엔터티인먼트,판씨네마(주),(주)넥스트엔터테인먼트월드(NEW),2010-07-07,개봉영화,장편,미국,535.0,15192541723.0,2105050.0,4906227000.0,648625.0,판타지,12세이상관람가,일반영화,,,,,,,,,,left_only
