movieNm,openDt,audiAcc,companyNm,directorNm,directorNmEn,genreNm,movieNmEn,nationNm,peopleNm,showTm,watchGradeNm,keywords,plot,awards,budget,ori_lang,series,crewData,castData,keyWord,_merge
킹스맨골든서클,2017-09-27,4945484.0,['이십세기폭스코리아(주)'],매튜 본,matthewvaughn,"['액션', '어드벤처', '코미디']",kingsmanthegoldencircle,"['미국', '영국']","[('콜린 퍼스', ''), ('줄리안 무어', ''), ('태런 에저튼', ''), ('마크 스트롱', ''), ('할리 베리', ''), ('엘튼 존', ''), ('채닝 테이텀', ''), ('제프 브리지스', '')]",140.0,청소년관람불가,,"킹스맨 본부의 파괴! 더 강력해진 범죄조직 골든서클의 등장!철저하게 비밀에 둘러싸인 채 세상을 안전하게 지키는 임무를 수행해온 독자적인 국제 정보 조직 킹스맨. 그러나 어느 날 국제적 범죄조직 골든 서클에 의해 킹스맨 본부가 무참히 파괴된다.에그시(태런 에저튼)와 멀린(마크 스트롱)은 킹스맨 ‘최후의 날’ 규약에 따라 발견된 위스키 병에서 ‘미국 켄터키’라는 키워드를 얻게 되고, 그 곳에서 형제 조직인 스테이츠맨의 존재를 알게 된다.전 세계를 장악하기 위해 위협적인 비지니스를 추진 중인 골든 서클과 수장 포피(줄리안 무어).이들의 계획을 막기 위한 킹스맨과 스테이츠맨의 작전이 시작된다",,,,,,,,left_only
주토피아,2016-02-17,4703245.0,['월트디즈니컴퍼니코리아(주)'],바이론 하워드,byronhoward,"['애니메이션', '액션', '어드벤처']",zootopia,['미국'],"[('지니퍼 굿윈', ''), ('제이슨 베이트먼', ''), ('샤키라', '')]",108.0,전체관람가,,누구나 살고싶은 도시 1위 주토피아에서 일어난 의문의 연쇄실종 사건 수사를 맡게 된 토끼 경찰관 ‘주디 홉스’와 본의 아니게 파트너가 된 여우 사기꾼 ‘닉 와일드’의 숨막히는 추적을 그린 애니메이션.,"뉴욕비평가협회상(2016) : 애니메이션상 - 바이런 하워드, 리치 무어|골든글로브 시상식(2017) : 장편애니메이션상 -|아카데미 시상식(2017) : 장편애니메이션상 - 바이런 하워드",,,,,,,left_only
해리포터와죽음의성물2,2011-07-13,4400298.0,['워너브러더스 코리아(주)'],데이빗 예이츠,davidyates,"['판타지', '미스터리']",harrypotterandthedeathlyhallowspart2,['미국'],"[('다니엘 래드클리프', '해리 포터 '), ('엠마 왓슨', '헤르미온느'), ('루퍼트 그린트', '론 웨슬리')]",131.0,전체관람가,"마법사,소설원작,속편,시리즈,전쟁,지팡이,해리포터,성물,마법학교,영국소설원작,기차","모든 것을 끝낼 최후의 전투! 판타지의 아름다운 역사가 드디어 마침표를 찍는다!덤블도어 교장이 남긴 ‘죽음의 성물’의 단서를 쫓던 해리 포터는 볼드모트가 그토록 찾아 다닌 절대적인 힘을 가진 지팡이의 비밀을 통해 드디어 마지막 퍼즐을 완성한다. 볼드모트의 영혼이 담긴 다섯 번째 ‘호크룩스’를 찾기 위해 마법학교 호그와트로 돌아온 해리와 친구들은 그들을 잡으려는 보안마법에 걸려 위기를 맞지만 덤블도어의 동생인 에버포스의 도움으로 벗어난다. 그리고 그에게서 덤블도어와 어둠의 마법사 그린델왈드에 관한 놀라운 과거에 대해 알게 된다. 한편, 볼드모트는 해리에 의해 호크룩스들이 파괴되었음을 느끼고 호그와트로 향한다. 해리를 주축으로 한 불사조 기사단과 죽음을 먹는 자들 간의 마법전투가 벌어지고 여기에 거대거미 아크로맨투라와 거인족 등 마법 생물들이 볼드모트 편으로 가세하면서 호그와트는 거대한 전쟁터로 변한다. 전쟁의 틈에서 해리는 덤블도어를 죽인 스네이프의 엄청난 비밀과 볼드모트를 죽일 마지막 호크룩스에 대한 단서를 알게 되는데...",로저 이버트 Roger Ebert TOP 10(2011) : 16 -|미국배우조합상(2012) : 영화부문 스턴트 앙상블상 -,,,,,,,left_only
리얼스틸,2011-10-12,3579666.0,['한국소니픽쳐스릴리징브에나비스타영화㈜'],숀 레비,shawnlevy,"['액션', '드라마', 'SF']",realsteel,['미국'],"[('휴 잭맨', '')]",127.0,12세이상관람가,"로봇,복싱,챔피언타이틀,링,프로모터","치열한 로봇복싱의 세계를 그려낸 SF 리얼 블록버스터 로봇 파이터의 불가능한 도전이 시작된다!  2020년. 관중들의 뜨거운 열기로 가득 찬 복싱 경기장. 링 위에서 숨막히는 승부를 펼치는 이들은… 인간이 아닌 로봇 복서들이다! 찰리 켄튼 (휴 잭맨 분)은 챔피언 타이틀 도전에 실패한 전직 복서로, 무려 900kg에 2m 50cm가 넘는 거대한 로봇들이 사각의 링을 지배하는 시대를 살아가고 있다. 이제 삼류 프로모터가 되어버린 찰리는 겨우 번 돈으로 구입한 고철덩이리를 로봇 복서로 만들어, 지하의 복싱세계에서 벗어나 재기하려 한다. 나락으로 떨어진 찰리는 그동안 거리가 멀어졌던 자신의 아들 맥스 (다코다 고요)와 함께 팀을 이루어 대회에 출전시킬 도전자를 만들고 훈련시킨다. 잔인하고 무자비한 사각의 링을 배경으로, 찰리와 맥스는 모든 역경에도 불구하고 재기를 위한 마지막 도전에 나선다. 이 영화는  박물관이 살아 있다  시리즈와  브로큰 데이트 를 연출한 숀 레비가 감독을 맡았다.",,,,,,,,left_only
슈퍼배드3,2017-07-26,3324861.0,['유니버설픽쳐스인터내셔널 코리아(유)'],피에르 꼬팽,pierrecoffin,['애니메이션'],despicableme3,['미국'],"[('스티브 카렐', ''), ('크리스틴 위그', ''), ('트레이 파커', '')]",89.0,전체관람가,,"전 세계를 점령할 놈들이 온다!최고의 악당만을 보스로 섬기는 ‘미니언’  가족을 위해 악당 은퇴를 선언한 ‘그루’    그루의 배신에 실망한 미니언들은  스스로 악당이 되기 위해 그루를 떠난다.    한편, 같은 얼굴 다른 스펙의 쌍둥이 동생 ‘드루’의 등장으로 인해  그루는 자신이 역사상 가장 위대한 악당 가문의 후예임을 알게 되고,  거부할 수 없는 슈퍼배드의 운명을 따르게 되는데…    돌아온 그루와 미니언들은  다시 함께할 수 있을까?",,,,,,,,left_only
호빗뜻밖의여정,2012-12-13,2818993.0,['워너브러더스 코리아(주)'],피터 잭슨,peterjackson,"['어드벤처', '판타지']",thehobbitanunexpectedjourney,"['미국', '뉴질랜드']","[('마틴 프리먼', '빌보 배긴스'), ('이안 맥켈런', '간달프'), ('리차드 아미티지', ''), ('케이트 블란쳇', ''), ('크리스토퍼 리', ''), ('일라이저 우드', ''), ('앤디 서키스', ''), ('휴고 위빙', ''), ('베네딕트 컴버배치', '')]",169.0,12세이상관람가,"마법사,난쟁이,황무지,용사,반지","J.J.R 톨킨의 소설 `반지의 제왕`의 전편 격으로 알려진 소설 `호빗`을 영화한 작품이다. 무서운 용 스마우그가 지키고 있는 보물을 차지하기 위해 호빗 빌보와 동료들이 겪는 모험담으로 두 편의 시리즈로 제작된다.호빗족 ‘빌보 배긴스’는 어느 날 갑자기 찾아온 회색의 마법사 ‘간달프’로부터 뜻밖의 제안을 받는다.  오래 전 난쟁이족의 영토였지만 무시무시한 용 ‘스마우그’에게 빼앗겨 지금은 황무지로 변한 동쪽의 ‘외로운 산’ 에레보르 왕국을 되찾기 위해 함께 떠나자는 것.  어쩔 수 없이 전설의 용사 ‘소린’이 이끄는 13명의 난쟁이족과 함께 고블린과 오르크, 흉악한 괴수 와르그, 마법사들과 마주쳐야 하는 위험 가득한 여정에 오른다.  외로운 산에 가기 위해서 반드시 거쳐야 하는 고블린 동굴에서 일행과 떨어져 헤매던 빌보는 그의 일생을 뒤바꿔놓는 존재인 ‘골룸’과 마주치게 되고, 골룸과의 수수께끼 대결 끝에 대단한 힘을 지닌 골룸의 보물 ‘절대반지’를 얻게 된다.  험난한 여행의 길에서 빌보는 그 동안 자신도 몰랐던 용기와 능력을 발견하지만, 바로 그 절대반지로 인해 아직 짐작도 못할 중간계의 거대한 운명에 휘말리게 되는데…",,,,,,,,left_only
해리포터와죽음의성물1,2010-12-15,2809053.0,['워너브러더스 코리아(주)'],데이빗 예이츠,davidyates,"['미스터리', '판타지']",harrypotterandthedeathlyhallowsparti,['미국'],"[('다니엘 래드클리프', '해리 포터'), ('엠마 왓슨', '헤르미온느'), ('루퍼트 그린트', '론 웨슬리')]",146.0,전체관람가,"소설원작,해리포터,호그와트,성물,마지막대결,영국소설원작,속편,시리즈","덤블도어 교장의 죽음 이후, 마법부는 죽음을 먹는 자들에게 점령당하고 호그와트는 위기에 빠진다. 이에 해리와 론, 헤르미온느는 볼드모트를 물리칠 수 있는 유일한 단서이자 그의 영혼이 담긴 ‘성물’ 호크룩스를 찾기 위한 위험한 여정에 나선다. 그러나 영혼이 연결되어 있는 볼드모트와 해리. 볼드모트를 파괴하면 해리의 목숨 또한 위태로워질지 모른다! 죽느냐 죽이느냐, 이제 그 마지막 대결은 극한을 향해 치닫는데…",,,,,,,,left_only
나우유씨미마술사기단,2013-08-22,2718227.0,['롯데쇼핑㈜롯데엔터테인먼트'],루이스 리테리어,louisleterrier,"['범죄', '액션', '스릴러']",nowyouseeme,['미국'],"[('제시 아이젠버그', '마이클 아틀라스'), ('마크 러팔로', '딜런 홉스'), ('우디 해럴슨', '메리트 오스본'), ('멜라니 로랑', '알마 바르가스'), ('아일라 피셔', '헨리'), ('데이브 프랑코', '잭'), ('마이클 케인', '아서 트레슬러'), ('모건 프리먼', '타데우스 브래들리')]",115.0,12세이상관람가,"FBI,라스베가스,마술,마술사,복수,두뇌싸움,마술쇼,인터폴",단 3초 만에 은행이 털렸다!1년 전 만해도 무명이었던 길거리 마술사 '포 호스맨'은 단 3초만에 파리 은행의 비자금을 통째로 털어 관객들에게 뿌리는 매직쇼를 성공시켜 전세계의 이목을 끈다. 하지만 이것은 '시선 끌기'였을 뿐! 포 호스맨의 범행은 점점 더 거대해지고 치밀해지는데... 전세계를 무대로 한 통쾌하고 짜릿한 완전범죄 매직쇼가 시작된다!,,,,,,,,left_only
트랜스포머최후의기사,2017-06-21,2614601.0,['롯데쇼핑㈜롯데엔터테인먼트'],마이클 베이,michaelbay,"['액션', '어드벤처', 'SF']",transformersthelastknight,['미국'],"[('마크 월버그', ''), ('안소니 홉킨스', ''), ('로라 하드독', ''), ('조쉬 더하멜', '')]",150.0,12세이상관람가,,"두 세상의 충돌, 하나만 살아남는다!옵티머스 프라임은 더 이상 인간의 편이 아니다.  트랜스포머의 고향 사이버트론의 재건을 위해 지구에 있는 고대 유물을 찾아나선 옵티머스 프라임은 인류와 피할 수 없는 갈등을 빚고, 오랜 동료 범블비와도 치명적인 대결을 해야만 하는데…    영원한 영웅은 없다!  하나의 세상이 존재하기 위해선 다른 세상이 멸망해야 한다!",,,,,,,,left_only
맘마미아2,2018-08-08,2285143.0,['유니버설픽쳐스인터내셔널 코리아(유)'],올 파커,olparker,['뮤지컬'],mammamiaherewegoagain,['미국'],"[('아만다 사이프리드', ''), ('릴리 제임스', ''), ('메릴 스트립', ''), ('피어스 브로스넌', ''), ('제레미 어바인', ''), ('콜린 퍼스', ''), ('휴 스키너', ''), ('스텔란 스카스가드', ''), ('조쉬 딜란', ''), ('줄리 월터스', ''), ('알렉사 데이비스', ''), ('크리스틴 바란스키', ''), ('제시카 키나 윈', ''), ('도미닉 쿠퍼', ''), ('셰어', ''), ('앤디 가르시아', ''), ('리차드 커티스', '시나리오(각본)'), ('캐서린 존슨', '시나리오(각본)'), ('올 파커', '시나리오(각본)')]",113.0,12세이상관람가,"뮤지컬영화,홀로서기,옛추억,한여름","전세계가 사랑한 최고의 뮤지컬 영화가 돌아온다!스카이(도미닉 쿠퍼)와의 행복한 여행이 끝나고, 마침내 그리스 칼로카이리 섬으로 돌아온 소피(아만다 사이프리드). 그녀는 엄마 도나(메릴 스트립)가 운영하던 호텔의 재개장을 준비하며 홀로서기를 결심한다.소피를 도와주기 위해 찾아온 도나의 오랜 친구 타냐와 로지, 그리고 그녀의 사랑스러운 세 아빠들(?) 샘, 해리, 빌까지! 소피는 이들과 소중한 시간을 함께 보내며, 한 번도 들은 적 없던 도나의 찬란했던 20대 추억을 들여다보게 된다.그리고 그들 앞에 뜻밖의 손님, 할머니 루비 셰리던(셰어)이 찾아오고, 영원히 잊지 못할 한여름의 파티가 시작되는데...올 여름, 인생 최고의 순간이 찾아옵니다!",,,,,,,,left_only
