TITLE,OPEN_DT,CMT_SCORE
명량,2014-07-30,-0.0006
극한직업,2019-01-23,0.0847
신과함께-죄와 벌,2017-12-20,-0.007
국제시장,2014-12-17,-0.009
베테랑,2015-08-05,0.0423
도둑들,2012-07-25,-0.0057
7번방의 선물,2013-01-23,0.0506
암살,2015-07-22,0.0385
"광해, 왕이 된 남자",2012-09-13,0.054
신과함께-인과 연,2018-08-01,0.0021
택시운전사,2017-08-02,-0.0102
부산행,2016-07-20,-0.0163
변호인,2013-12-18,-0.0107
어벤져스: 인피니티 워,2018-04-25,0.0174
어벤져스: 에이지 오브 울트론,2015-04-23,0.0087
겨울왕국,2014-01-16,0.0897
인터스텔라,2014-11-06,0.0198
보헤미안 랩소디,2018-10-31,0.2174
검사외전,2016-02-03,0.0337
관상,2013-09-11,0.0435
아이언맨 3,2013-04-25,0.0061
설국열차,2013-08-01,-0.0211
캡틴 아메리카: 시빌 워,2016-04-27,-0.021
수상한 그녀,2014-01-22,0.0594
해적: 바다로 간 산적,2014-08-06,0.0386
공조,2017-01-18,0.1011
트랜스포머 3,2011-06-29,0.0117
히말라야,2015-12-16,0.0421
미션임파서블:고스트프로토콜,2011-12-15,0.0732
밀정,2016-09-07,0.0113
최종병기 활,2011-08-10,0.0499
써니,2011-05-04,0.0798
스파이더맨: 홈 커밍,2017-07-05,0.0437
1987,2017-12-27,-0.0033
베를린,2013-01-30,0.0226
마스터,2016-12-21,0.0497
터널,2016-08-10,-0.0128
어벤져스,2012-04-26,0.0175
내부자들,2015-11-19,-0.0229
인천상륙작전,2016-07-27,-0.0194
럭키,2016-10-13,0.0508
은밀하게 위대하게,2013-06-05,-0.0012
곡성,2016-05-12,0.005
범죄도시,2017-10-03,0.0513
늑대소년,2012-10-31,0.0515
군함도,2017-07-26,-0.022
미션 임파서블: 폴아웃,2018-07-25,0.0508
다크 나이트 라이즈,2012-07-19,-0.005
아저씨,2010-08-04,0.0208
사도,2015-09-16,-0.0216
미션 임파서블: 로그네이션,2015-07-30,0.098
킹스맨 : 시크릿 에이전트,2015-02-11,0.375
연평해전,2015-06-24,-0.0275
인셉션,2010-07-21,0.0202
레미제라블,2012-12-19,0.075
쥬라기 월드: 폴른 킹덤,2018-06-06,0.0957
청년경찰,2017-08-09,0.0294
숨바꼭질,2013-08-14,-0.0279
덕혜옹주,2016-08-03,-0.0194
더 테러 라이브,2013-07-31,-0.02
캡틴 마블,2019-03-06,-0.0356
의형제,2010-02-04,0.0788
감시자들,2013-07-03,0.01
앤트맨과 와스프,2018-07-04,0.0347
닥터 스트레인지,2016-10-26,0.0354
검은 사제들,2015-11-05,0.0522
안시성,2018-09-19,0.0132
블랙 팬서,2018-02-14,0.0644
더 킹,2017-01-18,0.0184
완득이,2011-10-20,0.0662
트랜스포머: 사라진 시대,2014-06-25,-0.0283
완벽한 타인,2018-10-31,0.296
월드 워 Z,2013-06-20,-0.015
타워,2012-12-25,0.0177
미녀와 야수,2017-03-16,0.2613
독전,2018-05-22,-0.0264
쿵푸팬더 2,2011-05-26,0.0403
아쿠아맨,2018-12-19,0.0049
공작,2018-08-08,0.0472
인사이드 아웃,2015-07-09,0.1159
킹스맨: 골든 서클,2017-09-27,0.0271
바람과 함께 사라지다,2012-08-08,0.1562
마션,2015-10-08,0.0373
토르: 라그나로크,2017-10-25,0.0913
어메이징 스파이더맨,2012-06-28,0.0179
"님아, 그 강을 건너지 마오",2014-11-27,0.1361
조선명탐정 : 각시투구꽃의 비밀,2011-01-27,0.0579
군도: 민란의 시대,2014-07-23,0.0224
범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,-0.0264
주토피아,2016-02-17,0.1543
엣지 오브 투모로우,2014-06-04,0.0959
신세계,2013-02-21,0.0515
신비한 동물사전,2016-11-16,0.1208
내 아내의 모든 것,2012-05-17,0.1875
판도라,2016-12-07,-0.0683
연가시,2012-07-05,-0.0233
강철비,2017-12-14,-0.013
해리포터와 죽음의 성물2,2011-07-13,-0.0034
엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,0.065
아가씨,2016-06-01,0.0571
어메이징 스파이더맨 2,2014-04-23,0.0361
용의자,2013-12-24,0.0344
건축학개론,2012-03-22,0.0582
댄싱퀸,2012-01-18,0.0785
꾼,2017-11-22,0.1242
혹성탈출: 반격의 서막,2014-07-10,0.0226
타짜-신의 손,2014-09-03,-0.0101
쿵푸팬더3,2016-01-28,0.1261
캡틴 아메리카: 윈터 솔져,2014-03-26,0.0484
박수건달,2013-01-09,0.0595
베놈,2018-10-03,0.0
조선명탐정 : 사라진 놉의 딸,2015-02-11,0.0677
역린,2014-04-30,0.0281
매드 맥스: 분노의 도로,2015-05-14,0.0471
남한산성,2017-10-03,-0.0239
데드풀 2,2018-05-16,0.0101
암수살인,2018-10-03,-0.1125
국가부도의 날,2018-11-28,-0.0224
미이라,2017-06-06,0.0057
분노의 질주: 더 익스트림,2017-04-12,0.0152
너의 이름은.,2017-01-04,0.0497
인턴,2015-09-24,0.4357
라라랜드,2016-12-07,0.3462
귀향,2016-02-24,-0.0659
리얼 스틸,2011-10-12,0.0787
신의 한 수,2014-07-03,0.0649
코코,2018-01-11,0.2181
부러진 화살,2012-01-18,0.0137
끝까지 간다,2014-05-29,0.0764
비긴 어게인,2014-08-13,0.2533
스파이,2013-09-05,0.0609
그것만이 내 세상,2018-01-17,0.0903
이끼,2010-07-14,0.0193
돈,2019-03-20,0.0994
포화속으로,2010-06-16,-0.0179
맨 인 블랙 3,2012-05-24,0.0264
어바웃 타임,2013-12-05,0.3851
슈퍼배드 3,2017-07-26,0.2363
데드풀,2016-02-17,0.0261
아이 캔 스피크,2017-09-21,0.1053
스타워즈: 깨어난 포스,2015-12-17,0.0296
터미네이터 제니시스,2015-07-02,-0.0185
그래비티,2013-10-17,-0.0086
마녀,2018-06-27,0.2405
탐정: 리턴즈,2018-06-13,0.2357
캐리비안의 해적: 낯선 조류,2011-05-19,0.0264
퀵,2011-07-20,0.0483
감기,2013-08-14,-0.0411
하모니,2010-01-28,0.0037
캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,0.0412
스물,2015-03-25,0.0615
토르: 다크 월드,2013-10-30,0.0349
방자전,2010-06-02,0.0615
인크레더블 2,2018-07-18,0.2368
레드: 더 레전드,2013-07-18,0.056
오싹한 연애,2011-12-01,0.0588
드래곤 길들이기 2,2014-07-23,0.0279
형,2016-11-23,0.0684
친구 2,2013-11-14,-0.0065
26년,2012-11-29,-0.0175
서치,2018-08-29,0.7917
고지전,2011-07-20,0.0054
엑스맨: 아포칼립스,2016-05-25,0.0265
프리즌,2017-03-23,0.0161
솔트,2010-07-29,0.1176
헬로우 고스트,2010-12-22,0.0424
극비수사,2015-06-18,0.0638
표적,2014-04-30,0.085
앤트맨,2015-09-03,0.0389
호빗: 다섯 군대 전투,2014-12-17,0.0494
너의 결혼식,2018-08-22,0.2108
호빗: 뜻밖의 여정,2012-12-13,0.0354
메이즈 러너,2014-09-18,0.1455
말모이,2019-01-09,0.1648
해리 포터와 죽음의 성물1,2010-12-15,0.0029
빅 히어로,2015-01-21,-0.0491
덩케르크,2017-07-20,-0.0081
