TITLE,OPEN_DT,AUDI_ACC,CMT_SCORE
명량,2014-07-30,17613682,-0.0006
극한직업,2019-01-23,16263083,0.0847
신과함께-죄와 벌,2017-12-20,14410754,-0.006999999999999999
국제시장,2014-12-17,14245998,-0.009000000000000001
베테랑,2015-08-05,13395400,0.0423
도둑들,2012-07-25,12983330,-0.0057
7번방의 선물,2013-01-23,12811206,0.0506
암살,2015-07-22,12705700,0.0385
"광해, 왕이 된 남자",2012-09-13,12319542,0.054000000000000006
신과함께-인과 연,2018-08-01,12253247,0.0021
택시운전사,2017-08-02,12099971,-0.0102
부산행,2016-07-20,11565078,-0.0163
변호인,2013-12-18,11372451,-0.0107
어벤져스: 인피니티 워,2018-04-25,11211880,0.0174
어벤져스: 에이지 오브 울트론,2015-04-23,10494499,0.0087
겨울왕국,2014-01-16,10296101,0.0897
인터스텔라,2014-11-06,10273803,0.0198
보헤미안 랩소디,2018-10-31,9946132,0.2174
검사외전,2016-02-03,9699092,0.0337
관상,2013-09-11,9134586,0.0435
아이언맨 3,2013-04-25,9001309,0.0061
설국열차,2013-08-01,8914845,-0.0211
캡틴 아메리카: 시빌 워,2016-04-27,8677249,-0.021
수상한 그녀,2014-01-22,8656397,0.0594
해적: 바다로 간 산적,2014-08-06,8646758,0.0386
공조,2017-01-18,7817446,0.1011
트랜스포머 3,2011-06-29,7784807,0.0117
히말라야,2015-12-16,7759473,0.0421
미션임파서블:고스트프로토콜,2011-12-15,7575899,0.0732
밀정,2016-09-07,7487545,0.0113
최종병기 활,2011-08-10,7466976,0.0499
써니,2011-05-04,7328820,0.0798
스파이더맨: 홈 커밍,2017-07-05,7257973,0.0437
1987,2017-12-27,7231638,-0.0033
베를린,2013-01-30,7166199,0.0226
마스터,2016-12-21,7150541,0.0497
터널,2016-08-10,7118592,-0.0128
어벤져스,2012-04-26,7074867,0.0175
내부자들,2015-11-19,7071763,-0.0229
인천상륙작전,2016-07-27,7049643,-0.0194
럭키,2016-10-13,6965706,0.0508
은밀하게 위대하게,2013-06-05,6953800,-0.0012
곡성,2016-05-12,6878264,0.005
범죄도시,2017-10-03,6851297,0.0513
늑대소년,2012-10-31,6654837,0.0515
군함도,2017-07-26,6592151,-0.022000000000000002
미션 임파서블: 폴아웃,2018-07-25,6584915,0.0508
다크 나이트 라이즈,2012-07-19,6396528,-0.005
아저씨,2010-08-04,6282774,0.0208
사도,2015-09-16,6246849,-0.0216
미션 임파서블: 로그네이션,2015-07-30,6126488,0.098
킹스맨 : 시크릿 에이전트,2015-02-11,6125154,0.375
연평해전,2015-06-24,6043458,-0.0275
인셉션,2010-07-21,5926948,0.0202
레미제라블,2012-12-19,5911890,0.075
쥬라기 월드: 폴른 킹덤,2018-06-06,5661128,0.0957
청년경찰,2017-08-09,5636259,0.0294
숨바꼭질,2013-08-14,5602543,-0.0279
덕혜옹주,2016-08-03,5593551,-0.0194
더 테러 라이브,2013-07-31,5583596,-0.02
쥬라기 월드,2015-06-11,5546792,
캡틴 마블,2019-03-06,5540958,-0.0356
의형제,2010-02-04,5507106,0.0788
감시자들,2013-07-03,5496547,0.01
앤트맨과 와스프,2018-07-04,5447826,0.0347
닥터 스트레인지,2016-10-26,5446379,0.0354
검은 사제들,2015-11-05,5440945,0.0522
안시성,2018-09-19,5440186,0.0132
블랙 팬서,2018-02-14,5398994,0.0644
더 킹,2017-01-18,5316325,0.0184
완득이,2011-10-20,5310510,0.0662
트랜스포머: 사라진 시대,2014-06-25,5295801,-0.0283
완벽한 타인,2018-10-31,5294119,0.29600000000000004
월드 워 Z,2013-06-20,5237525,-0.015
타워,2012-12-25,5181014,0.0177
미녀와 야수,2017-03-16,5137993,0.2613
독전,2018-05-22,5063620,-0.0264
쿵푸팬더 2,2011-05-26,5062722,0.0403
아쿠아맨,2018-12-19,5038134,0.0049
공작,2018-08-08,4971261,0.0472
인사이드 아웃,2015-07-09,4968687,0.1159
킹스맨: 골든 서클,2017-09-27,4945484,0.0271
바람과 함께 사라지다,2012-08-08,4897551,0.1562
마션,2015-10-08,4875494,0.0373
토르: 라그나로크,2017-10-25,4857152,0.0913
어메이징 스파이더맨,2012-06-28,4853123,0.0179
"님아, 그 강을 건너지 마오",2014-11-27,4801355,0.1361
조선명탐정 : 각시투구꽃의 비밀,2011-01-27,4786259,0.0579
군도: 민란의 시대,2014-07-23,4774895,0.0224
범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,4710454,-0.0264
주토피아,2016-02-17,4703245,0.1543
엣지 오브 투모로우,2014-06-04,4697142,0.0959
신세계,2013-02-21,4682492,0.0515
신비한 동물사전,2016-11-16,4666993,0.1208
도가니,2011-09-22,4662822,
내 아내의 모든 것,2012-05-17,4598583,0.1875
판도라,2016-12-07,4571142,-0.0683
연가시,2012-07-05,4513026,-0.0233
아이언맨 2,2010-04-29,4498335,
강철비,2017-12-14,4451336,-0.013000000000000001
해리포터와 죽음의 성물2,2011-07-13,4400298,-0.0034
