TITLE,DIRECTOR,OPEN_DT,OPEN_YEAR,OPEN_MONTH,OPEN_DAY,OPEN_WEEKDAY,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,GENRE_NM,SP_LANG,WATCH_GRADE_NM,ACTOR1,ACTOR2,BUDGET,SERIES,AWARDS,NAVER_CMT_NN,NAVER_PRE_EVAL,NAVER_PRE_EVAL_MUL,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
명량,김한민,2014-07-30,2014,7,30,2,3,31,128.0,한국,씨제이이앤엠(주),사극/액션,ja/ko,15세이상관람가,최민식,류승룡,9500000.0,0.0,1,1673.0,8.64,14454.72,13639.0,1.0,17613682
극한직업,이병헌,2019-01-23,2019,1,23,2,1,4,111.0,한국,씨제이이앤엠(주),코미디,ko,15세이상관람가,류승룡,이하늬,8120000.0,0.0,0,189.0,8.02,1515.78,603.0,0.0,16263083
신과함께-죄와 벌,김용화,2017-12-20,2017,12,20,2,4,51,139.0,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마/판타지,ko,12세이상관람가,하정우,차태현,18300000.0,1.0,1,4161.0,8.04,33454.439999999995,57194.0,1.0,14410754
국제시장,윤제균,2014-12-17,2014,12,17,2,4,51,126.0,한국,씨제이이앤엠(주),드라마,de/en/ko/vi,12세이상관람가,황정민,김윤진,,0.0,1,1229.0,8.76,10766.04,12784.0,1.0,14245998
베테랑,류승완,2015-08-05,2015,8,5,2,3,32,123.0,한국,씨제이이앤엠(주),드라마/액션,en/ko/ru,15세이상관람가,황정민,유아인,7528230.0,0.0,1,685.0,8.89,6089.650000000002,9952.0,0.0,13395400
도둑들,최동훈,2012-07-25,2012,7,25,2,3,30,135.0,한국/홍콩,(주)쇼박스,범죄/액션,cn/en/ja/ko/zh,15세이상관람가,김윤석,김혜수,,0.0,1,702.0,8.69,6100.379999999999,0.0,0.0,12983330
7번방의 선물,이환경,2013-01-23,2013,1,23,2,1,4,127.0,한국,(주)넥스트엔터테인먼트월드(NEW),드라마/코미디,ko,15세이상관람가,류승룡,박신혜,,0.0,1,770.0,9.53,7338.099999999998,0.0,0.0,12811206
암살,최동훈,2015-07-22,2015,7,22,2,3,30,139.0,한국,(주)쇼박스,드라마/액션,cn/en/fr/ja/ko/zh,15세이상관람가,전지현,이정재,,0.0,1,910.0,8.29,7543.9,20846.0,0.0,12705700
"광해, 왕이 된 남자",추창민,2012-09-13,2012,9,13,3,3,37,131.0,한국,씨제이이앤엠(주),드라마/사극,ko,15세이상관람가,이병헌,류승룡,,0.0,1,278.0,9.79,2721.62,0.0,1.0,12319542
신과함께-인과 연,김용화,2018-08-01,2018,8,1,2,3,31,141.0,한국,롯데컬처웍스(주)롯데엔터테인먼트,드라마/판타지,ko,12세이상관람가,하정우,주지훈,18300000.0,1.0,1,484.0,6.71,3247.64,5023.0,1.0,12253247
택시운전사,장훈,2017-08-02,2017,8,2,2,3,31,137.0,한국,(주)쇼박스,드라마,de/en/ko,15세이상관람가,이수민,송강호,12820000.0,0.0,1,3536.0,8.5,30056.0,45603.0,0.0,12099971
부산행,연상호,2016-07-20,2016,7,20,2,3,29,118.0,한국,(주)넥스트엔터테인먼트월드(NEW),스릴러/액션,ko,15세이상관람가,공유,김정희,8820000.0,0.0,1,5143.0,8.23,42326.89,62952.0,0.0,11565078
변호인,양우석,2013-12-18,2013,12,18,2,4,51,126.0,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,ko,15세이상관람가,송강호,김영애,,0.0,1,26634.0,6.08,161934.72,0.0,1.0,11372451
어벤져스: 인피니티 워,안소니 루소/조 루소,2018-04-25,2018,4,25,2,2,17,149.0,미국,월트디즈니컴퍼니코리아 유한책임회사,SF/액션/어드벤처/판타지,en,12세이상관람가,로버트 다우니 주니어,조슈 브롤린,300000000.0,1.0,0,1320.0,9.54,12592.8,44404.0,1.0,11211880
어벤져스: 에이지 오브 울트론,조스 웨던,2015-04-23,2015,4,23,3,2,17,141.0,미국,월트디즈니컴퍼니코리아(주),SF/액션/어드벤처/판타지,en,12세이상관람가,로버트 다우니 주니어,크리스 헴스워스,280000000.0,1.0,0,2883.0,9.52,27446.16,96176.0,1.0,10494499
겨울왕국,제니퍼 리/크리스 벅,2014-01-16,2014,1,16,3,1,3,108.0,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),가족/뮤지컬/애니메이션/어드벤처/코미디/판타지,en,전체관람가,이디나 멘젤,크리스틴 벨,150000000.0,1.0,1,1070.0,9.63,10304.1,0.0,0.0,10296101
인터스텔라,크리스토퍼 놀란,2014-11-06,2014,11,6,3,4,45,169.0,미국/영국,워너브러더스 코리아(주),SF,en,12세이상관람가,매튜 매커너히,앤 해서웨이,165000000.0,0.0,1,808.0,9.58,7740.64,11513.0,0.0,10273803
