,companyNm,genreNm,movieNm,nationNm,openDt,showTm,watchGradeNm,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK,SERIES
0,(주)도키엔터테인먼트,성인물(에로),훔쳐본 숙모의 방,일본,20190705,62,청소년관람불가,0,0,0,
1,(주)도키엔터테인먼트,멜로/로맨스,일본 료칸형 호텔의 마사지사,일본,20190705,60,청소년관람불가,0,0,0,
2,스마일컨텐츠,멜로/로맨스,이모의유혹2,한국,20190705,72,청소년관람불가,0,0,0,
3,(주)도키엔터테인먼트,멜로/로맨스,유카타를 벗은 유부녀를 마사지,일본,20190705,57,청소년관람불가,,,,
4,(주)도키엔터테인먼트,성인물(에로),여친엄마에게 들킨 정사,일본,20190705,61,청소년관람불가,,,,
5,(주)도키엔터테인먼트,성인물(에로),여친방에서 여친엄마와,일본,20190705,62,청소년관람불가,,,,
6,(주)도키엔터테인먼트,성인물(에로),생머리의 여친 엄마,일본,20190705,63,청소년관람불가,,,,
7,(주)도키엔터테인먼트,성인물(에로),보험왕 그녀의 유혹,일본,20190705,61,청소년관람불가,,,,
8,(주)도키엔터테인먼트,성인물(에로),맞선보다 몸맞은 커플,일본,20190705,60,청소년관람불가,,,,
9,(주)도키엔터테인먼트,성인물(에로),남편이 소개한 남자와의 하룻밤,일본,20190705,61,청소년관람불가,,,,
10,(주)스튜디오후크,"공포(호러), 멜로/로맨스, 코미디",귀신의 향기,한국,20190703,93,15세이상관람가,9,167,0,0
11,서울독립영화제,드라마,한낮의 피크닉,한국,20190704,78,12세이상관람가,0,16,0,0
12,(주)홈초이스,드라마,칠드런 액트,영국,20190704,105,12세이상관람가,9,151,0,0
13,레이크엔터테인먼트,액션,종횡강호: 용유검의 전설,중국,20190704,96,15세이상관람가,0,0,0,
14,(주)이놀미디어,"미스터리, 스릴러",오시로가의 비밀,미국,20190704,87,12세이상관람가,1,15,0,0
15,예지림엔터테인먼트,"애니메이션, 판타지",별의 정원,한국,20190704,74,전체관람가,33,78,0,0
16,(주)케이알씨지,"액션, 드라마",방세옥-천하대전,중국,20190704,96,15세이상관람가,0,0,0,
17,,기타,동명이인 프로젝트 시즌2,한국,20190704,64,12세이상관람가,0,3,0,
18,주식회사 풍경소리,"스릴러, 드라마",다크 케이브,미국,20190704,82,15세이상관람가,12,21,0,0
19,(주)삼백상회,"드라마, 범죄",갤버스턴,미국,20190704,93,15세이상관람가,137,144,0,0
20,"(주)영화사 그램, (주)디오시네마","드라마, 가족",13년의 공백,일본,20190704,70,12세이상관람가,4,82,0,0
21,(주)영화사가을,멜로/로맨스,친구아빠 2 무삭제,한국,20190702,72,청소년관람불가,,,,
22,(주)플라이어,"드라마, 성인물(에로)",아저씨 안마만 하세요,일본,20190702,60,청소년관람불가,0,0,0,
23,(주)영진크리에이티브,"멜로/로맨스, 드라마",마조히스트:형수,일본,20190702,70,청소년관람불가,,,,
24,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,"액션, 어드벤처, 코미디, SF",스파이더맨: 파 프롬 홈,미국,20190702,129,12세이상관람가,152,2265,0,1
25,(주)소나무픽쳐스,"액션, 코미디",쿵푸 파이터,미국,20190701,92,15세이상관람가,0,0,0,
26,(주)소나무픽쳐스,공포(호러),컨저링 하우스,미국,20190701,79,15세이상관람가,0,0,0,0
27,레이크엔터테인먼트,"액션, 스릴러",생사결,홍콩,20190701,99,청소년관람불가,17,7,0,0
28,(주)영화사가을,멜로/로맨스,나쁜 처제,한국,20190701,72,청소년관람불가,2,0,0,
