TITLE,OPEN_DT,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_CMT_LEN_MEAN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
명량,2014-07-30,7,3,31,128.0,한국,씨제이이앤엠(주),사극,15세이상관람가,0.0,1673.0,44.404064554692205,13639.0,1.0,17613682
극한직업,2019-01-23,1,1,4,111.0,한국,씨제이이앤엠(주),코미디,15세이상관람가,0.0,189.0,38.825396825396794,603.0,0.0,16263083
신과함께-죄와 벌,2017-12-20,12,4,51,139.0,한국,롯데쇼핑㈜롯데엔터테인먼트,판타지,12세이상관람가,1.0,4161.0,39.8908916125931,57194.0,1.0,14410754
국제시장,2014-12-17,12,4,51,126.0,한국,씨제이이앤엠(주),드라마,12세이상관람가,0.0,1229.0,45.540276647681,12784.0,1.0,14245998
베테랑,2015-08-05,8,3,32,123.0,한국,씨제이이앤엠(주),액션,15세이상관람가,0.0,685.0,44.348905109489095,9952.0,0.0,13395400
도둑들,2012-07-25,7,3,30,135.0,한국,(주)쇼박스,액션,15세이상관람가,0.0,702.0,26.918803418803396,0.0,0.0,12983330
7번방의 선물,2013-01-23,1,1,4,127.0,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15세이상관람가,0.0,770.0,42.879220779220795,0.0,0.0,12811206
암살,2015-07-22,7,3,30,139.0,한국,(주)쇼박스,액션,15세이상관람가,0.0,910.0,37.470329670329704,20846.0,0.0,12705700
"광해, 왕이 된 남자",2012-09-13,9,3,37,131.0,한국,씨제이이앤엠(주),사극,15세이상관람가,0.0,278.0,21.115107913669103,0.0,1.0,12319542
신과함께-인과 연,2018-08-01,8,3,31,141.0,한국,롯데컬처웍스(주)롯데엔터테인먼트,판타지,12세이상관람가,1.0,484.0,38.78099173553721,5023.0,1.0,12253247
택시운전사,2017-08-02,8,3,31,137.0,한국,(주)쇼박스,드라마,15세이상관람가,0.0,3536.0,42.4157239819005,45603.0,0.0,12099971
부산행,2016-07-20,7,3,29,118.0,한국,(주)넥스트엔터테인먼트월드(NEW),액션,15세이상관람가,0.0,5143.0,44.2160217771729,62952.0,0.0,11565078
변호인,2013-12-18,12,4,51,126.0,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,15세이상관람가,0.0,26634.0,28.8614928287152,0.0,1.0,11372451
어벤져스: 인피니티 워,2018-04-25,4,2,17,149.0,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,1.0,1320.0,38.752272727272704,44404.0,1.0,11211880
어벤져스: 에이지 오브 울트론,2015-04-23,4,2,17,141.0,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,1.0,2883.0,28.0284425945196,96176.0,1.0,10494499
겨울왕국,2014-01-16,1,1,3,108.0,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),애니메이션,전체관람가,1.0,1070.0,43.8598130841121,0.0,0.0,10296101
인터스텔라,2014-11-06,11,4,45,169.0,미국,워너브러더스 코리아(주),SF,12세이상관람가,0.0,808.0,36.779702970296995,11513.0,0.0,10273803
보헤미안 랩소디,2018-10-31,10,4,44,134.0,미국,이십세기폭스코리아(주),드라마,12세이상관람가,0.0,138.0,46.137681159420296,1119.0,0.0,9946132
검사외전,2016-02-03,2,1,5,126.0,한국,(주)쇼박스,범죄,15세이상관람가,0.0,741.0,36.5681511470985,46891.0,0.0,9699092
관상,2013-09-11,9,3,37,139.0,한국,(주)쇼박스,사극,15세이상관람가,0.0,1586.0,28.3701134930643,0.0,0.0,9134586
아이언맨 3,2013-04-25,4,2,17,130.0,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,12세이상관람가,1.0,3260.0,19.322392638036803,0.0,0.0,9001309
