순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,원제,제작년도,원작도서유무,네이버기대지수,_merge
5510.0,007북경특급2,"주성치,곡덕소",,(주)케이알씨지,(주)케이알씨지,2014-05-01,개봉영화,장편,홍콩,1,"70,000",140,0,0,코미디,15세이상관람가,일반영화,大內密採 零零發: Forbidden City Cop,1996.0,0.0,46.0,both
228.0,007스카이폴,샘 멘데스,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2012-10-26,개봉영화,장편,미국,748,"17,487,213,000","2,376,145","6,160,910,500","793,030",액션,15세이상관람가,일반영화,SKYFALL,2012.0,0.0,0.0,both
299.0,007스펙터,샘 멘데스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-11-11,개봉영화,장편,영국,"1,105","14,302,132,030","1,820,842","4,498,038,930","548,085",액션,15세이상관람가,일반영화,Spectre,2015.0,0.0,6919.0,both
3875.0,009사이보그,카미야마 켄지,,씨너스엔터테인먼트(주),"씨너스엔터테인먼트(주),㈜T-JOY",2013-05-09,개봉영화,장편,일본,26,"13,154,500","1,656","9,494,000","1,116",애니메이션,12세이상관람가,일반영화,009 Re: Cyborg,2012.0,0.0,0.0,both
1520.0,00mhz,유선동,(주)제이엠컬쳐스,,(주)스마일이엔티,2019-05-29,개봉영화,장편,한국,446,"438,004,540","59,344","96,587,670","12,605",공포(호러),15세이상관람가,일반영화,,2018.0,0.0,495.0,both
6634.0,1000최후의전사들,아칸 사타예브,,㈜영화사 백두대간,㈜영화사 백두대간,2014-11-12,개봉영화,장편,카자흐스탄,1,"281,000",37,"281,000",37,액션,15세이상관람가,독립/예술영화,Zhauzhurek myng bala,2012.0,0.0,49.0,both
3822.0,100미터,마르셀 바레나,,㈜코리아스크린,"㈜코리아스크린,와이드 릴리즈(주)",2017-07-20,개봉영화,장편,스페인,41,"12,841,500","1,770","6,587,300",861,코미디,15세이상관람가,독립/예술영화,100 meters,2016.0,0.0,89.0,both
10429.0,10바이10,수지 유잉,,㈜코리아스크린,㈜코리아스크린,2019-01-03,개봉영화,장편,영국,1,"5,000",1,0,0,스릴러,15세이상관람가,일반영화,10x10,2018.0,0.0,16.0,both
3980.0,10일간의원나잇스탠드,다니엘 아르비드,,(주)소나무픽쳐스,(주)소나무픽쳐스,2012-11-29,개봉영화,장편,프랑스,1,"3,180,000","1,510","3,180,000","1,510",멜로/로맨스,청소년관람불가,일반영화,Beirut Hotel,2011.0,0.0,0.0,both
1051.0,127시간,대니 보일,,이십세기폭스코리아(주),이십세기폭스코리아(주),2011-02-17,개봉영화,장편,미국,233,"1,333,438,500","180,332","480,060,000","61,595",드라마,15세이상관람가,일반영화,127 Hours,2010.0,0.0,0.0,both
968.0,12솔져스,니콜라이 퓰시,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2018-01-31,개봉영화,장편,미국,211,"1,833,626,400","223,740","597,547,500","70,049",액션,15세이상관람가,독립/예술영화,12 Strong,2018.0,0.0,937.0,both
