순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,원제,제작년도,원작도서유무,네이버기대지수,_merge
,0011나폴레옹솔로,서튼 롤리,,,,,,,,,,,,,,,,How To Steal The World,1968.0,0.0,8.0,right_only
,0011나폴레옹솔로가라데킬러,배리 쉐어,,,,,,,,,,,,,,,,The Karate Killers,1967.0,0.0,4.0,right_only
,0011나폴레옹솔로구사일생,돈 메드포드,,,,,,,,,,,,,,,,To Trap A Spy,1964.0,0.0,2.0,right_only
,0011나폴레옹솔로대돌파,존 뉴랜드,,,,,,,,,,,,,,,,The Spy With My Face,1965.0,0.0,0.0,right_only
,0011나폴레옹솔로스파이인더그린햇,조세프 서전트,,,,,,,,,,,,,,,,The Spy In The Green Hat,1966.0,0.0,0.0,right_only
,0011나폴레옹솔로원오브아워스파이스이즈미싱,E. 다렐 헬렌벡,,,,,,,,,,,,,,,,One Of Our Spies Is Missing,1966.0,0.0,0.0,right_only
,0011나폴레옹솔로지옥특파,조세프 서전트,,,,,,,,,,,,,,,,One Spy Too Many,1966.0,0.0,0.0,right_only
,0011나폴레옹솔로헬리콥터스파이스,보리스 세걸,,,,,,,,,,,,,,,,The Helicopter Spies,1968.0,0.0,3.0,right_only
,007나를사랑한스파이,루이스 길버트,,,,,,,,,,,,,,,,The Spy Who Loved Me,1977.0,1.0,0.0,right_only
,007두번산다,루이스 길버트,,,,,,,,,,,,,,,,You Only Live Twice,1967.0,1.0,0.0,right_only
,007수퍼맨의귀향,임종우,,,,,,,,,,,,,,,,The Return of 007 Superman,2007.0,0.0,3.0,right_only
,007퀀텀오브솔러스,마크 포스터,,,,,,,,,,,,,,,,Quantum Of Solace,2008.0,0.0,0.0,right_only
,025선셋레드,라이다 레르순디,,,,,,,,,,,,,,,,025 Sunset Red,2016.0,0.0,1.0,right_only
,0334대지진,주앙 파블로 터니셔,,,,,,,,,,,,,,,,03:34 Terremoto en Chile,2011.0,0.0,37.0,right_only
,077퓨리인더오리엔트,세르지오 그리에코,,,,,,,,,,,,,,,,Agent 077 Fury In The Orient,1965.0,0.0,0.0,right_only
6531.0,09월11일,마틴 귀귀,,(주)스마일이엔티,(주)스마일이엔티,2018-01-31,개봉영화,장편,미국,5,"490,000",46,"160,000",8,액션,15세이상관람가,독립/예술영화,,,,,left_only
,0시의그녀,이철민,,,,,,,,,,,,,,,,,2015.0,0.0,0.0,right_only
4050.0,10000km만킬로미터,카를로스 마르쿠즈-마르셋,,(주)누보필림,주식회사 쇼미미디어앤트레이딩,2015-07-16,개봉영화,장편,스페인,11,"10,304,000","1,387","8,104,000","1,017",멜로/로맨스,청소년관람불가,독립/예술영화,,,,,left_only
,100명의여성건축사라이트스튜디오,비버리 윌리스,,,,,,,,,,,,,,,,A Girl is a fellow Here,2009.0,0.0,0.0,right_only
,100미터,강대왕,,,,,,,,,,,,,,,,100m,2016.0,0.0,6.0,right_only
,100블러디에이커스,"캐머런 카이네스,콜린 카이네스",,,,,,,,,,,,,,,,100 Bloody Acres,2012.0,0.0,2.0,right_only
,100여자를만나는일에관하여,안태훈,,,,,,,,,,,,,,,,ON SEEING THE 100% PERFECT GIRL,2017.0,0.0,1.0,right_only
,100코코,테사 쉬럼,,,,,,,,,,,,,,,,100% COCO,2017.0,0.0,1.0,right_only
,10대마녀사브리나,티보 타칵스,,,,,,,,,,,,,,,,Sabrina The Teenage Witch,1996.0,0.0,8.0,right_only
,10데이즈인골드,니콜라스 브로셋,,,,,,,,,,,,,,,,10 Days in Gold,2012.0,0.0,2.0,right_only
,10미터플랫폼,"악셀 다니엘슨,막시밀리언 반 아에르트릭크",,,,,,,,,,,,,,,,Ten Meter Tower,2015.0,0.0,0.0,right_only
,10분,아메드 이마모빅,,,,,,,,,,,,,,,,10 Minuta,2002.0,0.0,0.0,right_only
,10분,안선경,,,,,,,,,,,,,,,,10 Minutes,2005.0,0.0,0.0,right_only
