영화명,개봉전 평점,총댓글수(개봉전),댓글모음,﻿순번,영진위 영화명,제작사_x,수입사_x,배급사_x,개봉일_x,영화유형_x,영화형태_x,국적_x,전국스크린수_x,전국매출액_x,전국관객수_x,서울매출액_x,서울관객수_x,장르_x,등급_x,영화구분_x,감독,순번,제작사_y,수입사_y,배급사_y,개봉일_y,영화유형_y,영화형태_y,국적_y,전국스크린수_y,전국매출액_y,전국관객수_y,서울매출액_y,서울관객수_y,장르_y,등급_y,영화구분_y,원작도서유무,네이버기대지수,_merge
아이언맨3,,,,,,,,,,,,,,,,,,,,,쉐인블랙,21.0,파라마운트 픽쳐스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-04-25,개봉영화,장편,미국,"1,381","70,806,191,000","9,001,309","21,668,935,500","2,595,269",액션,12세이상관람가,일반영화,0.0,0.0,right_only
해리포터와죽음의성물2,,,,,,,,,,,,,,,,,,,,,데이빗예이츠,102.0,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-07-13,개봉영화,장편,미국,757,"34,507,819,000","4,400,298","11,183,806,000","1,361,311",판타지,전체관람가,일반영화,1.0,0.0,right_only
미이라,,,,,,,,,,,,,,,,,,,,,알렉스커츠먼,123.0,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-06-06,개봉영화,장편,미국,"1,257","30,504,689,978","3,689,325","7,851,059,428","909,202",액션,15세이상관람가,일반영화,0.0,6513.0,right_only
맨인블랙3,,,,,,,,,,,,,,,,,,,,,배리소넨필드,141.0,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-05-24,개봉영화,장편,미국,770,"27,301,520,070","3,379,762","9,258,393,070","1,068,672",액션,12세이상관람가,일반영화,0.0,0.0,right_only
슈퍼배드3,,,,,,,,,,,,,,,,,,,,,피에르꼬팽카일발다,143.0,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-07-26,개봉영화,장편,미국,"1,057","24,216,987,019","3,324,861","5,558,252,919","723,552",애니메이션,전체관람가,일반영화,0.0,7863.0,right_only
캐리비안의해적죽은자는말이없다,,,,,,,,,,,,,,,,,,,,,요아킴뢰닝에스펜샌버그,158.0,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-05-24,개봉영화,장편,미국,"1,357","24,975,495,122","3,049,894","7,206,844,722","839,897",액션,12세이상관람가,일반영화,0.0,12939.0,right_only
표적,,,,,,,,,,,,,,,,,,,,,창,176.0,"(주)바른손이앤에이,(주)용필름",,씨제이이앤엠(주),2014-04-30,개봉영화,장편,한국,665,"22,256,359,300","2,841,788","5,348,606,900","652,750",액션,15세이상관람가,일반영화,0.0,1717.0,right_only
해리포터와죽음의성물1,,,,,,,,,,,,,,,,,,,,,데이빗예이츠,183.0,헤이데이필름,워너브러더스 코리아(주),워너브러더스 코리아(주),2010-12-15,개봉영화,장편,미국,718,"19,906,900,266","2,809,053","6,430,256,500","866,701",미스터리,전체관람가,일반영화,1.0,0.0,right_only
빅히어로,,,,,,,,,,,,,,,,,,,,,돈홀크리스윌리암스,184.0,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-01-21,개봉영화,장편,미국,825,"21,993,119,765","2,801,949","6,512,949,165","772,249",애니메이션,전체관람가,일반영화,0.0,5065.0,right_only
나우유씨미마술사기단,,,,,,,,,,,,,,,,,,,,,루이스리테리어,192.0,,데이지엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2013-08-22,개봉영화,장편,미국,691,"19,146,691,869","2,718,227","6,322,143,282","855,244",범죄,12세이상관람가,일반영화,0.0,0.0,right_only
타이탄,,,,,,,,,,,,,,,,,,,,,루이스리테리어,194.0,워너 브러더스 픽쳐스,워너브러더스 코리아(주),워너브러더스 코리아(주),2010-04-01,개봉영화,장편,미국,694,"22,143,097,429","2,685,508","6,821,236,500","798,779",액션,12세이상관람가,일반영화,0.0,0.0,right_only
미니언즈,,,,,,,,,,,,,,,,,,,,,피에르꼬팽카일발다,200.0,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-07-29,개봉영화,장편,미국,792,"18,997,911,278","2,625,572","4,787,634,178","630,536",애니메이션,전체관람가,일반영화,0.0,11636.0,right_only
드래곤길들이기,,,,,,,,,,,,,,,,,,,,,딘데블로이스,204.0,드림웍스 애니메이션,"유니버설픽쳐스인터내셔널 코리아(유),씨제이엔터테인먼트","유니버설픽쳐스인터내셔널 코리아(유),씨제이엔터테인먼트",2010-05-20,개봉영화,장편,미국,562,"27,471,926,367","2,603,857","9,508,353,500","846,400",애니메이션,전체관람가,일반영화,0.0,0.0,right_only
퍼시픽림,,,,,,,,,,,,,,,,,,,,,길예르모델토로,211.0,,워너브러더스 코리아(주),워너브러더스 코리아(주),2013-07-11,개봉영화,장편,미국,"1,005","20,477,392,512","2,539,114","6,769,401,012","776,183",액션,12세이상관람가,일반영화,1.0,0.0,right_only
조작된도시,,,,,,,,,,,,,,,,,,,,,박광현,217.0,"(주)티피에스컴퍼니,(주)영화사심플렉스,컬쳐메이트",,씨제이이앤엠(주),2017-02-09,개봉영화,장편,한국,"1,019","20,119,979,587","2,512,572","4,696,743,687","564,486",범죄,15세이상관람가,일반영화,0.0,12267.0,right_only
마당을나온암탉,,,,,,,,,,,,,,,,,,,,,오성윤민성아,248.0,"(주)오돌또기 ,(주)명필름",,롯데쇼핑㈜롯데엔터테인먼트,2011-07-28,개봉영화,장편,한국,345,"14,656,535,500","2,199,048","3,749,312,000","538,167",애니메이션,전체관람가,일반영화,1.0,0.0,right_only
원더우먼,,,,,,,,,,,,,,,,,,,,,팻티젠킨스,254.0,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-31,개봉영화,장편,미국,"1,034","17,468,588,886","2,165,401","5,360,314,986","639,541",액션,12세이상관람가,일반영화,1.0,3222.0,right_only
뷰티인사이드,,,,,,,,,,,,,,,,,,,,,백,269.0,(주)용필름,,(주)넥스트엔터테인먼트월드(NEW),2015-08-20,개봉영화,장편,한국,648,"16,152,717,131","2,053,947","5,031,538,031","611,979",판타지,12세이상관람가,일반영화,0.0,17219.0,right_only
아이들,,,,,,,,,,,,,,,,,,,,,이규만,289.0,"(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트",,롯데쇼핑㈜롯데엔터테인먼트,2011-02-17,개봉영화,장편,한국,504,"13,562,608,500","1,864,408","3,413,341,000","443,026",범죄,15세이상관람가,일반영화,0.0,0.0,right_only
주먹왕랄프2인터넷속으로,,,,,,,,,,,,,,,,,,,,,리치무어,306.0,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-01-03,개봉영화,장편,미국,"1,453","13,877,029,723","1,754,375","3,619,852,653","429,885",애니메이션,전체관람가,일반영화,0.0,917.0,right_only
마다가스카의펭귄,,,,,,,,,,,,,,,,,,,,,에릭다넬사이몬j스미스,324.0,,씨제이이앤엠(주),씨제이이앤엠(주),2014-12-31,개봉영화,장편,미국,615,"12,498,978,959","1,661,230","3,023,319,659","382,230",애니메이션,전체관람가,일반영화,0.0,4594.0,right_only
마다가스카3이번엔서커스다,,,,,,,,,,,,,,,,,,,,,에릭다넬톰맥그라스콘래드베논,329.0,,씨제이이앤엠(주),씨제이이앤엠(주),2012-06-06,개봉영화,장편,미국,564,"12,494,860,000","1,626,704","3,690,019,500","447,184",애니메이션,전체관람가,일반영화,0.0,0.0,right_only
폼페이최후의날,,,,,,,,,,,,,,,,,,,,,폴ws앤더슨,377.0,,주식회사 디앤시엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2014-02-20,개봉영화,장편,미국,561,"10,303,127,700","1,373,873","3,209,370,000","409,656",액션,15세이상관람가,일반영화,1.0,0.0,right_only
드라큘라전설의시작,,,,,,,,,,,,,,,,,,,,,개리쇼어,388.0,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2014-10-08,개봉영화,장편,미국,477,"10,607,703,908","1,321,751","3,096,355,208","372,677",판타지,15세이상관람가,일반영화,0.0,2897.0,right_only
셜록유령신부,,,,,,,,,,,,,,,,,,,,,더글라스맥키넌,395.0,,메가박스중앙(주)플러스엠,메가박스중앙(주)플러스엠,2016-01-02,개봉영화,장편,영국,891,"9,992,425,049","1,278,894","3,349,055,436","414,976",범죄,12세이상관람가,일반영화,0.0,12494.0,right_only
메리다와마법의숲,,,,,,,,,,,,,,,,,,,,,마크앤드류스브렌다채프먼,400.0,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-09-27,개봉영화,장편,미국,479,"9,024,766,000","1,231,024","2,220,052,500","289,140",애니메이션,전체관람가,일반영화,0.0,0.0,right_only
레지던트이블4끝나지않은전쟁3d,,,,,,,,,,,,,,,,,,,,,폴ws앤더슨,406.0,콘스탄틴 필름 프로덕션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-09-16,개봉영화,장편,독일,335,"14,767,125,516","1,209,538","4,547,529,000","365,095",공포(호러),청소년관람불가,일반영화,0.0,0.0,right_only
r2b리턴투베이스,,,,,,,,,,,,,,,,,,,,,김동원,411.0,"(주)주머니필름,(주)빨간마후라,씨제이이앤엠(주)",,씨제이이앤엠(주),2012-08-15,개봉영화,장편,한국,539,"8,600,489,371","1,201,640","1,993,557,324","264,850",액션,15세이상관람가,일반영화,0.0,0.0,right_only
하루,,,,,,,,,,,,,,,,,,,,,조선호,433.0,(주)라인필름,,CGV아트하우스,2017-06-15,개봉영화,장편,한국,781,"9,068,009,842","1,129,018","2,244,976,142","270,183",스릴러,15세이상관람가,일반영화,0.0,2233.0,right_only
지오스톰,,,,,,,,,,,,,,,,,,,,,딘데블린대니캐넌,457.0,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-10-19,개봉영화,장편,미국,854,"8,480,864,614","1,028,384","2,098,804,714","238,747",액션,12세이상관람가,일반영화,0.0,2398.0,right_only
맨인더다크,,,,,,,,,,,,,,,,,,,,,페드알바레즈,467.0,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-10-05,개봉영화,장편,미국,671,"8,445,645,672","999,047","2,347,738,772","267,646",스릴러,청소년관람불가,일반영화,0.0,2623.0,right_only
슈퍼배드2,,,,,,,,,,,,,,,,,,,,,크리스리노드피에르꼬팽,495.0,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2013-09-12,개봉영화,장편,미국,421,"6,359,208,000","925,108","1,797,102,000","244,423",애니메이션,전체관람가,일반영화,0.0,0.0,right_only
극장판헬로카봇백악기시대,,,,,,,,,,,,,,,,,,,,,최신규,508.0,(주)초이락컨텐츠팩토리,,(주)넥스트엔터테인먼트월드(NEW),2018-08-01,개봉영화,장편,한국,758,"6,542,619,500","874,967","1,092,117,400","140,632",애니메이션,전체관람가,일반영화,0.0,205.0,right_only
고두번째이야기교생실습,,,,,,,,,,,,,,,,,,,,,유선동,511.0,(주)코어콘텐츠미디어,,(주)넥스트엔터테인먼트월드(NEW),2010-07-28,개봉영화,장편,한국,320,"5,901,045,987","872,594","1,154,161,500","162,101",공포(호러),15세이상관람가,일반영화,0.0,0.0,right_only
하늘에서음식이내린다면2,,,,,,,,,,,,,,,,,,,,,코디카메론크리스피언,535.0,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-11-21,개봉영화,장편,미국,545,"5,423,213,000","800,062","1,182,203,500","162,353",애니메이션,전체관람가,일반영화,0.0,0.0,right_only
레지던트이블파멸의날,,,,,,,,,,,,,,,,,,,,,폴ws앤더슨,548.0,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-01-25,개봉영화,장편,미국,599,"6,422,202,365","765,259","1,676,603,015","193,951",액션,청소년관람불가,일반영화,0.0,9388.0,right_only
앵그리버드더무비,,,,,,,,,,,,,,,,,,,,,퍼갈레일리클레이케이티스,571.0,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-05-19,개봉영화,장편,미국,661,"5,218,111,744","680,606","1,150,894,444","140,314",애니메이션,전체관람가,일반영화,0.0,2592.0,right_only
삼총사3d,,,,,,,,,,,,,,,,,,,,,폴ws앤더슨,578.0,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2011-10-12,개봉영화,장편,독일,510,"5,710,755,500","657,564","2,047,683,000","217,628",액션,12세이상관람가,일반영화,0.0,0.0,right_only
아더크리스마스,,,,,,,,,,,,,,,,,,,,,베리쿡,597.0,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-11-25,개봉영화,장편,미국,356,"4,779,642,000","622,286","1,276,658,000","153,783",애니메이션,전체관람가,일반영화,0.0,0.0,right_only
다이노소어어드벤처3d,,,,,,,,,,,,,,,,,,,,,베리쿡닐나이팅게일,608.0,,이십세기폭스코리아(주),이십세기폭스코리아(주),2013-12-19,개봉영화,장편,미국,464,"4,860,516,500","599,963","1,098,977,000","128,585",액션,전체관람가,일반영화,0.0,0.0,right_only
레터스투줄리엣,,,,,,,,,,,,,,,,,,,,,게리위닉,613.0,서미트 엔터티인먼트,(주)유니코리아문예투자,(주)넥스트엔터테인먼트월드(NEW),2010-10-06,개봉영화,장편,미국,284,"4,343,347,481","593,630","1,949,740,500","254,400",멜로/로맨스,12세이상관람가,일반영화,0.0,0.0,right_only
레지던트이블5최후의심판,,,,,,,,,,,,,,,,,,,,,폴ws앤더슨,635.0,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-09-13,개봉영화,장편,미국,368,"4,757,460,500","558,433","1,494,514,500","164,990",액션,청소년관람불가,일반영화,0.0,0.0,right_only
그린치,,,,,,,,,,,,,,,,,,,,,스콧모시어,638.0,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-12-19,개봉영화,장편,미국,724,"4,188,466,900","552,962","978,246,100","122,641",애니메이션,전체관람가,일반영화,0.0,292.0,right_only
콰이어트플레이스,,,,,,,,,,,,,,,,,,,,,존크랜신스키,655.0,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2018-04-12,개봉영화,장편,미국,677,"4,580,889,849","526,073","1,445,057,049","161,329",공포(호러),15세이상관람가,일반영화,0.0,213.0,right_only
명탐정코난11번째스트라이커,,,,,,,,,,,,,,,,,,,,,시즈노코분야마모토야스이치로,656.0,,씨제이이앤엠(주),씨제이이앤엠(주),2012-07-19,개봉영화,장편,일본,350,"3,363,777,000","524,914","657,372,500","97,846",애니메이션,12세이상관람가,일반영화,0.0,0.0,right_only
언노운,,,,,,,,,,,,,,,,,,,,,하우메콜렛세라,657.0,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-02-17,개봉영화,장편,미국,186,"3,953,681,000","522,794","1,547,034,000","195,647",드라마,15세이상관람가,일반영화,1.0,0.0,right_only
피라냐,,,,,,,,,,,,,,,,,,,,,알렉산더아야,665.0,아톰셰어 엔터테인먼트,(주)누리픽쳐스,에스케이텔레콤(주),2010-08-26,개봉영화,장편,미국,306,"5,756,700,191","515,074","1,906,860,000","162,969",액션,청소년관람불가,일반영화,0.0,0.0,right_only
프렌즈몬스터섬의비밀,,,,,,,,,,,,,,,,,,,,,야마자키타카시,669.0,,(주)스마일이엔티,"(주)스마일이엔티,(주)에스비에스콘텐츠허브",2011-12-29,개봉영화,장편,일본,297,"3,745,986,000","510,996","815,015,000","100,905",애니메이션,전체관람가,일반영화,0.0,0.0,right_only
도라에몽스탠바이미,,,,,,,,,,,,,,,,,,,,,야마자키타카시야기류이치,676.0,,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),2015-02-12,개봉영화,장편,일본,432,"3,681,140,429","503,516","681,756,129","88,689",애니메이션,전체관람가,일반영화,0.0,14244.0,right_only
그레이트월,,,,,,,,,,,,,,,,,,,,,장예모,677.0,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-02-15,개봉영화,장편,미국,598,"4,352,841,358","501,286","1,257,212,358","138,597",판타지,12세이상관람가,일반영화,0.0,1501.0,right_only
레드,,,,,,,,,,,,,,,,,,,,,로베르트슈벤트케,685.0,서미트 엔터티인먼트,(주)나이너스엔터테인먼트,(주)화앤담이엔티,2010-11-03,개봉영화,장편,미국,322,"3,607,106,025","489,855","1,236,989,000","159,990",액션,15세이상관람가,일반영화,0.0,0.0,right_only
계춘할망,,,,,,,,,,,,,,,,,,,,,창,690.0,"지오엔터테인먼트,(주)퍼플켓츠필름,(주)빅스토리픽쳐스",,(주)콘텐츠 난다긴다,2016-05-19,개봉영화,장편,한국,526,"3,589,317,348","480,987","848,101,748","109,124",가족,15세이상관람가,일반영화,0.0,6385.0,right_only
식객2김치전쟁,,,,,,,,,,,,,,,,,,,,,백동훈김길형,702.0,㈜이룸영화사,,롯데쇼핑㈜롯데엔터테인먼트,2010-01-28,개봉영화,장편,한국,357,"3,298,814,209","471,103","958,627,500","127,932",드라마,전체관람가,일반영화,0.0,0.0,right_only
카2,,,,,,,,,,,,,,,,,,,,,존라세터,709.0,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-07-20,개봉영화,장편,미국,379,"3,681,142,000","465,607","1,175,354,000","135,474",애니메이션,전체관람가,일반영화,0.0,0.0,right_only
생텀,,,,,,,,,,,,,,,,,,,,,앨리스터그리어슨,712.0,,(유)마스엔터테인먼트코리아,(주)시너지하우스 (시너지),2011-02-10,개봉영화,장편,미국,323,"4,825,063,000","464,607","1,576,162,500","141,082",어드벤처,15세이상관람가,일반영화,0.0,0.0,right_only
락아웃익스트림미션,,,,,,,,,,,,,,,,,,,,,제임스매더스스테판st레게르,713.0,,데이지엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2012-06-14,개봉영화,장편,미국,374,"3,373,780,000","462,176","953,106,500","123,921",SF,15세이상관람가,일반영화,0.0,0.0,right_only
세얼간이,,,,,,,,,,,,,,,,,,,,,라즈쿠마르히라니,717.0,,(주)씨네마드마농,필라멘트픽쳐스,2011-08-18,개봉영화,장편,인도,232,"3,352,570,500","458,988","1,491,279,000","195,629",코미디,12세이상관람가,독립/예술영화,1.0,39.0,right_only
클라우드아틀라스,,,,,,,,,,,,,,,,,,,,,앤디워쇼스키라나워쇼스키톰티크베어,720.0,,블루미지,(주)넥스트엔터테인먼트월드(NEW),2013-01-09,개봉영화,장편,미국,382,"3,383,430,227","449,071","1,351,448,227","173,379",SF,청소년관람불가,일반영화,1.0,0.0,right_only
터닝메카드w블랙미러의부활,,,,,,,,,,,,,,,,,,,,,홍헌표김석원,736.0,㈜희원엔터테인먼트,,씨네그루(주)키다리이엔티,2017-01-18,개봉영화,장편,한국,570,"3,213,263,000","429,569","676,764,500","86,626",애니메이션,전체관람가,독립/예술영화,0.0,5861.0,right_only
스머프비밀의숲,,,,,,,,,,,,,,,,,,,,,캘리애스버리,741.0,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-04-28,개봉영화,장편,미국,607,"3,122,661,000","427,764","633,690,100","83,429",애니메이션,전체관람가,일반영화,0.0,1621.0,right_only
그레이의50가지그림자,,,,,,,,,,,,,,,,,,,,,샘테일러존슨,790.0,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-02-26,개봉영화,장편,미국,512,"2,918,598,796","364,415","1,201,564,996","145,292",드라마,청소년관람불가,일반영화,1.0,7027.0,right_only
홈,,,,,,,,,,,,,,,,,,,,,팀존슨,793.0,,씨제이이앤엠(주),씨제이이앤엠(주),2015-05-21,개봉영화,장편,미국,532,"2,692,225,691","360,556","649,663,691","83,379",애니메이션,전체관람가,일반영화,0.0,968.0,right_only
플립,,,,,,,,,,,,,,,,,,,,,롭라이너,799.0,,(주)팝엔터테인먼트,(주)팝엔터테인먼트,2017-07-12,개봉영화,장편,미국,249,"2,818,791,900","354,601","1,025,482,700","123,030",드라마,12세이상관람가,일반영화,1.0,10110.0,right_only
미드나잇인파리,,,,,,,,,,,,,,,,,,,,,우디알렌,803.0,,"(주)드림팩트엔터테인먼트,(주)더블앤조이픽쳐스","(주)드림팩트엔터테인먼트,(주)나이너스엔터테인먼트",2012-07-05,개봉영화,장편,미국,189,"2,607,349,898","351,555","1,708,472,362","224,023",코미디,15세이상관람가,독립/예술영화,0.0,6.0,right_only
그녀,,,,,,,,,,,,,,,,,,,,,스파이크존즈,805.0,,주식회사 더쿱,"주식회사 더쿱,유니버설픽쳐스인터내셔널 코리아(유)",2014-05-22,개봉영화,장편,미국,168,"2,861,230,000","351,091","1,876,008,600","227,358",드라마,"청소년관람불가,15세이상관람가",독립/예술영화,0.0,1333.0,right_only
치외법권,,,,,,,,,,,,,,,,,,,,,신동엽,809.0,"(주)유니프로,(주)스톰픽쳐스코리아",,판씨네마(주),2015-08-27,개봉영화,장편,한국,446,"2,664,941,005","346,483","586,388,005","72,126",액션,15세이상관람가,일반영화,0.0,3298.0,right_only
극장판요괴워치염라대왕과5개의이야기다냥,,,,,,,,,,,,,,,,,,,,,타카하시시게하루,828.0,,씨제이이앤엠(주),씨제이이앤엠(주),2016-07-20,개봉영화,장편,일본,403,"2,466,913,080","330,665","441,346,600","56,343",애니메이션,전체관람가,일반영화,0.0,2481.0,right_only
킬러스,,,,,,,,,,,,,,,,,,,,,로버트루게틱,829.0,"카탈스트 필름,라이온스 게이트 필름즈",(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),2010-09-02,개봉영화,장편,미국,280,"2,428,979,292","329,086","914,463,000","117,566",액션,15세이상관람가,일반영화,0.0,0.0,right_only
검우강호,,,,,,,,,,,,,,,,,,,,,오우삼,844.0,베이징,(주)포커스엔터테인먼트,(주)에스비에스콘텐츠허브,2010-10-14,개봉영화,장편,홍콩,343,"2,281,559,914","318,157","688,397,000","91,725",액션,15세이상관람가,일반영화,0.0,0.0,right_only
주피터어센딩,,,,,,,,,,,,,,,,,,,,,라나워쇼스키앤디워쇼스키,855.0,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-02-05,개봉영화,장편,미국,561,"2,685,741,879","309,729","832,233,679","89,787",SF,12세이상관람가,일반영화,0.0,1428.0,right_only
오즈의마법사돌아온도로시,,,,,,,,,,,,,,,,,,,,,윌핀댄세인트피에르,865.0,,㈜코리아스크린,(주)박수엔터테인먼트,2015-02-12,개봉영화,장편,미국,330,"2,175,321,000","298,298","518,209,900","68,014",애니메이션,전체관람가,독립/예술영화,0.0,2669.0,right_only
앨빈과슈퍼밴드악동어드벤처,,,,,,,,,,,,,,,,,,,,,월트벡커,878.0,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-02-04,개봉영화,장편,미국,380,"2,101,036,200","289,645","450,214,100","59,605",애니메이션,전체관람가,일반영화,0.0,2567.0,right_only
프레데터스,,,,,,,,,,,,,,,,,,,,,님로드안탈,888.0,투엔티쓰 센츄리-폭스 필름 코퍼레이션,이십세기폭스코리아(주),이십세기폭스코리아(주),2010-08-26,개봉영화,장편,미국,230,"2,025,850,507","281,642","538,838,500","70,677",액션,15세이상관람가,일반영화,0.0,0.0,right_only
눈의여왕,,,,,,,,,,,,,,,,,,,,,블라드바르베막심스베쉬니코브,895.0,,(주)씨씨에스미디어,(주)넥스트엔터테인먼트월드(NEW),2013-02-07,개봉영화,장편,러시아,316,"1,823,299,000","274,229","387,655,500","54,916",애니메이션,전체관람가,일반영화,0.0,0.0,right_only
헨젤과그레텔마녀사냥꾼3d,,,,,,,,,,,,,,,,,,,,,토미위르콜라,902.0,,씨제이이앤엠(주),씨제이이앤엠(주),2013-02-14,개봉영화,장편,미국,297,"2,122,205,602","269,510","670,928,602","80,519",액션,청소년관람불가,일반영화,0.0,0.0,right_only
극장판도라에몽진구의인어대해전,,,,,,,,,,,,,,,,,,,,,쿠스바고조,911.0,"TV 아사히,토호 컴퍼니",대원미디어(주),씨제이엔터테인먼트,2010-07-28,개봉영화,장편,일본,144,"1,769,482,593","264,918","400,018,000","57,062",애니메이션,전체관람가,일반영화,0.0,0.0,right_only
마야,,,,,,,,,,,,,,,,,,,,,알렉스스타더만,913.0,,㈜세종커뮤니케이션스,(주)박수엔터테인먼트,2014-09-04,개봉영화,장편,독일,295,"1,927,575,700","262,289","408,898,500","52,310",애니메이션,전체관람가,독립/예술영화,1.0,224.0,right_only
아이필프리티,,,,,,,,,,,,,,,,,,,,,아비콘,936.0,,(주)퍼스트런,(주)홈초이스,2018-06-06,개봉영화,장편,미국,213,"2,125,902,300","240,148","908,668,400","100,403",코미디,15세이상관람가,일반영화,0.0,234.0,right_only
서약,,,,,,,,,,,,,,,,,,,,,마이클수치,937.0,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-03-14,개봉영화,장편,미국,314,"1,810,275,500","239,483","797,303,000","101,134",드라마,15세이상관람가,일반영화,1.0,0.0,right_only
