TITLE,OPEN_DT,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK
훔쳐본 숙모의 방,2019-07-05,7,3,27,62,일본,기타,성인물,청소년관람불가,,0.0,0.0,0.0
일본 료칸형 호텔의 마사지사,2019-07-05,7,3,27,60,일본,기타,멜로,청소년관람불가,,0.0,0.0,0.0
이모의유혹2,2019-07-05,7,3,27,72,한국,기타,멜로,청소년관람불가,,0.0,0.0,0.0
유카타를 벗은 유부녀를 마사지,2019-07-05,7,3,27,57,일본,기타,멜로,청소년관람불가,,,,
여친엄마에게 들킨 정사,2019-07-05,7,3,27,61,일본,기타,성인물,청소년관람불가,,,,
여친방에서 여친엄마와,2019-07-05,7,3,27,62,일본,기타,성인물,청소년관람불가,,,,
생머리의 여친 엄마,2019-07-05,7,3,27,63,일본,기타,성인물,청소년관람불가,,,,
보험왕 그녀의 유혹,2019-07-05,7,3,27,61,일본,기타,성인물,청소년관람불가,,,,
맞선보다 몸맞은 커플,2019-07-05,7,3,27,60,일본,기타,성인물,청소년관람불가,,,,
남편이 소개한 남자와의 하룻밤,2019-07-05,7,3,27,61,일본,기타,성인물,청소년관람불가,,,,
귀신의 향기,2019-07-03,7,3,27,93,한국,기타,공포,15세이상관람가,0.0,9.0,167.0,0.0
한낮의 피크닉,2019-07-04,7,3,27,78,한국,기타,드라마,12세이상관람가,0.0,0.0,16.0,0.0
칠드런 액트,2019-07-04,7,3,27,105,영국,기타,드라마,12세이상관람가,0.0,9.0,151.0,0.0
종횡강호: 용유검의 전설,2019-07-04,7,3,27,96,중국,기타,액션,15세이상관람가,,0.0,0.0,0.0
오시로가의 비밀,2019-07-04,7,3,27,87,미국,기타,미스터리,12세이상관람가,0.0,1.0,15.0,0.0
별의 정원,2019-07-04,7,3,27,74,한국,기타,애니메이션,전체관람가,0.0,33.0,78.0,0.0
방세옥-천하대전,2019-07-04,7,3,27,96,중국,기타,액션,15세이상관람가,,0.0,0.0,0.0
동명이인 프로젝트 시즌2,2019-07-04,7,3,27,64,한국,기타,기타,12세이상관람가,1.0,0.0,3.0,0.0
다크 케이브,2019-07-04,7,3,27,82,미국,기타,스릴러,15세이상관람가,0.0,12.0,21.0,0.0
갤버스턴,2019-07-04,7,3,27,93,미국,기타,드라마,15세이상관람가,0.0,137.0,144.0,0.0
13년의 공백,2019-07-04,7,3,27,70,일본,기타,드라마,12세이상관람가,0.0,4.0,82.0,0.0
친구아빠 2 무삭제,2019-07-02,7,3,27,72,한국,기타,멜로,청소년관람불가,,,,
아저씨 안마만 하세요,2019-07-02,7,3,27,60,일본,기타,드라마,청소년관람불가,,0.0,0.0,0.0
마조히스트:형수,2019-07-02,7,3,27,70,일본,기타,멜로,청소년관람불가,,,,
스파이더맨: 파 프롬 홈,2019-07-02,7,3,27,129,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,액션,12세이상관람가,1.0,152.0,2265.0,0.0
쿵푸 파이터,2019-07-01,7,3,27,92,미국,기타,액션,15세이상관람가,,0.0,0.0,0.0
컨저링 하우스,2019-07-01,7,3,27,79,미국,기타,공포,15세이상관람가,0.0,0.0,0.0,0.0
생사결,2019-07-01,7,3,27,99,홍콩,기타,액션,청소년관람불가,0.0,17.0,7.0,0.0
나쁜 처제,2019-07-01,7,3,27,72,한국,기타,멜로,청소년관람불가,,2.0,0.0,0.0
