DIRECTOR_53,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,ACTOR_53,SERIES,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
김한민,7,3,31,128.0,한국,씨제이이앤엠(주),사극,15세이상관람가,최민식,0.0,1673.0,13639.0,1.0,17613682
이병헌,1,1,4,111.0,한국,씨제이이앤엠(주),코미디,15세이상관람가,류승룡,0.0,189.0,603.0,0.0,16263083
김용화,12,4,51,139.0,한국,롯데쇼핑㈜롯데엔터테인먼트,판타지,12세이상관람가,하정우,1.0,4161.0,57194.0,1.0,14410754
윤제균,12,4,51,126.0,한국,씨제이이앤엠(주),드라마,12세이상관람가,황정민,0.0,1229.0,12784.0,1.0,14245998
류승완,8,3,32,123.0,한국,씨제이이앤엠(주),액션,15세이상관람가,황정민,0.0,685.0,9952.0,0.0,13395400
최동훈,7,3,30,135.0,한국,(주)쇼박스,액션,15세이상관람가,김윤석,0.0,702.0,0.0,0.0,12983330
이환경,1,1,4,127.0,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15세이상관람가,류승룡,0.0,770.0,0.0,0.0,12811206
최동훈,7,3,30,139.0,한국,(주)쇼박스,액션,15세이상관람가,전지현,0.0,910.0,20846.0,0.0,12705700
추창민,9,3,37,131.0,한국,씨제이이앤엠(주),사극,15세이상관람가,이병헌,0.0,278.0,0.0,1.0,12319542
김용화,8,3,31,141.0,한국,롯데컬처웍스(주)롯데엔터테인먼트,판타지,12세이상관람가,하정우,1.0,484.0,5023.0,1.0,12253247
장훈,8,3,31,137.0,한국,(주)쇼박스,드라마,15세이상관람가,이수민,0.0,3536.0,45603.0,0.0,12099971
기타,7,3,29,118.0,한국,(주)넥스트엔터테인먼트월드(NEW),액션,15세이상관람가,공유,0.0,5143.0,62952.0,0.0,11565078
양우석,12,4,51,126.0,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,15세이상관람가,송강호,0.0,26634.0,0.0,1.0,11372451
