영화명,감독,개봉일,전국관객수
009사이보그,카미야마 켄지,2013-05-09,1656
1789바스티유의연인들,정성복,2014-09-18,3892
1987,장준환,2017-12-27,7231638
19곰테드,세스 맥팔레인,2012-09-27,266574
2012,롤랜드 에머리히,2009-11-12,6797
22,궈커,2018-08-14,2434
26년,조근현,2012-11-29,2963449
33,패트리시아 리건,2016-04-07,29728
가디언즈,피터 램지,2012-11-29,1075584
가디언즈오브갤럭시,제임스 건,2014-07-31,1311190
가비,장윤현,2012-03-15,270602
가시꽃,이돈구,2013-08-22,1565
가자장미여관으로,신정균,2013-08-14,8307
간츠,사토 신스케,2011-07-28,5798
간츠퍼펙트앤서,사토 신스케,2011-08-11,4247
갈증,나카시마 테츠야,2014-12-04,6350
감기,김성수,2013-08-14,3119023
감시자들,"조의석,김병서",2013-07-03,5496547
개구리왕국,넬슨 신,2015-11-12,53576
개구쟁이스머프,라자 고스넬,2011-08-11,1027438
개들의섬,웨스 앤더슨,2018-06-21,32789
갬빗,마이클 호프만,2013-11-28,14426
거인,김태용,2014-11-13,22893
거짓말,김동명,2015-10-29,5043
건,제시 테레로,2013-12-26,1539
걸프렌즈,강석범,2009-12-17,5871
게이트,신재호,2018-02-28,101173
겟아웃,조던 필,2017-05-17,2138146
겨울왕국,"크리스 벅,제니퍼 리",2014-01-16,10296101
결혼전야,홍지영,2013-11-21,1212270
경계,"문정현,블라디미르 토도로비치,다니엘 루디 하리얀토",2016-06-30,1142
경주,장률,2014-06-12,62754
고녀석맛나겠다,후지모리 마사야,2011-07-07,59374
고백,나카시마 테츠야,2011-03-31,43127
고양이사무라이,야마구치 요시타카,2014-11-27,5029
고양이춤,윤기형,2011-11-17,12033
고질라,가렛 에드워즈,2014-05-15,709734
곡성,나홍진,2016-05-12,6878264
골드,스티븐 개건,2017-03-22,25595
골든슬럼버,나카무라 요시히로,2010-08-26,66224
공범,국동석,2013-10-24,1766285
관상,한재림,2013-09-11,9134586
괴물들,김백준,2018-03-08,2725
괴물의아이,호소다 마모루,2015-11-25,224849
괴테스쿨의사고뭉치들,보라 닥테킨,2014-11-20,1783
구스범스,롭 레터맨,2016-01-14,297356
굿모닝에브리원,로저 미첼,2011-03-17,202148
귀,"김조광수,여명준,조은경,홍동명",2010-06-10,13319
귀향,조정래,2016-02-24,3586523
그것,안드레스 무시에티,2017-09-06,888386
그녀가부른다,박은형,2013-12-26,2768
그녀는거짓말을너무사랑해,코이즈미 노리히로,2018-01-24,4448
그놈이다,윤준형,2015-10-28,1046313
그대를사랑합니다,추창민,2011-02-17,1640351
그들이죽었다,백재호,2015-12-10,2221
그랑프리,양윤호,2010-09-16,170446
그래비티,알폰소 쿠아론,2013-10-17,3227452
그랜드파더,이서,2016-08-31,31640
그랜드피아노,유지니오 미라,2014-04-17,20961
그럼에도불구하고,김영조,2017-08-24,1498
그린존,폴 그린그래스,2010-03-25,606841
그림자들의섬,김정근,2016-08-25,4197
그물,김기덕,2016-10-06,55342
그시절우리가좋아했던소녀,구파도,2012-08-22,34995
그후,홍상수,2017-07-06,18440
극장판도라에몽진구의아프리카모험베코와5인의탐험대,야쿠와 신노스케,2014-09-04,166092
극장판마법소녀마도카마기카전편시작의이야기,신보 아키유키,2013-07-20,5916
극장판마법소녀마도카마기카후편영원의이야기,신보 아키유키,2013-07-20,5561
극장판베르세르크황금시대편강림,쿠보오카 토시유키,2013-04-11,6264
극장판안녕자두야,손석우,2016-05-04,278914
극장판요술공주밍키꿈속의윤무,유야마 쿠니히코,2013-11-14,5438
극장판울려라유포니엄,이시하라 타츠야,2016-09-01,5899
극장판타이거앤버니,요네타니 요시토모,2013-02-28,3906
극장판타이거앤버니더라이징,요네타니 요시토모,2014-06-19,2197
극장판파워레인저다이노포스vs고버스터즈공룡대결전안녕영원한친구여,사카모토 코이치,2014-10-02,212368
극장판포켓몬스터dp환영의패왕조로아크,유야마 쿠니히코,2010-12-23,366277
극장판포켓몬스터베스트위시비크티니와백의영웅레시라무,유야마 쿠니히코,2011-12-22,359663
극장판포켓몬스터베스트위시비크티니와흑의영웅제크로무,유야마 쿠니히코,2011-12-22,293787
극장판프리타임리스메들리약속,카와나미 에이사쿠,2018-04-12,1309
극장판프리타임리스메들리인연,카와나미 에이사쿠,2018-04-12,1263
글러브,강우석,2011-01-20,1888100
글로리아,세바스찬 렐리오,2013-12-05,6664
기생꽃의고백,"홍태선,임혁",2018-01-25,1863
길,정인봉,2017-05-11,17014
길위에서,이창재,2013-05-23,53500
꼬마니콜라,로랑 티라르,2010-01-28,199851
꼬마영웅경찰차프로디,라스무스 A. 실버르센,2013-04-11,52154
꼬마잠수함올리,헤 질리,2014-10-16,29114
꼭두각시,권영락,2013-06-20,31713
꽃비,정종훈,2010-04-01,4029
끝과시작,민규동,2013-04-04,38432
끝까지간다,김성훈,2014-05-29,3450143
나는고양이로소이다,조은성,2017-06-08,7809
나는아빠다,"전만배,이세영",2011-04-14,168049
나는야한여자가좋다,신정균,2014-07-10,1688
나는왕이로소이다,장규성,2012-08-08,768971
나를찾아줘,데이빗 핀처,2014-10-23,1764233
나만이없는거리,히라카와 유이치로,2016-08-17,4392
나쁜녀석들,줄리어스 에이버리,2015-03-26,4936
나쁜이웃들,니콜라스 스톨러,2014-07-03,41301
나쁜피,강효진,2012-11-01,1008
나의어머니,난니 모레티,2015-08-20,10031
나이트메어,사무엘 베이어,2010-05-20,139140
나이트폴,주현량,2012-09-27,13307
나인,롭 마샬,2009-12-31,405787
나탈리,주경중,2010-10-28,96410
남자가사랑할때,한동욱,2014-01-22,1979311
남쪽으로간다,이송희일,2012-11-15,2877
내가살인범이다,정병길,2012-11-08,2721903
내가죽기전에,"제이슨 프리먼,토드 E. 프리먼",2017-12-21,11038
내니맥피2유모와마법소동,수잔나 화이트,2010-08-11,210493
내사랑,에이슬링 월쉬,2017-07-12,334423
내이야기,카와이 하야토,2018-04-12,16467
너는펫,김병곤,2011-11-10,540972
너의췌장을먹고싶어,츠키카와 쇼,2017-10-25,465495
네버렛미고,마크 로마넥,2011-04-07,4038
넥스트투모로우,트레비스 포트,2013-07-11,1530
넬리,안 에몽,2017-08-24,1322
노다메칸타빌레최종악장,"카와무라 야스히로,타케우치 히데키",2011-01-13,39585
노무현입니다,이창재,2017-05-25,1854867
노블,스티븐 브래들리,2015-10-01,1220
노스페이스,필립 슈톨츨,2010-06-02,8995
노아,대런 아로노프스키,2014-03-20,2026574
노인과바다,존 준커먼,2014-06-28,1087
노크노크,일라이 로스,2015-10-22,4024
논스톱,자움 콜렛 세라,2014-02-27,2084457
누나,이원식,2013-01-03,1603
뉴문,크리스 웨이츠,2009-12-02,2329
늑대소년,조성희,2012-10-31,6654837
늑대아이,호소다 마모루,2012-09-13,335706
늑대인간,후안 마르티네즈 모레노,2013-09-12,1553
닌자보이란타로극장판시끌벅적방학숙제대소동,후지모리 마사야,2012-02-23,8185
닌자어쌔신,제임스 맥티그,2009-11-26,3471
닌자터틀,조나단 리브스만,2014-08-28,400329
다슬이,박철순,2011-11-24,2492
다우더,구혜선,2014-11-06,3365
다이버전트,닐 버거,2014-04-16,424041
다이빙벨,"이상호,안해룡",2014-10-23,50288
다이애나,올리버 히르비겔,2014-03-06,56872
다크하우스,대런 린 보우즈만,2017-06-22,36350
달링,앤디 서키스,2018-04-12,25872
대한민국1,조명남,2010-05-05,447569
대호,박훈정,2015-12-16,1762742
댄서,스티븐 캔터,2017-04-13,44750
더그레이,조 카나한,2012-02-16,292217
더기프트,조엘 에저튼,2015-11-05,7729
더덴,재커리 도노휴,2014-11-20,3656
더도어,안노 사울,2010-09-02,13283
더디너,이바노 데 마테오,2015-07-16,6548
더딥블루씨,테렌스 데이비스,2015-04-23,6956
더레이디,뤽 베송,2012-09-06,13051
더레이븐,제임스 맥티그,2012-07-05,153278
더로드,존 힐코트,2010-01-07,176152
더리치,진-밥티스트 레오네티,2015-07-16,8153
더바디,오리올 파울로,2014-05-22,66733
더보이,윌리엄 브렌트 벨,2016-06-01,55875
더브레이브,"에단 코엔,조엘 코엔",2011-02-24,31152
