movieNm,openDt,audiAcc,companyNm,directorNm,directorNmEn,genreNm,movieNmEn,nationNm,peopleNm,showTm,watchGradeNm,영화명,영문명,감독명,개봉일,키워드,줄거리,수상내역,_merge
,,,,,,,,,,,,007북경특급2,,"주성치,곡덕소",2014-05-01,"비밀,경호원,중국,임무","무술의 '무'자도 모르는 황실 비밀 경호대원의 아주 특별한 임무!타의 추종을 불허하는 반전 액션 코미디!옛날 중국에선 황제의 보위를 위해 비밀 훈련을 받은 네 인물을 뽑아 보룡일족이라고 불렀다. 보룡일족 네 사람인 공, 희, 발, 제 네사람 중 공, 희, 제는 무술에 관한한 나라안의 최고 귀재였지만 발만은 무술에는 문외한이다. 원래 지방의 의사였던 발은 머리를 짜내 황제에게 바칠 발명품들을 만들어냈다. 암행어사 마패모양의 자석 방어기구와 황제를 위한 초대형 선풍기가 그것. 그러나 황상은 그를 중히 여기지 않고, 다만 발에게 신분을 숨기고 민심을 살피는 임무를 주는데……",,right_only
,,,,,,,,,,,,1000최후의전사들,,아칸 사타예브,2014-11-12,,"칭기즈칸 제국을 재건하려는 준가 족은 카자흐 민족을 학살하고 폭정을 일삼는다.  가족이 몰살당하고 마을이 불태워지는 것을 목격한 사르타이는 7년 뒤 용맹한 청년으로 장성하여검술 실력을 갈고 닦으며 복수를 다짐한다. 사르타이는 카자흐의 독립을 위해 뜻을 같이하는 청년들을 모아 '천 명의 전사들 '이라는 결사대를 조직하는 한편, 친구의 질투와 배신, 안타까운 사랑과 희생을 겪으며 강인한 전사로 성장한다. 마침내 준가 족을 몰아내기 위한 결전의 날, 사르타이와 '천 명의 전사들'은 3만 명의 준가 족 대군에 맞서 역사적인 아니라카이 전투에 나서는데...",,right_only
,,,,,,,,,,,,108영웅전설의무공,A Battle of Latent Blood,류신의,2019-05-23,"진실 찾기,의적,무공,함정,신분위장,최후의 결전,무협,영웅,운명,소설원작",의문의 서신에 숨겨진 거대한 음모진실을 밝혀야만 모두를 구할 수 있다!양산을 지키고 있는 의적이자 전설의 무공 ‘시진’은 어느 날 자신의 수장 ‘송강’에게 온 의문의 서신을 발견한다.황제의 충신인 ‘진금석’ 대인으로부터 온 긴급한 내용에 무언가 함정이 도사리고 있음을 직감한 ‘시진’은 수장을 대신하여 자신의 신분을 감춘 채 도성으로 입궐한다.‘시진’은 진 대인의 아들 ‘진현보’의 무술 선생이 되어 은밀하게 서신의 진위에 대해 파악하려 하지만 예기치 않게 의적 신분이 탄로나면서 도성을 빠져나갈 수 없게 되는데…,,right_only
,,,,,,,,,,,,108잠들수없는시간,You Shall Not Sleep,구스타보 헤르난데즈,2018-12-04,"정신병원,수면박탈,불면증,생체실험","어느 버려진 정신병원. 한 극단이 창작의 일환으로 불면증에 관한 실험공연을 진행한다. 잠들지 못한 날들이 계속되면서 단원들은 점점 인지적 한계(New Thresholds of perception)에 도달하고, 병원 폐쇄에 얽힌 비밀과 초자연적인 에너지를 감지하기에 이른다. 한편, 주인공이 되고자 실험공연에 지원한 젊은 여배우 비앙카 (Bianca)는 동료들의 시기와 불면의 스트레스 뿐만 아니라 비극적 결말을 예고하는 미스터리한 존재들로부터도 살아남아야만 하는 상황에 놓이게 되는데…",,right_only
,,,,,,,,,,,,10바이10,10x10,수지 유잉,2019-01-03,"과거의 비밀,여자의과거,납치",피할 수 없는 비밀 그리고 진실!꽃집을 운영하는 캐시는 요가 수업을 듣고 나오던 중 정체 모를 괴한에게 납치된다. 남자는 캐시를 외딴곳에 있는 집에 데려가서 방음 시설이 완비된 작은 방 안에 손발을 꽁꽁 묶어 가둔다. 5만 달러를 주겠다고 해도 남자는 돈은 필요 없다고 하며 캐시에게 이름과 출생지와 가족 사항 등 개인적인 질문만 해댄다. 그러다 감추고 싶었던 캐시의 비밀이 서서히 드러나는데…,,right_only
10일간의원나잇스탠드,2012-11-29,1510.0,['(주)소나무픽쳐스'],다니엘 아르비드,Danielle Arbid,"['멜로/로맨스', '드라마']",beiruthotel,['프랑스'],"[('샤를스 베르링', '마티유')]",95.0,청소년관람불가,,,,,,,,left_only
,,,,,,,,,,,,12번째솔저,The 12th Man,해럴드 워트,2019-04-11,"제2차세계대전,노르웨이,저항군,생존기,생존자,전쟁,탈출,추격","전 세계를 놀라게 한 전설적인 전쟁 생존기!제2차 세계대전 나치에 점령된 노르웨이.나치를 함락시킬 유일한 ‘마틴 레드 작전’에 노르웨이 저항군 12명이 투입된다.하지만 작전 도중 발각되어 이들 중 11명은 체포되고 단 1명, '얀'만이 총상을 입은 채 탈출에 성공한다.혹독한 추위와 험난한 설산 속에서 냉혈한 나치 친위대 쿠르트 슈타게는 집요하게 추격해오는데…제2차 세계 대전 생존 스토리 중 가장 처절하고 감동적인 탈출 실화가 공개된다!",,right_only
,,,,,,,,,,,,12피트,12 Feet Deep,맷 에스카다리,2018-11-08,"수영장,탈출,생존본능,생존기","너비 50미터, 수심 3.7M! 어느 곳에도 탈출구는 없다!긴 연휴를 앞둔 하루 전, 수영장을 찾은 ‘브리’.언니 ‘조나’와 함께 수영장 바닥 아래에서 약혼반지를 찾으려 애쓰는 사이,그만 수영장 덮개가 닫히고 만다.모두가 나가고 아무도 없는 수영장.어둠이 깔리고, 점점 차가워져 가는 물속에서생존을 향한 두 자매의 필사적인 사투가 시작된다! 11월, 당신의 심장을 멎게 할 수중 스릴러가 찾아온다!",,right_only
,,,,,,,,,,,,18린코,,조조 히데오,2010-08-12,에로배우,의사를 꿈꾸는 소녀 린코가 아버지의 부도로 애로배우가 되어 성공을 한다는 내용의 영화,,right_only
,,,,,,,,,,,,18린코2,,조조 히데오,2011-11-17,"가난,에로영화,비디오,여배우","불우한 어린 시절을 보낸 린코는 오갈데 없는 신세로 이곳 저곳을 전전하다 비디오 회사인 바 기획에 들어가 일을 하게 되고, 자신과 같은 처지의 아는 언니 사쿠라코를 만나 함께 일하게 된다. 그러나 사쿠라코가 진 빚을 회사가 보증을 서게 되고 회사가 넘어갈지 모르는 위험에 처하게 된다. 린코는 비디오 황제가 주최하는 비디오 작품 대회의 상금이 엄청나다는 것을 알고 대회에 출전하자고 한다. 출전하기로 한 사장을 비롯한 회사 동료들은 여배우를 찾으러 사방을 돌아다니다 남자에게 실연당한 다미코를 발굴한다. 그리고 작품을 찍어 대회에 제출해 공동우승을 한다. 결국 회사는 안정되고 사쿠라코는 아버지인 비디오 황제를 만나고 린코는 의학공부를 하는 꿈을 이루게 된다.",,right_only
