"TITLE","OPEN_DT","OPEN_MONTH","OPEN_QUARTER","SHOW_TM","NATION_NM","TOP_COMPANY_NM","PRI_GENRE_NM","WATCH_GRADE_NM","SERIES","NAVER_CMT_NN","NAVER_EX_PT","ORI_BOOK","AUDI_ACC"
"명량","2014-07-30","7","3",128,"한국","씨제이이앤엠(주)","사극","15세이상관람가","0",1673,13639,"1",17613682
"극한직업","2019-01-23","1","1",111,"한국","씨제이이앤엠(주)","코미디","15세이상관람가","0",189,603,"0",16263083
"신과함께-죄와 벌","2017-12-20","12","4",139,"한국","롯데쇼핑㈜롯데엔터테인먼트","판타지","12세이상관람가","1",4161,57194,"1",14410754
"국제시장","2014-12-17","12","4",126,"한국","씨제이이앤엠(주)","드라마","12세이상관람가","0",1229,12784,"1",14245998
"베테랑","2015-08-05","8","3",123,"한국","씨제이이앤엠(주)","액션","15세이상관람가","0",685,9952,"0",13395400
"도둑들","2012-07-25","7","3",135,"한국","기타","액션","15세이상관람가","0",702,0,"0",12983330
"7번방의 선물","2013-01-23","1","1",127,"한국","(주)넥스트엔터테인먼트월드(NEW)","코미디","15세이상관람가","0",770,0,"0",12811206
"암살","2015-07-22","7","3",139,"한국","기타","액션","15세이상관람가","0",910,20846,"0",12705700
"광해, 왕이 된 남자","2012-09-13","9","3",131,"한국","씨제이이앤엠(주)","사극","15세이상관람가","0",278,0,"1",12319542
"신과함께-인과 연","2018-08-01","8","3",141,"한국","기타","판타지","12세이상관람가","1",484,5023,"1",12253247
"택시운전사","2017-08-02","8","3",137,"한국","기타","드라마","15세이상관람가","0",3536,45603,"0",12099971
"부산행","2016-07-20","7","3",118,"한국","(주)넥스트엔터테인먼트월드(NEW)","액션","15세이상관람가","0",5143,62952,"0",11565078
"변호인","2013-12-18","12","4",126,"한국","(주)넥스트엔터테인먼트월드(NEW)","드라마","15세이상관람가","0",26634,0,"1",11372451
"어벤져스: 인피니티 워","2018-04-25","4","2",149,"미국","기타","액션","12세이상관람가","1",1320,44404,"1",11211880
"어벤져스: 에이지 오브 울트론","2015-04-23","4","2",141,"미국","기타","액션","12세이상관람가","1",2883,96176,"1",10494499
"겨울왕국","2014-01-16","1","1",108,"미국","기타","애니메이션","전체관람가","1",1070,0,"0",10296101
"인터스텔라","2014-11-06","11","4",169,"미국","워너브러더스 코리아(주)","SF","12세이상관람가","0",808,11513,"0",10273803
"보헤미안 랩소디","2018-10-31","10","4",134,"미국","이십세기폭스코리아(주)","드라마","12세이상관람가","0",138,1119,"0",9946132
"검사외전","2016-02-03","2","1",126,"한국","기타","범죄","15세이상관람가","0",741,46891,"0",9699092
"관상","2013-09-11","9","3",139,"한국","기타","사극","15세이상관람가","0",1586,0,"0",9134586
"아이언맨 3","2013-04-25","4","2",130,"미국","기타","액션","12세이상관람가","1",3260,0,"0",9001309
"설국열차","2013-08-01","8","3",125,"한국","씨제이이앤엠(주)","SF","15세이상관람가","0",4320,0,"1",8914845
"캡틴 아메리카: 시빌 워","2016-04-27","4","2",147,"미국","기타","액션","12세이상관람가","1",1141,55504,"1",8677249
"수상한 그녀","2014-01-22","1","1",124,"한국","씨제이이앤엠(주)","드라마","15세이상관람가","0",1481,0,"0",8656397
"해적: 바다로 간 산적","2014-08-06","8","3",129,"한국","롯데쇼핑㈜롯데엔터테인먼트","어드벤처","12세이상관람가","1",1657,4941,"0",8646758
"공조","2017-01-18","1","1",125,"한국","씨제이이앤엠(주)","액션","15세이상관람가","0",613,9879,"0",7817446
"트랜스포머 3","2011-06-29","6","2",152,"미국","씨제이이앤엠(주)","액션","12세이상관람가","1",1801,0,"0",7784807
"히말라야","2015-12-16","12","4",127,"한국","씨제이이앤엠(주)","드라마","12세이상관람가","0",546,13693,"0",7759473
"미션임파서블:고스트프로토콜","2011-12-15","12","4",132,"미국","씨제이이앤엠(주)","액션","15세이상관람가","1",314,0,"0",7575899
"밀정","2016-09-07","9","3",139,"한국","워너브러더스 코리아(주)","액션","15세이상관람가","0",442,13996,"0",7487545
"최종병기 활","2011-08-10","8","3",122,"한국","롯데쇼핑㈜롯데엔터테인먼트","사극","15세이상관람가","0",461,0,"0",7466976
"써니","2011-05-04","5","2",124,"한국","씨제이이앤엠(주)","드라마","15세이상관람가","1",514,0,"0",7328820
"스파이더맨: 홈 커밍","2017-07-05","7","3",133,"미국","기타","액션","12세이상관람가","1",458,15235,"0",7257973
"1987","2017-12-27","12","4",129,"한국","씨제이이앤엠(주)","드라마","15세이상관람가","0",1220,13877,"0",7231638
"베를린","2013-01-30","1","1",120,"한국","씨제이이앤엠(주)","액션","15세이상관람가","0",1238,0,"0",7166199
"마스터","2016-12-21","12","4",142,"한국","씨제이이앤엠(주)","액션","15세이상관람가","0",1347,18671,"0",7150541
