TITLE,OPEN_DT,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC,CMT_SCORE
명량,2014-07-30,7,3,31,128.0,한국,씨제이이앤엠(주),사극,15세이상관람가,0.0,1673.0,13639.0,1.0,17613682,0.3724534215566777
극한직업,2019-01-23,1,1,4,111.0,한국,씨제이이앤엠(주),코미디,15세이상관람가,0.0,189.0,603.0,0.0,16263083,0.3485714285714286
신과함께-죄와 벌,2017-12-20,12,4,51,139.0,한국,롯데쇼핑㈜롯데엔터테인먼트,판타지,12세이상관람가,1.0,4161.0,57194.0,1.0,14410754,0.3029806747461513
국제시장,2014-12-17,12,4,51,126.0,한국,씨제이이앤엠(주),드라마,12세이상관람가,0.0,1229.0,12784.0,1.0,14245998,0.3812523864070256
베테랑,2015-08-05,8,3,32,123.0,한국,씨제이이앤엠(주),액션,15세이상관람가,0.0,685.0,9952.0,0.0,13395400,0.4222222222222222
도둑들,2012-07-25,7,3,30,135.0,한국,(주)쇼박스,액션,15세이상관람가,0.0,702.0,0.0,0.0,12983330,0.3818181818181817
7번방의 선물,2013-01-23,1,1,4,127.0,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15세이상관람가,0.0,770.0,0.0,0.0,12811206,0.49890029325513197
암살,2015-07-22,7,3,30,139.0,한국,(주)쇼박스,액션,15세이상관람가,0.0,910.0,20846.0,0.0,12705700,0.3076923076923077
"광해, 왕이 된 남자",2012-09-13,9,3,37,131.0,한국,씨제이이앤엠(주),사극,15세이상관람가,0.0,278.0,0.0,1.0,12319542,0.2164705882352941
신과함께-인과 연,2018-08-01,8,3,31,141.0,한국,롯데컬처웍스(주)롯데엔터테인먼트,판타지,12세이상관람가,1.0,484.0,5023.0,1.0,12253247,0.2652937613567535
택시운전사,2017-08-02,8,3,31,137.0,한국,(주)쇼박스,드라마,15세이상관람가,0.0,3536.0,45603.0,0.0,12099971,0.4443924869456785
부산행,2016-07-20,7,3,29,118.0,한국,(주)넥스트엔터테인먼트월드(NEW),액션,15세이상관람가,0.0,5143.0,62952.0,0.0,11565078,0.3735139766520296
변호인,2013-12-18,12,4,51,126.0,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,15세이상관람가,0.0,26634.0,0.0,1.0,11372451,0.2550993977854044
어벤져스: 인피니티 워,2018-04-25,4,2,17,149.0,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,1.0,1320.0,44404.0,1.0,11211880,0.1748971193415638
어벤져스: 에이지 오브 울트론,2015-04-23,4,2,17,141.0,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,1.0,2883.0,96176.0,1.0,10494499,0.1838163781365493
겨울왕국,2014-01-16,1,1,3,108.0,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),애니메이션,전체관람가,1.0,1070.0,0.0,0.0,10296101,0.3911384976525822
인터스텔라,2014-11-06,11,4,45,169.0,미국,워너브러더스 코리아(주),SF,12세이상관람가,0.0,808.0,11513.0,0.0,10273803,0.35474137931034483
보헤미안 랩소디,2018-10-31,10,4,44,134.0,미국,이십세기폭스코리아(주),드라마,12세이상관람가,0.0,138.0,1119.0,0.0,9946132,0.29521829521829523
검사외전,2016-02-03,2,1,5,126.0,한국,(주)쇼박스,범죄,15세이상관람가,0.0,741.0,46891.0,0.0,9699092,0.2984599044078598
관상,2013-09-11,9,3,37,139.0,한국,(주)쇼박스,사극,15세이상관람가,0.0,1586.0,0.0,0.0,9134586,0.4652049571020019
