■ 영화정보 리스트,,,,,,,,
- 조회일: 2019-06-14,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,
▶ 검색조건 : [  영화명: 전체 감독명: 전체 제작연도: 전체 개봉일자:2010-01-01 ~ 2019-06-09 제작상태: 전체 유형: 전체 장르: 전체 등급: 전체 국적: 전체 인덱싱: 전체 입력비율: 전체 ],,,,,,,,
영화명,영화명(영문),제작연도,제작국가,유형,장르,제작상태,감독,제작사
낯선 집,The Strange House,2015,중국,장편,"미스터리,공포(호러),스릴러",개봉,대니 팽,
분신사바-저주의 시작,Bunshinsaba,2012,중국,장편,"스릴러,공포(호러)",개봉,안병기,
히야,HIYA,2015,한국,장편,드라마,개봉,김지연,"(주)메이저타운,(주)더재미팩토리,(주)알지엔터웍스"
PMC: 더 벙커,Take Point,2018,한국,장편,액션,개봉,김병우,(주)퍼펙트스톰필름
R2B: 리턴투베이스,R2B: Return to Base,2012,한국,장편,"액션,드라마",개봉,김동원,"(주)주머니필름,(주)빨간마후라,씨제이이앤엠(주)"
나의 한국어 선생님,My Korean Teacher,2016,일본,장편,"멜로/로맨스,코미디",개봉,아사하라 유조,
걸스 스텝,Girls Step ,2015,일본,장편,드라마,개봉,카와무라 타이스케,
로제타,Rosetta,1999,"프랑스,벨기에",장편,드라마,개봉,"장 피에르 다르덴,뤽 다르덴",
허리케인,Landfall,2018,호주,장편,액션,개봉,트래비스 베인,
발리: 천상의 울림,Bali: Beats of Paradise,2018,미국,장편,다큐멘터리,개봉,리비 쳉,
무협: 강호수사대,LADY DETECTIVE SHADOW,2018,중국,장편,액션,개봉,사숙빈,
엑스맨: 다크 피닉스,X-MEN: DARK PHOENIX,2019,미국,장편,"액션,어드벤처,SF",개봉,사이먼 킨버그,
해피타임 스파이,The Happytime Murders,2018,미국,장편,"코미디,범죄,미스터리",개봉,브라이언 핸슨,
도쿄 오아시스,Tokyo Oasis,2011,일본,장편,드라마,개봉,마츠모토 카나,
보희와 녹양,A Boy and Sungreen,2018,한국,장편,드라마,개봉,안주영,한국영화아카데미
굿바이 마이 러브NK: 붉은 청춘,"Goodbye My Love, North Korea",2017,한국,장편,다큐멘터리,개봉,김소영,822 필름
김군,KIM-GUN,2018,한국,장편,다큐멘터리,개봉,강상우,영화사 풀
소은이의 무릎,Hoop It Up,2018,한국,장편,드라마,개봉,최헌규,(주)에이치앤디엔터테인먼트
극한직업,Extreme Job,2018,한국,장편,코미디,개봉,이병헌,"(주)어바웃필름,영화사 해그림 주식회사,씨제이이앤엠(주)"
뽀로로 극장판 슈퍼썰매 대모험,Pororo: The Racing Adventure,2012,한국,장편,애니메이션,개봉,박영균,"(주)오콘,중국오락문화투자유한회사"
돌연변이,Collective Invention,2015,한국,장편,"드라마,코미디",개봉,권오광,영화사 우상
이별계약,A Wedding Invitation,2013,"한국,중국",장편,"멜로/로맨스,드라마",개봉,오기환,씨제이이앤엠(주)
신촌좀비만화,MAD SAD BAD,2014,한국,옴니버스,드라마,개봉,"류승완,한지승,김태용",한국영화아카데미
소녀,Steel Cold Winter,2013,한국,장편,"멜로/로맨스,미스터리",개봉,최진성,"(주)영화사꽃,(주)뱅가드스튜디오"
기생충,PARASITE,2019,한국,장편,드라마,개봉,봉준호,(주)바른손이앤에이
이상한 게임,,2019,한국,장편,"미스터리,스릴러",개봉,신재천,
후끈한 음란자매,Double mother-in-law Sisters that are drowning in the forbidden lust,2018,일본,장편,성인물(에로),개봉,나가후치 츠요시,
역대급 새엄마 - 불장난,Double mother-in-law 4,2018,일본,장편,성인물(에로),개봉,스즈키 켄지,
스태미나 일본 정식집,Big Butt Diner Ladies,2018,일본,장편,성인물(에로),개봉,나베 아츠시,
나는 원래 대전에서 로맨틱 코미디를 찍으려고 했었다,Daejeon Romantic Comedy,2018,한국,장편,드라마,개봉,배기원,대흥영화사
도어락,Door Lock,2018,한국,장편,"스릴러,드라마",개봉,이권,(주)영화사피어나
러브라이브! 선샤인!! 더 스쿨 아이돌 무비 오버 더 레인보우,Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,2019,일본,장편,애니메이션,개봉,사카이 카즈오,
에델과 어니스트,Ethel & Ernest,2016,"영국,룩셈부르크",장편,"애니메이션,드라마",개봉,로저 메인우드,
빨간머리 앤 : 네버엔딩스토리,Anne of Green Gables Digest Version,2009,일본,장편,"애니메이션,가족,드라마",개봉,다카하타 이사오,
극장판 헬로카봇 : 백악기 시대,Hello Carbot the Movie: The Cretaceous Period,2018,한국,장편,애니메이션,개봉,최신규,(주)초이락컨텐츠팩토리
육덕진 친척 아줌마,Shinseki no Obasan Ichijyo Sera,2018,일본,장편,성인물(에로),개봉,미나마 다이치,
외로움을 달래주는 몸친구,3 Divorced MILFs at Share House 2,2018,일본,장편,성인물(에로),개봉,코사카 야마나카,
오피스텔-잘하는애들로,,2019,한국,장편,멜로/로맨스,개봉,천성준,(주)케이피에이기획
여친 엄마와 불륜,Kanojyo no Haha Izumi Shino,2018,일본,장편,성인물(에로),개봉,미나마 다이치,
아빠와 딸,,2017,한국,장편,"멜로/로맨스,드라마",개봉,왕지방,(주)디에이치미디어
순백 속옷의 마사지사,Pretty Masseuse of Provincial Hotel 13,2018,일본,장편,성인물(에로),개봉,나베 아츠시,
섹스 타짜 여자경찰,Cop and friends,2017,일본,장편,성인물(에로),개봉,와타나베 모토츠구,
새엄마는 정말 헤픈여자,Double mother-in-law 3,2018,일본,장편,성인물(에로),개봉,스즈키 켄지,
불륜과 섹스의 도시,City of Sex,2017,일본,장편,성인물(에로),개봉,쿠니자와 미노루,
불륜 동창회 2 무삭제,,2019,한국,장편,멜로/로맨스,개봉,김종민,(주)영화사가을
보여주는 친척 아줌마,Shinseki no Obasan Saeki Mako,2018,일본,장편,성인물(에로),개봉,미나토야 켄타로,
밀애 2019,,2018,한국,장편,멜로/로맨스,개봉,김이슬,(주)영화사가을
메구리의 황금팬티,Golden underwear,2017,일본,장편,성인물(에로),개봉,카토 요시카즈,
망사 거유녀와 변태 남근,Hentai girl and boy,2017,일본,장편,성인물(에로),개봉,야마자키 쿠니노리,
리얼 마사지사를 과자로 유혹,Pretty Masseuse of Provincial Hotel 12,2018,일본,장편,성인물(에로),개봉,나베 아츠시,
훔쳐보는 새엄마의 능욕,Haha Nigeru,2018,일본,장편,성인물(에로),개봉,미나마 다이치,
하나레이 베이,Hanalei Bay,2018,일본,장편,드라마,개봉,마츠나가 다이시,
폴라로이드,Polaroid,2019,미국,장편,공포(호러),개봉,라스 클리브버그,
빅샤크2: 해저2만리,Happy Little Submarine : 20000 Leagues under the Sea,2018,중국,장편,"애니메이션,어드벤처",개봉,신우,
막내 형수,,2019,한국,장편,멜로/로맨스,개봉,최우성,
닥치고 피아노!,Shut Up and Play the Piano,2018,"독일,영국",장편,다큐멘터리,개봉,필립 예디케,
글로리아 벨,Gloria Bell,2018,미국,장편,"드라마,멜로/로맨스",개봉,세바스찬 렐리오,
아이아이 가사: 다시 만난 그날,Aiaigasa,2018,일본,장편,"가족,드라마",개봉,타쿠마 타카유키,
언더독,Underdog,2018,한국,장편,애니메이션,개봉,"오성윤,이춘백",(주)오돌또기 
똑딱똑딱 마법의 시계나라,The Angel in the Clock,2017,멕시코,장편,애니메이션,개봉,미구엘 앙헬 우리에가스,
트리플 스렛,Triple Threat,2019,"태국,중국,미국",장편,"액션,스릴러",개봉,제시 V. 존슨,
엄마학개론-무삭제,,2018,한국,장편,멜로/로맨스,개봉,차지민,스마일컨텐츠
로켓맨,Rocketman,2019,"영국,미국",장편,"드라마,판타지",개봉,덱스터 플레처,
딸의 애인 2-무삭제판,,2018,한국,장편,멜로/로맨스,개봉,김태수,
친구엄마:은밀한 유혹2,SINYUNOBIJIRIHAHA-01,2018,일본,장편,"멜로/로맨스,드라마",개봉,훌리오 세자르 오하시,
이웃집 유부녀의 성교육,KINJYONOONNA,2018,일본,장편,"멜로/로맨스,드라마",개봉,키무라 히로유키,
유부녀 교환섹스,YARIMANBIJINTUMA,2017,일본,장편,"멜로/로맨스,드라마",개봉,쥬조,
엄마의 망사 속옷,GIBONOHUDEOROSI-02,2018,일본,장편,"멜로/로맨스,드라마",개봉,키무라 히로유키,
애인 : 친구의 딸 무삭제,,2019,한국,장편,멜로/로맨스,개봉,김종민,(주)영화사가을
바람난 유부녀,The Last Supper,2018,일본,장편,"드라마,성인물(에로)",개봉,요시다 쇼,
갖고 싶은 여자,My name is Chiharu,2018,일본,장편,"드라마,성인물(에로)",개봉,히로아키,
저니스 엔드,Journey's End,2017,영국,장편,"전쟁,드라마",개봉,사울 딥,
힘좋은 시아버지와 베란다,My wife and my aunt and my sisters' Meat urinal,2018,일본,장편,성인물(에로),개봉,스즈키 켄지,
친구엄마:사랑이 필요해2,OSOWARETAGIBO,2018,일본,장편,"멜로/로맨스,드라마",개봉,키무라 히로유키,
조깅하는 유부녀와 정사,Lovely Hip Jogger,2018,일본,장편,멜로/로맨스,개봉,사토 미유키,
유부녀와 속옷 도둑,INNRANOBASANTOSITAGITOROBO,2017,일본,장편,"멜로/로맨스,드라마",개봉,아마엔보 쇼군,
유부녀:남편은 출장중,DEXIPUKISU 06,2017,일본,장편,"멜로/로맨스,드라마",개봉,아야노코우지 이쵸쿠센,
역대급 유부녀수영교실,Swimming Affair,2018,일본,장편,멜로/로맨스,개봉,다카하시 노부유키,
어린 여동생,,2019,한국,장편,"멜로/로맨스,드라마",개봉,강정훈,
새엄마:남편 대신 아들,GIBONOHUDEOROSI 01,2018,일본,장편,"멜로/로맨스,드라마",개봉,키무라 히로유키,
새로운 하녀와 불륜남이 이상하다,Housekeeper got stuck,2018,일본,장편,성인물(에로),개봉,스즈키 켄지,
매일밤 스와핑 신혼부부,Swapping honeymoon,2017,일본,장편,성인물(에로),개봉,세키네 카즈요시,
도벽 때문에 오일마사지까지,Sexual esthetics of married women and mother-in-law,2018,일본,장편,성인물(에로),개봉,스즈키 켄지,
남편이 보낸 남자와 정사 - 아내는 몰라,She doesn't know,2017,일본,장편,성인물(에로),개봉,오가와 킨야,
공주님은 쾌락만화작가,Princess is comic writer,2017,일본,장편,성인물(에로),개봉,요시유키 유미,
공원 화장실 덕후 유부녀,Huge breasted married women who were fucked,2018,일본,장편,성인물(에로),개봉,스즈키 켄지,
감성에 젖은 음대선생님,Glamorous Music College Students,2018,일본,장편,멜로/로맨스,개봉,다카사카 나오미,
접대 전문 여비서,,2019,한국,장편,드라마,개봉,,(주)레드언더미디어
달콤한 불륜의 맛 : 상사에게 중독된 아내,OTTONOJYOSITO HITOZUMANO KANKEI,2019,일본,장편,드라마,개봉,,
음란가족,,2019,한국,장편,"드라마,멜로/로맨스",개봉,김종민,(주)로드하우스
어린 엄마 3,,2019,한국,장편,멜로/로맨스,개봉,계장혁,(주)컨텐츠 빌리지
6솔져스,To Die For,2018,터키,장편,"액션,전쟁",개봉,M. 차가타이 토순,
핌트,PIMPED,2018,호주,장편,"범죄,스릴러",개봉,,
정복의 신 징기즈칸,Genghis Khan,2018,중국,장편,"액션,어드벤처,전쟁",개봉,차오루 하쓰,
섹스앤러브돌,SEX and Love Doll : Angela,2018,일본,장편,기타,개봉,,
버닝썬 여경찰,Double Extacy - Beautiful Cops,2019,일본,장편,기타,개봉,,
잘주는 여비서들,,2019,한국,장편,드라마,개봉,윤중부,(주)씨맥스커뮤니케이션즈
음란 과외 2,,2019,한국,장편,멜로/로맨스,개봉,최우성,(주)컨텐츠 빌리지
여선생2 무삭제,,2019,한국,장편,코미디,개봉,김대성,(주)영화사히트
드라큘라: 모로이의 전설,Vamps,2017,러시아,장편,"액션,판타지,공포(호러)",개봉,세르게이 기즈부르크,
어린 엄마 2 - 무삭제판,,2019,한국,장편,멜로/로맨스,개봉,정진호,(주)컨텐츠 빌리지
0.0MHz,0.0MHz,2018,한국,장편,공포(호러),개봉,유선동,(주)제이엠컬쳐스
샤론1.2.3.,Sharon 1.2.3.,2017,미국,장편,코미디,개봉,마크 브라운,
화끈한 룸메이트,,2019,한국,장편,"멜로/로맨스,코미디",개봉,백석동,무비진
서부의 아가씨,La Fanciulla del West    ,2018,미국,장편,공연,개봉,,
뷰티풀 보이스,Beautiful Voice,2017,한국,장편,코미디,개봉,김선웅,(주)그래그거
모진: 용골천서의 비밀,Mojin: The Worm Valley,2018,중국,장편,"판타지,액션,어드벤처",개봉,비행,
메기의 추억,,2019,한국,장편,드라마,개봉,김문옥,스마일픽쳐스
물좋은하숙집2-무삭제,,2018,한국,장편,멜로/로맨스,개봉,장두만,에이원 미디어
착한 사촌 여동생,,2019,한국,장편,드라마,개봉,윤중부,(주)씨맥스커뮤니케이션즈
"처제는, 처제와, 처제의...",,2018,한국,장편,"멜로/로맨스,드라마",개봉,노현진,(주)마이애미미디어
젊은 장모님들,,2019,한국,장편,멜로/로맨스,개봉,이진,(주)소나무픽쳐스
예쁜 며느리,,2019,한국,장편,멜로/로맨스,개봉,이정,(주)소나무픽쳐스
동생의 여자들,,2019,한국,장편,"멜로/로맨스,드라마",개봉,이진,(주)소나무픽쳐스
사스카치 빅풋,American Bigfoot,2017,미국,장편,공포(호러),개봉,,
교회오빠,A Job Who Is near Us,2019,한국,장편,다큐멘터리,개봉,이호경,"KBS,커넥트픽쳐스(주)"
시민 노무현,Citizen Roh,2019,한국,장편,다큐멘터리,개봉,백재호,"엠앤씨에프,(주)영화사진"
파업전야,The Night Before Strike,1990,한국,장편,드라마,개봉,"이은기,이재구,장동홍,장윤현",장산곶매
물의 기억,The Memory Of Water,2019,한국,장편,"다큐멘터리,드라마",개봉,진재운,(주)KNN
너 말고 니 언니,,2019,한국,장편,멜로/로맨스,개봉,김종민,노바엔터테인먼트 
처제와 형수들 (감독판),,2018,한국,장편,멜로/로맨스,개봉,이정,(주)소나무픽쳐스
어린 형수님들 (감독판),,2018,한국,장편,멜로/로맨스,개봉,이재금,(주)소나무픽쳐스
어린 제부 2019 (감독판),,2018,한국,장편,멜로/로맨스,개봉,이정,(주)소나무픽쳐스
당신이어서 고마워요,Care Nin,2017,일본,장편,드라마,개봉,스즈키 코스케,
음탕한 새엄마:푹 젖어버린 상복,RYOUJYOKUTUYA,2018,일본,장편,"멜로/로맨스,드라마",개봉,토미죠 타로,
손님방에서의 불륜 정사,GIKIE OTOUTONOTUMAWOOSOU!,2018,일본,장편,"멜로/로맨스,드라마",개봉,토미죠 타로,
사촌여동생들-무삭제,,2019,한국,장편,멜로/로맨스,개봉,정민용,스마일컨텐츠
미망인들:상중 섹스 무삭제판,Mdaranaonna,2016,일본,장편,"멜로/로맨스,드라마",개봉,나가에 타카미,
킹 오브 프리즘 ?샤이니 세븐 스타즈- IV 루이x신x언노운,KING OF PRISM -Shiny Seven Stars- IV ルヰ×シン×Unknown,2019,일본,장편,애니메이션,개봉,히시다 마사카즈,
친구엄마 : 은밀한 정사 무삭제,,2018,한국,장편,멜로/로맨스,개봉,이상민,(주)영화사가을
영 피카소,Young Picasso,2019,영국,장편,다큐멘터리,개봉,필 그랩스키,
아녜스가 말하는 바르다,Varda by Agnes,2019,프랑스,장편,다큐멘터리,개봉,아녜스 바르다,
새아빠 무삭제,,2018,한국,장편,멜로/로맨스,개봉,이상민,(주)영화사가을
금의위: 용태자의 난,The Imperial Guards-Rising Guard,2018,중국,장편,액션,개봉,손전림,
번개맨의 비밀,,2018,한국,장편,"가족,뮤지컬",개봉,강유선,"힘컨텐츠(주),한국교육방송공사 EBS"
개인교수 : 여친 만족 시키기 무삭제,,2018,한국,장편,멜로/로맨스,개봉,이상민,(주)영화사가을
옹알스,Ongals,2019,한국,장편,"코미디,다큐멘터리",개봉,"차인표,전혜림",(주)티케이씨픽쳐스
피터팬: 후크 선장과 결투의 날,Peter Pan: The Quest for the Never Book ,2018,아일랜드,장편,"애니메이션,어드벤처",개봉,찬드라세카란,
파리의 딜릴리,Dilili in Paris,2018,프랑스,장편,"애니메이션,가족,미스터리",개봉,미셸 오슬로,
우리 지금 만나,Let Us Meet Now,2018,한국,옴니버스,드라마,개봉,"김서윤,강이관,부지영",
