0
예고편만보고 눈물 나올 뻔ㅜ정식개봉 언제인가요빨리 보고 싶습니다  
정말 기대됨 예고편 진짜 잘만들었다!  
"작년에 DMZ 영화재에서 정말 진한 감동을 받았는데, 드디어 국내 개봉을 하네요. 또 보고 싶어요.  "
Dmz개막작으로 보고왔는데 너무 재밌게봤습니다  극장에서 개봉한다니 한번 더 보러가야겠네요  
"인디스페이스에서 진행한 시사회 참석하고 왔습니다. 재일교포들의 이야기를 담은 내용이라 그런지 역사적인 아픔도 있었고, 무엇보다도 순수하게 운동하며 땀이라는 정당한 연습을 통한 내용이 감동적으로 와닿았습니다. 울보 권투부 감동입니다~  "
학생들의 순수한 웃음과 눈물이 어디에도 완전하게 소속되지 못한 재일동포들의 씁쓸한 현실을 그나마 밝혀주고 있는 듯 했습니다.사회에 나가서도 권투를 통해 배운 정신력으로 당당하고 자신감있게 자신들의 길을 개척하길 응원합니다!  
"인간애가  느껴지는 , 그리고 우리를 돌아볼수  있는 그런 영화가 되지않을까. 울보권투부 홧팅!  "
정말 이영화 기대하고있습니다ㅜㅜ 빨리 보고싶네요...  
감동의 쓰나미 예정보러갈게요  
DMZ 개막작이었다니... 기대됩니다!  
현대판  <암살>이라 들었습니다. 화이팅입니다.  
허접 복서 -> 연습 -> 1등   흔한 권투영화의 줄거리  
"디엠씨에서 예고편봤는데,재밋을거같아요  "
애들 왜이리 귀엽나요ㅎㅎㅎ  
예고편 보고 속지마세요  
그냥 뻔한 내용 같다 라면먹고 헝그리 복싱이나 해라  
글러브 벗어던지고 군대나 가라 왜 하필 권투냐 병정놀이하지(타이틀에서 뻔히 보여지는 내용)  
개봉전 평점: 7.76
전체 댓글수: 17
