영화명,영문명,감독명,개봉일,키워드,줄거리,수상내역
코지 판 투테,,메트오페라,2018-10-06,"약혼자,정숙한여인,엇갈린 사랑,3대오페라,모차르트","피오르딜리지, 도라벨라 자매와 그녀의 약혼자들 사이에서 일어나는 사랑 소동을 그린 모차르트의 희극 오레라 '코지 판 투테'의 공연 실황",
루이자 밀러,Luisa miller,메트오페라,2018-11-03,"신분격차,두남녀,비극적사랑,오페라",신분을 넘어선 두 남녀의 비극적인 사랑을 그린 베르디의 오페라 공연 영상,
어메이징 뮤턴트,,스튜어트 길라드,2014-09-03,"일본,성주,닌자,거북이","16세기 일본은 서로 영토를 넓히려는 막부의 충돌로 상당히 어지러운 정국. 신구현의 성주 노리나가(Lord Norinaga: 사브 시모노 분)의 아들 켄신(Kenshin: 헨리 하야시 분) 왕자는 영토욕에 사로잡힌 아버지와의 반목 끝에 투옥되었다가 탈옥을 감행한다. 쫓기던 그는 신당 안으로 숨어드는데 갑작스런 요동과 함께 1992년 현대로 곤두박질친다. 한편, 같은 시간 레오나르도(Leonardo: 마코 카소 분), 도나텔로(Donatello: 짐 라포사 분), 라파엘로(Raphael: 맷 힐 분), 미켈란젤로(Michaelangelo: 데이비드 프레이저 분) 이 4마리의 거북을 돌봐주는 방송기자 에이프릴(April O'Neil: 페이게 터코 분)은 골동품점에서 사온 일본 왕의 문장에 세겨진 문자를 소리내어 읽다가 갑작스런 요동과 함께 16세기의 일본으로 곤두박질친다. 노리나가 성주는 그녀를 마녀로 간주하고 처치하려 한다.",
거짓말 2014,Lies 2014 ( Geojitmal 2014 ),이민환,2014-10-22,,"우리에게 허락된 마지막 랑데뷰… 하루만 같이 있어줘 진희(윤설희)는 능력 없는 남자친구 몫까지 생활비를 벌기 위해 조건만남사이트에서 유부남 민기(홍석연)와 만나게 된다. 처음에는 돈을 목적으로 만난 사이었지만, 점점 자신도 모르게 육체적 관계 그 이상의 감정으로 빠져버리게 되고 어느 날, 몸을 팔고 다니는 창녀라는 소문이 학교 안에 퍼지게 되면서 남자친구와 헤어지게 된다. 남자친구에 대한 배신감과 민기에 대한 사랑이 점점 깊어가면서 진희는 모든 걸 다 정리한 후 유학 길에 오르기로 결심한다. 한국을 떠나기 전날, 마지막 인사를 하기 위해 민기를 찾아 가는데…",
리골레토,RIGOLETTO,마이클 베이어,2013-09-28,"오페라,공연실황",빅토르 위고의 고전 희곡을 원작으로 쥬세페 베르디 오페라 공연 실황을 담은 영상물,
파우스트,FAUST,데스 맥가너프 ,2012-06-19,,괴테의 고전 파우스트 를 재해석한 구노의 파우스트로 뉴욕의 메트로폴리탄 공연 실황을 담은 영화.,
안나 카레니나,ANNA KARENINA,신예지,2018-06-29,"톨스토이,비극,뮤지컬,러시아소설원작,금지된사랑,불륜",금지된 사랑의 비극적 결말을 그린 뮤지컬 공연 실황 영상,
산타모니카 인 러브,And So It Goes,롭 라이너,2018-05-31,"꼰대,노인,손녀,이웃집,관계회복,황혼커플","이기적이고 자기 중심적인 혼자남, 그의 인생에 들이닥친 9살 손녀딸과 이웃집 그 여자의 코믹 로맨스",
볼쇼이 바빌론,Bolshoi Babylon,닉 리드,2016-08-25,,"2013년 1월, 볼쇼이 발레단의 전(前) 수석 무용수이자 예술 감독 세르게이 필린은 자신의 집 앞에서 염산 테러를 당한다. 출중한 외모, 화려한 무대로 볼쇼이 발레단의 얼굴이었던 필린 감독이 당한 사건으로 러시아 국민과 전세계 문화 예술 팬들은 경악한다. 그러나 사건을 수사하며 하나 둘씩 드러나는 볼쇼이 발레단의 숨겨진 이야기. 볼쇼이 발레단 소속 단장, 발레리나, 안무가 등의 육성으로 밝히는 백조의 윤무 저편 숨겨진 세계 최정상 발레단의 어두운 뒷면! 전 세계를 뒤흔든 충격의 스캔들이 공개된다.",
파업전야,The Night before Strike (Paeopjeonya),"이은,이재구,장윤현,장동홍",2019-05-01,"노동자,노사갈등,인권,노조,독립영화","동성금속 단조반에 신입 주완익이 들어오고 단조반원들은 그를 환영한다. 200여 명의 단조반원 중 가난을 벗어버리고 싶은 한수에게는 소박한 꿈이 있다. 동생을 대학에 보내고, 봉제공장에 다니는 미자와 결혼하여 단란한 가정을 꾸리는 것. 한편 김 전무는 노조 결성에 대비해 치밀한 사전 준비를 해나가고, 한수는 평소에 알고 지내던 주임에게 회사 편에 선 노동자로 포섭된다. 단조반원의 중심인물인 석구와 원기는 노조 건설을 결의하고, 단조반원들은 잔업 및 특근 거부 등을 벌이며 노조 설립을 준비한다. 주임으로부터 반장 승진을 제안 받은 한수는 완익을 밀고한다. 이로 인해 완익의 대학생 신분이 발각되고, 해고와 동시에 구속된다. 노조 창립 이후 회사는 노조 핵심 인물들을 해고하지만, 노조원들은 출근 투쟁을 벌이며 회사와 맞선다. 그러던 중 원기가 피습당하는 사건이 발생하고, 노조원들은 이를 한수의 짓이라 생각한다. 이 일로 한수는 관리자들의 농간에 놀아났음을 알게 된다. 회사 측은 폭력배들을 고용해 점거 농성 중인 해고 노동자들을 무력으로 진압한다. 노조원들을 바리게이드를 쌓고 대항하지만, 이들의 무차별적 폭력에 속수무책으로 당하고 공장 밖으로 무참히 끌려 나간다. 한수는 동료들의 비참한 모습을 외면하지 못하고, 공장 기계 가동을 멈추고 다른 노동자들과 함께 그들을 구하러 나간다.",인권영화제(6회)-올해의 인권영화상
모터웨이: 분노의 질주,,정보서,2012-12-06,"경찰,범죄자,운전,은퇴,자동차액션","스피드 액션의 절정을 경험하라! 두기봉 사단, 소이청 감독의 무한 질주 액션 스릴러!!청(여문락)은 뛰어난 운전 실력을 가지고 있는 경찰 비밀 조직의 일원으로, 베테랑 파트너 로(황추생)와 함께 잠복경찰차를 운전하며 과속을 적발하는 일을 하고 있다. 늘 자신의 실력을 과신하던 그 앞에 15년 전 은퇴한 전설적인 범죄자이자 드라이버인 지앙(곽소동)이 나타나고, 두 사람은 추격자와 도망자로 도로에서 격돌한다. 지앙은 동료를 탈옥 시킨 뒤 다이아몬드 탈취에 가담하고, 청은 그를 잡기 위해 홍콩 도심을 누비며 긴박한 추격전을 벌이는데..",
콜로니 : 지구 최후의 날,,제프 렌프로,2014-02-13,,"지구에 살아남은 최후의 인류! 아무도 상상하지 못한 최강의 적과 맞서다! 2144년, 갑작스러운 지구 온난화 이후 빙하기가 찾아왔다. 가까스로 살아남은 생존자들은 살을 에는 듯한 추위와 얼어붙은 땅에 맞서 지하 세계에 '콜로니'라는 새로운 주거 지역을 완성한다. 가까스로 삶을 연명하고 있는 사람들은 각 주거지역에 번호를 붙여 상부상조한다. 그러던 어느 날, 주거지역 콜로니 5의 사람들은 건너편 콜로니 7의 갑작스러운 연락 두절에 소수의 원정대를 파견하게 되고, 콜로니 7에 도착한 그들은 충격적인 장면을 목격하게 되는데…!",시체스 국제판타스틱 영화제(2013) : 오피셜 판타스틱 파노라마부문 - 제프 렌프로
