순번,영진위 영화명,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
1,명량,명량,김한민,(주)빅스톤픽쳐스,,씨제이이앤엠(주),2014-07-30,개봉영화,장편,한국,"1,587","135,748,398,910",17613682,"33,121,225,810","4,163,666",사극,15세이상관람가,일반영화
2,극한직업,극한직업,이병헌,"(주)어바웃필름,영화사 해그림 주식회사,씨제이이앤엠(주)",,씨제이이앤엠(주),2019-01-23,개봉영화,장편,한국,"1,978","139,638,120,516",16263083,"31,857,340,536","3,638,087",코미디,15세이상관람가,일반영화
3,신과함께-죄와 벌,신과함께죄와벌,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,"1,912","115,698,654,137",14410754,"27,530,825,087","3,346,172",판타지,12세이상관람가,일반영화
4,국제시장,국제시장,윤제균,"(주)제이케이필름,씨제이이앤엠(주)",,씨제이이앤엠(주),2014-12-17,개봉영화,장편,한국,966,"110,828,014,630",14245998,"25,842,519,330","3,233,946",드라마,12세이상관람가,일반영화
5,베테랑,베테랑,류승완,"(주)외유내강,(주)필름케이",,씨제이이앤엠(주),2015-08-05,개봉영화,장편,한국,"1,064","105,024,756,250",13395400,"26,766,369,950","3,290,366",액션,15세이상관람가,일반영화
6,도둑들,도둑들,최동훈,(주)케이퍼필름,,(주)쇼박스,2012-07-25,개봉영화,장편,한국,"1,072","93,665,568,500",12983330,"26,089,426,500","3,468,906",액션,15세이상관람가,일반영화
7,7번방의 선물,7번방의선물,이환경,"(주)화인웍스,(주)씨엘엔터테인먼트",,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,개봉영화,장편,한국,787,"91,431,914,670",12811206,"22,800,931,670","3,070,053",코미디,15세이상관람가,일반영화
8,암살,암살,최동훈,(주)케이퍼필름,,(주)쇼박스,2015-07-22,개봉영화,장편,한국,"1,519","98,463,132,781",12705700,"25,306,651,181","3,155,960",액션,15세이상관람가,일반영화
9,"광해, 왕이 된 남자",광해왕이된남자,추창민,"리얼라이즈픽쳐스(주),씨제이이앤엠(주)",,씨제이이앤엠(주),2012-09-13,개봉영화,장편,한국,810,"88,900,208,769",12319542,"25,192,804,727","3,355,700",사극,15세이상관람가,일반영화
10,신과함께-인과 연,신과함께인과연,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-01,개봉영화,장편,한국,"2,235","102,476,768,809",12253247,"22,905,551,759","2,636,542",판타지,12세이상관람가,일반영화
11,택시운전사,택시운전사,장훈,더램프(주),,(주)쇼박스,2017-08-02,개봉영화,장편,한국,"1,906","95,284,747,049",12099971,"22,186,916,199","2,729,932",드라마,15세이상관람가,일반영화
12,부산행,부산행,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,개봉영화,장편,한국,"1,788","93,175,877,048",11565078,"23,020,827,248","2,754,686",액션,15세이상관람가,일반영화
13,변호인,변호인,양우석,위더스필름(주),,(주)넥스트엔터테인먼트월드(NEW),2013-12-18,개봉영화,장편,한국,923,"82,856,578,300",11372451,"22,571,929,000","2,978,688",드라마,15세이상관람가,일반영화
14,어벤져스 인피니티 워,어벤져스인피니티워,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,개봉영화,장편,미국,"2,553","99,919,006,769",11211880,"28,631,269,069","3,008,819",액션,12세이상관람가,일반영화
15,어벤져스 에이지 오브 울트론,어벤져스에이지오브울트론,조스 웨던,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-04-23,개봉영화,장편,미국,"1,843","88,582,586,366",10494499,"25,001,906,266","2,823,388",액션,12세이상관람가,일반영화
16,겨울왕국,겨울왕국,"크리스 벅,제니퍼 리",,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-16,개봉영화,장편,미국,"1,010","82,461,504,400",10296101,"25,847,243,500","3,003,446",애니메이션,전체관람가,일반영화
