순번,영화명,감독,제작사_x,수입사_x,배급사_x,개봉일_x,영화유형_x,영화형태_x,국적_x,전국스크린수_x,전국매출액_x,전국관객수_x,서울매출액_x,서울관객수_x,장르_x,등급_x,영화구분_x,원제,제작년도,원작도서유무,네이버기대지수,개봉전 평점,총댓글수(개봉전),?순번,영진위 영화명,제작사_y,수입사_y,배급사_y,개봉일_y,영화유형_y,영화형태_y,국적_y,전국스크린수_y,전국매출액_y,전국관객수_y,서울매출액_y,서울관객수_y,장르_y,등급_y,영화구분_y,_merge
228.0,007스카이폴,샘 멘데스,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2012-10-26,개봉영화,장편,미국,748,"17,487,213,000",2376145.0,"6,160,910,500","793,030",액션,15세이상관람가,일반영화,SKYFALL,2012.0,0.0,0.0,9.13,238.0,228.0,007 스카이폴,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2012-10-26,개봉영화,장편,미국,748,"17,487,213,000",2376145.0,"6,160,910,500","793,030",액션,15세이상관람가,일반영화,both
299.0,007스펙터,샘 멘데스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-11-11,개봉영화,장편,영국,"1,105","14,302,132,030",1820842.0,"4,498,038,930","548,085",액션,15세이상관람가,일반영화,Spectre,2015.0,0.0,6919.0,9.25,253.0,299.0,007 스펙터,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-11-11,개봉영화,장편,영국,"1,105","14,302,132,030",1820842.0,"4,498,038,930","548,085",액션,15세이상관람가,일반영화,both
3875.0,009사이보그,카미야마 켄지,,씨너스엔터테인먼트(주),"씨너스엔터테인먼트(주),㈜T-JOY",2013-05-09,개봉영화,장편,일본,26,"13,154,500",1656.0,"9,494,000","1,116",애니메이션,12세이상관람가,일반영화,009 Re: Cyborg,2012.0,0.0,0.0,5.62,16.0,3875.0,009 사이보그,,씨너스엔터테인먼트(주),"씨너스엔터테인먼트(주),㈜T-JOY",2013-05-09,개봉영화,장편,일본,26,"13,154,500",1656.0,"9,494,000","1,116",애니메이션,12세이상관람가,일반영화,both
1520.0,00mhz,유선동,(주)제이엠컬쳐스,,(주)스마일이엔티,2019-05-29,개봉영화,장편,한국,446,"438,004,540",59344.0,"96,587,670","12,605",공포(호러),15세이상관람가,일반영화,,2018.0,0.0,495.0,7.91,129.0,1520.0,0.0MHz,(주)제이엠컬쳐스,,(주)스마일이엔티,2019-05-29,개봉영화,장편,한국,446,"438,004,540",59344.0,"96,587,670","12,605",공포(호러),15세이상관람가,일반영화,both
3822.0,100미터,마르셀 바레나,,㈜코리아스크린,"㈜코리아스크린,와이드 릴리즈(주)",2017-07-20,개봉영화,장편,스페인,41,"12,841,500",1770.0,"6,587,300",861,코미디,15세이상관람가,독립/예술영화,100 meters,2016.0,0.0,89.0,9.78,9.0,3822.0,100미터,,㈜코리아스크린,"㈜코리아스크린,와이드 릴리즈(주)",2017-07-20,개봉영화,장편,스페인,41,"12,841,500",1770.0,"6,587,300",861,코미디,15세이상관람가,독립/예술영화,both
3980.0,10일간의원나잇스탠드,다니엘 아르비드,,(주)소나무픽쳐스,(주)소나무픽쳐스,2012-11-29,개봉영화,장편,프랑스,1,"3,180,000",1510.0,"3,180,000","1,510",멜로/로맨스,청소년관람불가,일반영화,Beirut Hotel,2011.0,0.0,0.0,0.00,0.0,3980.0,10일간의 원나잇 스탠드,,(주)소나무픽쳐스,(주)소나무픽쳐스,2012-11-29,개봉영화,장편,프랑스,1,"3,180,000",1510.0,"3,180,000","1,510",멜로/로맨스,청소년관람불가,일반영화,both
1051.0,127시간,대니 보일,,이십세기폭스코리아(주),이십세기폭스코리아(주),2011-02-17,개봉영화,장편,미국,233,"1,333,438,500",180332.0,"480,060,000","61,595",드라마,15세이상관람가,일반영화,127 Hours,2010.0,0.0,0.0,8.71,352.0,1051.0,127시간,,이십세기폭스코리아(주),이십세기폭스코리아(주),2011-02-17,개봉영화,장편,미국,233,"1,333,438,500",180332.0,"480,060,000","61,595",드라마,15세이상관람가,일반영화,both
968.0,12솔져스,니콜라이 퓰시,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2018-01-31,개봉영화,장편,미국,211,"1,833,626,400",223740.0,"597,547,500","70,049",액션,15세이상관람가,독립/예술영화,12 Strong,2018.0,0.0,937.0,9.60,97.0,968.0,12 솔져스,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2018-01-31,개봉영화,장편,미국,211,"1,833,626,400",223740.0,"597,547,500","70,049",액션,15세이상관람가,독립/예술영화,both
1127.0,13시간,마이클 베이,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-03-03,개봉영화,장편,미국,380,"1,160,889,514",144827.0,"331,939,114","39,831",액션,15세이상관람가,일반영화,13 Hours: The Secret Soldiers of Benghazi,2016.0,1.0,770.0,8.47,108.0,1127.0,13시간,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-03-03,개봉영화,장편,미국,380,"1,160,889,514",144827.0,"331,939,114","39,831",액션,15세이상관람가,일반영화,both
3168.0,15소년표류기해적섬을탈출하라,나카무라 류타로,,에이원엔터테인먼트,에이원엔터테인먼트,2014-11-27,개봉영화,장편,일본,56,"28,511,700",4341.0,"3,362,600",451,애니메이션,전체관람가,일반영화,The Lost 15 Boys: The Big Adventure On Pirate Island,2013.0,0.0,29.0,7.25,4.0,3168.0,15소년 표류기 해적섬을 탈출하라,,에이원엔터테인먼트,에이원엔터테인먼트,2014-11-27,개봉영화,장편,일본,56,"28,511,700",4341.0,"3,362,600",451,애니메이션,전체관람가,일반영화,both
