순번,영화명,감독,제작사_x,수입사_x,배급사_x,개봉일_x,영화유형_x,영화형태_x,국적_x,전국스크린수_x,전국매출액_x,전국관객수_x,서울매출액_x,서울관객수_x,장르_x,등급_x,영화구분_x,원제,제작년도,원작도서유무,네이버기대지수,개봉전 평점,총댓글수(개봉전),?순번,영진위 영화명,제작사_y,수입사_y,배급사_y,개봉일_y,영화유형_y,영화형태_y,국적_y,전국스크린수_y,전국매출액_y,전국관객수_y,서울매출액_y,서울관객수_y,장르_y,등급_y,영화구분_y,_merge
1135.0,가시,김태균,"(주)캠프비,(주)뱅가드스튜디오",,(주)인벤트스톤,2014-04-10,개봉영화,장편,한국,356,"1,094,017,000",141956.0,"295,827,600","36,552",멜로/로맨스,청소년관람불가,일반영화,Innocent Thing,2013.0,0.0,2456.0,,,,,,,,,,,,,,,,,,,,left_only
4261.0,공각기동대sacsolidstatesociety,카미야마 켄지,,씨너스엔터테인먼트(주),"㈜T-JOY,씨너스엔터테인먼트(주)",2013-05-23,개봉영화,장편,일본,6,"11,777,000",1036.0,"9,846,000",857,애니메이션,15세이상관람가,일반영화,Ghost In The Shell: Solid State Society,2006.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,left_only
3639.0,관계,김명서,"브릿지웍스 엔터테인먼트(주),주식회사 루믹스미디어",,브릿지웍스 엔터테인먼트(주),2014-08-27,개봉영화,장편,한국,19,"10,652,000",2146.0,"6,813,000","1,298",멜로/로맨스,청소년관람불가,일반영화,HARU,2014.0,0.0,199.0,,,,,,,,,,,,,,,,,,,,left_only
240.0,나잇데이,제임스 맨골드,"뉴리전시 픽쳐스,리젠시 엔터프라이즈,이십세기폭스필름코퍼레이션,트리 라인 필름,로드레벨,핑크",이십세기폭스코리아(주),이십세기폭스코리아(주),2010-06-24,개봉영화,장편,미국,501,"17,054,262,425",2282191.0,"6,032,890,000","771,899",액션,15세이상관람가,일반영화,Knight & Day,2010.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,left_only
2459.0,더게스트,미겔 앙헬 비바스,,(주)스톰픽쳐스코리아,(주)스톰픽쳐스코리아,2018-09-12,개봉영화,장편,스페인,228,"101,103,647",11517.0,"32,138,997","3,615",공포(호러),청소년관람불가,독립/예술영화,Inside,2017.0,0.0,78.0,,,,,,,,,,,,,,,,,,,,left_only
1988.0,더데이,백창주,(주)씨제스엔터테인먼트,,롯데쇼핑㈜롯데시네마,2012-02-23,개봉영화,장편,한국,30,"192,005,000",24163.0,"97,169,500","11,890",다큐멘터리,전체관람가,일반영화,The Day,2012.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,left_only
2673.0,돈조반니,카를로스 사우라,,라인트리엔터테인먼트,(주)디지탈케이아이엔,2010-10-14,개봉영화,장편,이탈리아,16,"60,646,870",8392.0,"46,842,400","6,281",드라마,15세이상관람가,독립/예술영화,"I, Don Giovanni",2009.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,left_only
1474.0,돌이킬수없는,박수영,(주)재크필름,,㈜케이디미디어,2010-11-04,개봉영화,장편,한국,205,"472,974,485",65414.0,"116,550,500","15,060",미스터리,15세이상관람가,일반영화,No Doubt,2010.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,left_only
453.0,동창생,박홍수,"더램프(주),(주)황금물고기",,(주)쇼박스,2013-11-06,개봉영화,장편,한국,660,"6,983,395,126",1044522.0,"1,583,311,126","221,965",액션,15세이상관람가,일반영화,Commitment,2013.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,left_only
3894.0,드래곤빌리지화이트니스타운을구하라,민경호,(주)에픽캔,,(주)에픽캔,2017-06-08,개봉영화,장편,한국,3,"5,729,500",1637.0,"2,114,000",604,애니메이션,전체관람가,독립/예술영화,,2017.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,left_only
961.0,딥,줄리오 소토 거피드,,(주)영화사 빅,(주)이수C&E,2017-10-03,개봉영화,장편,스페인,441,"1,746,940,500",226933.0,"349,568,900","43,492",애니메이션,전체관람가,독립/예술영화,Deep,2017.0,0.0,668.0,,,,,,,,,,,,,,,,,,,,left_only
3752.0,라보엠,,,(주)인스터피씨엠,(주)인스터피씨엠,2014-08-02,개봉영화,장편,미국,2,"29,297,000",1899.0,"28,005,000","1,820",공연,전체관람가,일반영화,La Bohrme,2014.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,left_only
3314.0,라트라비아타,후고 데 아나,,(주)케빈앤컴퍼니,(주)케빈앤컴퍼니,2013-07-06,개봉영화,장편,독일,2,"92,164,500",3515.0,"81,167,500","3,112",공연,전체관람가,독립/예술영화,LA TRAVIATA,2011.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,left_only
3823.0,라트라비아타,,,(주)인스터피씨엠,(주)인스터피씨엠,2017-08-05,개봉영화,장편,미국,11,"40,719,500",1768.0,"27,107,000","1,176",공연,12세이상관람가,일반영화,La Traviata,2015.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,left_only
4020.0,라트라비아타,,,(주)케빈앤컴퍼니,(주)케빈앤컴퍼니,2017-01-22,개봉영화,장편,독일,9,"35,543,500",1442.0,"26,549,500","1,078",공연,12세이상관람가,일반영화,La Traviata,2015.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,left_only
