,영화명,개봉일,감독,"API구분(left=kmdb, right=영진위)"
11548,푸른강은흘러라,2009-10-08,강미자,right_only
11365,퍼니게임,2009-10-08,미카엘 하네케,right_only
7140,알제리전투,2009-10-15,질로 폰테코르보,right_only
4847,북극의눈물,2009-10-15,"허태정,조준묵",right_only
1172,까칠한그녀의달콤한연애비법,2009-10-22,니샤 가나트라,right_only
11305,파주,2009-10-28,박찬옥,right_only
4402,바스터즈거친녀석들,2009-10-28,쿠엔틴 타란티노,right_only
7919,여행자,2009-10-29,우니 르콩트,right_only
2302,더코브슬픈돌고래의진실,2009-10-29,루이 시호요스,right_only
1511,내눈에콩깍지,2009-11-05,이장수,right_only
9905,집행자,2009-11-05,최진호,right_only
10154,청담보살,2009-11-11,김진영,right_only
10092,천국의우편배달부,2009-11-12,이형민,right_only
41,19Nineteen,2009-11-12,장용우,right_only
4558,백야행,2009-11-19,박신우,right_only
779,귀없는토끼,2009-11-19,틸 슈바이거,right_only
5017,브로큰임브레이스,2009-11-19,페드로 알모도바르,right_only
4356,바람,2009-11-26,이성한,right_only
1260,나는행복합니다,2009-11-26,윤종찬,right_only
2220,더문,2009-11-26,던칸 존스,right_only
10734,크리스마스캐롤,2009-11-26,로버트 저메키스,right_only
1928,닌자어쌔신,2009-11-26,제임스 맥티그,right_only
12225,홍길동의후예,2009-11-26,정용기,right_only
1890,뉴문,2009-12-02,크리스 웨이츠,right_only
7637,에반게리온파,2009-12-03,"마샤유키,츠루마키 카즈야",right_only
8590,위대한침묵,2009-12-03,필립 그로닝,right_only
6499,시크릿,2009-12-03,윤재구,right_only
6440,시간의춤,2009-12-03,송일곤,right_only
3905,모범시민,2009-12-10,F. 게리 그레이,right_only
3201,로망은없다,2009-12-10,"박재옥,수경,홍은지",right_only
7871,여자없는세상,2009-12-10,송재윤,right_only
350,감자심포니,2009-12-10,전용택,right_only
1687,너와나의21세기,2009-12-10,류형기,right_only
1237,나는곤경에처했다,2009-12-10,소상민,right_only
8563,웰컴,2009-12-10,필립 리오레,right_only
9782,줄리줄리아,2009-12-10,노라 에프론,right_only
7814,여배우들,2009-12-10,이재용,right_only
7737,엘라의계곡,2009-12-10,폴 해기스,right_only
9147,일렉트릭미스트,2009-12-17,베르트랑 타베르니에,right_only
6893,아바타,2009-12-17,제임스 카메론,right_only
10328,친구사이,2009-12-17,김조광수,right_only
1143,기죽지마라,2009-12-17,김형진,right_only
491,걸프렌즈,2009-12-17,강석범,right_only
5306,사람을찾습니다,2009-12-17,이서,right_only
10089,천국의속삭임,2009-12-17,크리스티아노 보르토네,right_only
9725,좋아서만든영화,2009-12-17,"고달우,김모모",right_only
5910,셜록홈즈,2009-12-23,가이 리치,right_only
11245,파르나서스박사의상상극장,2009-12-23,테리 길리엄,right_only
9388,전우치,2009-12-23,최동훈,right_only
8199,올웨이스비보이,2009-12-24,권우탁,right_only
11490,포켓몬스터DP아르세우스초극의시공으로,2009-12-24,유야마 쿠니히코,right_only
11323,판타스틱Mr폭스,2009-12-24,웨스 앤더슨,right_only
7228,앨빈과슈퍼밴드2,2009-12-30,베티 토머스,right_only
2980,러브매니지먼트,2009-12-31,스티븐 벨버,right_only
1378,나인,2009-12-31,롭 마샬,right_only
1019,극장판파워레인저엔진포스VS와일드스피릿,2010-01-07,모로타 사토시,right_only
1020,극장판파워레인저엔진포스vs와일드스피릿,2010-01-07,,left_only
8150,오페라투란도트메트로폴리탄,2010-01-10,프랑코 제피렐리,right_only
6931,아스트로보이아톰의귀환,2010-01-13,데이빗 보워스,right_only
2599,동쪽의에덴극장판1더킹오브에덴,2010-01-28,,left_only
2600,동쪽의에덴극장판더킹오브에덴,2010-01-28,카미야마 켄지,right_only
8753,유희왕,2010-01-28,츠지 하츠키,right_only
6513,식객2김치전쟁,2010-01-28,"백동훈,김길형",right_only
6514,식객김치전쟁,2010-01-28,,left_only
8152,오페라호프만의이야기,2010-02-06,"게리 할버슨,바틀렛 쉐어",right_only
12188,호프만의이야기,2010-02-06,,left_only
5271,뼈를깎는사랑,2010-02-18,,left_only
11454,폐인킬러,2010-02-18,,left_only
4555,백신의시대,2010-02-18,,left_only
11187,틈사이,2010-02-18,,left_only
4326,밀크,2010-02-25,구스 반 산트,right_only
10685,쿵푸허슬무적파이터,2010-02-25,,left_only
8148,오페라장미의기사,2010-03-06,"바바라 윌리스 스위츠,나데니 엘 매릴",right_only
9311,장미의기사,2010-03-06,,left_only
5334,사랑은언제나진행중,2010-03-11,바트 프룬디치,right_only
2497,도와줘에로스,2010-03-18,이강생,right_only
6856,아마존의눈물,2010-03-25,"김진만,김현철",right_only
8149,오페라카르멘메트로폴리탄,2010-04-04,"게리 할버슨,리처드 이어",right_only
1274,나를믿어줘,2010-04-10,,left_only
5633,샤인어라이트1st지드래곤콘서트,2010-04-15,정치영,right_only
53,1st지드래곤콘서트ShineaLight,2010-04-15,,left_only
6333,스트리트워,2010-04-28,,left_only
4795,부끄러움,2010-04-29,,left_only
8143,오페라시몬보카네그라메트로폴리탄,2010-05-09,지안카를로 델모나코,right_only
6455,시몬보카네그라,2010-05-09,,left_only
5681,서태지밴드라이브투어더뫼비우스,2010-05-21,서태지,right_only
5089,블러디쉐이크,2010-05-27,김지용,right_only
1078,금단의유혹,2010-05-27,,left_only
5013,브로큰데이트,2010-05-27,,left_only
8151,오페라햄릿메트로폴리탄,2010-06-12,브라이언 라지,right_only
8318,요짐보,2010-07-02,,left_only
8144,오페라아르미다메트로폴리탄,2010-07-10,"게리 할버슨,메리 짐머만",right_only
6842,아르미다,2010-07-10,,left_only
7031,아키하바라의하녀카페완전한사육,2010-07-29,후카사쿠 켄타,right_only
9211,잊혀진가방,2010-07-29,김상철,right_only
1624,내첫사랑을너에게바친다,2010-08-05,신조 타케히코,right_only
7749,엘리베이터,2010-08-05,,left_only
2756,디센트Part2,2010-08-11,존 해리스,right_only
2755,디센트PART2,2010-08-11,,left_only
1420,남쪽으로튀어,2010-08-12,,left_only
1408,남의섹스를비웃지마,2010-08-12,,left_only
2301,더코드,2010-08-12,,left_only
1362,나의할아버지,2010-08-12,,left_only
11786,하나오니1운명의장난,2010-08-12,,left_only
2571,돌핀블루,2010-08-12,,left_only
4523,배터리,2010-08-12,,left_only
2409,데메킹,2010-08-12,,left_only
2004,다중인격소녀ISOLA,2010-08-12,,left_only
1990,다이브,2010-08-12,,left_only
7173,애디언텀블루,2010-08-12,,left_only
28,18린코,2010-08-12,,left_only
9387,전염가,2010-08-12,하라다 마사토,right_only
10284,츠야코와료칸의정사2,2010-08-12,,left_only
9003,이케맨뱅크,2010-08-12,,left_only
802,그남자와의밀애,2010-08-17,,left_only
12092,헬라이드,2010-08-19,,left_only
3652,맛있는사랑,2010-08-19,,left_only
9127,인플루언스,2010-08-19,이재규,right_only
3352,리시와난폭한황제,2010-08-19,,left_only
8619,위커맨,2010-08-26,,left_only
8996,이지어위드프랙티스,2010-08-26,,left_only
2925,라임라이프,2010-09-02,데릭 마티니,right_only
