,?MOVIE_NM,OPEN_DT,NATION_NM,COMPANY_NM
0,명량,2014-07-30,한국,씨제이이앤엠(주)
1,극한직업,2019-01-23,한국,씨제이이앤엠(주)
2,신과함께죄와벌,2017-12-20,한국,롯데쇼핑㈜롯데엔터테인먼트
3,국제시장,2014-12-17,한국,씨제이이앤엠(주)
4,베테랑,2015-08-05,한국,씨제이이앤엠(주)
5,도둑들,2012-07-25,한국/홍콩,(주)쇼박스
6,7번방의선물,2013-01-23,한국,(주)넥스트엔터테인먼트월드(NEW)
7,암살,2015-07-22,한국,(주)쇼박스
8,광해왕이된남자,2012-09-13,한국,씨제이이앤엠(주)
9,신과함께인과연,2018-08-01,한국,롯데컬처웍스(주)롯데엔터테인먼트
10,택시운전사,2017-08-02,한국,(주)쇼박스
11,부산행,2016-07-20,한국,(주)넥스트엔터테인먼트월드(NEW)
12,변호인,2013-12-18,한국,(주)넥스트엔터테인먼트월드(NEW)
13,어벤져스인피니티워,2018-04-25,미국,월트디즈니컴퍼니코리아 유한책임회사
14,어벤져스에이지오브울트론,2015-04-23,미국,월트디즈니컴퍼니코리아(주)
15,겨울왕국,2014-01-16,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
16,인터스텔라,2014-11-06,미국/영국,워너브러더스 코리아(주)
17,보헤미안랩소디,2018-10-31,미국,이십세기폭스코리아(주)
18,검사외전,2016-02-03,한국,(주)쇼박스
19,관상,2013-09-11,한국,(주)쇼박스
20,아이언맨3,2013-04-25,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
21,설국열차,2013-08-01,체코/한국,씨제이이앤엠(주)
22,캡틴아메리카시빌워,2016-04-27,미국,월트디즈니컴퍼니코리아(주)
23,수상한그녀,2014-01-22,한국,씨제이이앤엠(주)
24,해적바다로간산적,2014-08-06,한국,롯데쇼핑㈜롯데엔터테인먼트
25,공조,2017-01-18,한국,씨제이이앤엠(주)
26,트랜스포머3,2011-06-29,미국,씨제이이앤엠(주)
27,히말라야,2015-12-16,한국,씨제이이앤엠(주)
28,미션임파서블고스트프로토콜,2011-12-15,미국,씨제이이앤엠(주)
29,밀정,2016-09-07,미국/한국,워너브러더스 코리아(주)
30,최종병기활,2011-08-10,한국,롯데쇼핑㈜롯데엔터테인먼트
31,써니,2011-05-04,한국,씨제이이앤엠(주)
32,스파이더맨홈커밍,2017-07-05,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
33,1987,2017-12-27,한국,씨제이이앤엠(주)
34,베를린,2013-01-30,독일/한국,씨제이이앤엠(주)
35,마스터,2016-12-21,한국,씨제이이앤엠(주)
36,터널,2016-08-10,한국,(주)쇼박스
37,어벤져스,2012-04-26,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
38,내부자들,2015-11-19,한국,(주)쇼박스
39,인천상륙작전,2016-07-27,한국,씨제이이앤엠(주)
40,럭키,2016-10-13,한국,(주)쇼박스
41,은밀하게위대하게,2013-06-05,한국,(주)쇼박스
42,곡성,2016-05-12,미국/한국,이십세기폭스코리아(주)
43,범죄도시,2017-10-03,한국,(주)키위미디어그룹/메가박스중앙(주)플러스엠
44,늑대소년,2012-10-31,한국,씨제이이앤엠(주)
45,군함도,2017-07-26,한국,씨제이이앤엠(주)
46,미션임파서블폴아웃,2018-07-25,미국,롯데컬처웍스(주)롯데엔터테인먼트
47,다크나이트라이즈,2012-07-19,미국/영국,워너브러더스 코리아(주)
48,아저씨,2010-08-04,한국,씨제이엔터테인먼트
49,사도,2015-09-16,한국,(주)쇼박스
50,미션임파서블로그네이션,2015-07-30,미국,롯데쇼핑㈜롯데엔터테인먼트
51,킹스맨시크릿에이전트,2015-02-11,미국/영국,이십세기폭스코리아(주)
52,연평해전,2015-06-24,한국,(주)넥스트엔터테인먼트월드(NEW)
53,인셉션,2010-07-21,미국,워너브러더스 코리아(주)
54,레미제라블,2012-12-19,미국,유니버설픽쳐스인터내셔널 코리아(유)
55,쥬라기월드폴른킹덤,2018-06-06,미국,유니버설픽쳐스인터내셔널 코리아(유)
56,청년경찰,2017-08-09,한국,롯데쇼핑㈜롯데엔터테인먼트
57,숨바꼭질,2013-08-14,한국,(주)넥스트엔터테인먼트월드(NEW)
58,덕혜옹주,2016-08-03,한국,롯데쇼핑㈜롯데엔터테인먼트
59,더테러라이브,2013-07-31,한국,롯데쇼핑㈜롯데엔터테인먼트
60,쥬라기월드,2015-06-11,미국,유니버설픽쳐스인터내셔널 코리아(유)
61,캡틴마블,2019-03-06,미국,월트디즈니컴퍼니코리아 유한책임회사
62,의형제,2010-02-04,한국,(주)쇼박스
63,감시자들,2013-07-03,한국,(주)넥스트엔터테인먼트월드(NEW)
64,앤트맨과와스프,2018-07-04,미국,월트디즈니컴퍼니코리아 유한책임회사
65,닥터스트레인지,2016-10-26,미국,월트디즈니컴퍼니코리아(주)
66,검은사제들,2015-11-05,한국,씨제이이앤엠(주)
67,안시성,2018-09-19,한국,(주)넥스트엔터테인먼트월드(NEW)
68,블랙팬서,2018-02-14,미국,월트디즈니컴퍼니코리아 유한책임회사
69,더킹,2017-01-18,한국,(주)넥스트엔터테인먼트월드(NEW)
70,완득이,2011-10-20,한국,씨제이이앤엠(주)
71,트랜스포머사라진시대,2014-06-25,미국,씨제이이앤엠(주)
72,완벽한타인,2018-10-31,한국,롯데컬처웍스(주)롯데엔터테인먼트
73,월드워z,2013-06-20,미국,롯데쇼핑㈜롯데엔터테인먼트
74,타워,2012-12-25,한국,씨제이이앤엠(주)
75,미녀와야수,2017-03-16,미국,월트디즈니컴퍼니코리아 유한책임회사
76,독전,2018-05-22,한국,(주)넥스트엔터테인먼트월드(NEW)
77,쿵푸팬더2,2011-05-26,미국,씨제이이앤엠(주)
78,아쿠아맨,2018-12-19,미국/호주,워너브러더스 코리아(주)
79,공작,2018-08-08,한국,씨제이이앤엠(주)
80,인사이드아웃,2015-07-09,미국,월트디즈니컴퍼니코리아(주)
81,킹스맨골든서클,2017-09-27,미국/영국,이십세기폭스코리아(주)
82,바람과함께사라지다,2012-08-08,한국,(주)넥스트엔터테인먼트월드(NEW)
83,마션,2015-10-08,미국,이십세기폭스코리아(주)
84,토르라그나로크,2017-10-25,미국,월트디즈니컴퍼니코리아 유한책임회사
85,어메이징스파이더맨,2012-06-28,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
86,님아그강을건너지마오,2014-11-27,한국,(주)대명문화공장/CGV아트하우스
87,조선명탐정각시투구꽃의비밀,2011-01-27,한국,(주)쇼박스
88,군도민란의시대,2014-07-23,한국,(주)쇼박스
