MOVIE_NM,OPEN_DT,GENRE_NM,SP_LANG,GENRE_NM_sorted,SP_LANG_sorted
명량,2014-07-30,사극/액션,ja/ko,사극/액션,ja/ko
극한직업,2019-01-23,코미디,ko,코미디,ko
신과함께죄와벌,2017-12-20,판타지/드라마,ko,드라마/판타지,ko
국제시장,2014-12-17,드라마,de/en/ko/ vi,드라마, vi/de/en/ko
베테랑,2015-08-05,액션/드라마,ru/en/ko,드라마/액션,en/ko/ru
도둑들,2012-07-25,액션/범죄,ko/ cn/en/zh/ja,범죄/액션, cn/en/ja/ko/zh
7번방의선물,2013-01-23,코미디/드라마,ko,드라마/코미디,ko
암살,2015-07-22,액션/드라마,cn/zh/ko/ fr/en/ja,드라마/액션, fr/cn/en/ja/ko/zh
광해왕이된남자,2012-09-13,사극/드라마,ko,드라마/사극,ko
신과함께인과연,2018-08-01,판타지/드라마,ko,드라마/판타지,ko
택시운전사,2017-08-02,드라마,de/en/ko,드라마,de/en/ko
부산행,2016-07-20,액션/스릴러,ko,스릴러/액션,ko
변호인,2013-12-18,드라마,ko,드라마,ko
어벤져스인피니티워,2018-04-25,액션/어드벤처/판타지/SF,en,SF/액션/어드벤처/판타지,en
어벤져스에이지오브울트론,2015-04-23,액션/어드벤처/판타지/SF,en,SF/액션/어드벤처/판타지,en
겨울왕국,2014-01-16,애니메이션/어드벤처/가족/코미디/뮤지컬/판타지,en,가족/뮤지컬/애니메이션/어드벤처/코미디/판타지,en
인터스텔라,2014-11-06,SF,en,SF,en
보헤미안랩소디,2018-10-31,드라마,en,드라마,en
검사외전,2016-02-03,범죄/코미디,ko,범죄/코미디,ko
관상,2013-09-11,사극/드라마,ko,드라마/사극,ko
아이언맨3,2013-04-25,액션/어드벤처/SF,en,SF/액션/어드벤처,en
설국열차,2013-08-01,SF/액션,en/fr/ja/ko,SF/액션,en/fr/ja/ko
캡틴아메리카시빌워,2016-04-27,액션/SF/스릴러,ro/ en/de/ru,SF/스릴러/액션, en/de/ro/ru
수상한그녀,2014-01-22,드라마,ko,드라마,ko
해적바다로간산적,2014-08-06,어드벤처,ko,어드벤처,ko
공조,2017-01-18,액션,ko,액션,ko
트랜스포머3,2011-06-29,액션/어드벤처,en,액션/어드벤처,en
히말라야,2015-12-16,드라마,ko,드라마,ko
미션임파서블고스트프로토콜,2011-12-15,액션,en/ru/fr/ar/sv,액션,ar/en/fr/ru/sv
밀정,2016-09-07,액션,en/ja/ko,액션,en/ja/ko
최종병기활,2011-08-10,사극/액션,ko,사극/액션,ko
써니,2011-05-04,드라마/코미디,ko,드라마/코미디,ko
스파이더맨홈커밍,2017-07-05,액션/어드벤처/SF,en,SF/액션/어드벤처,en
1987,2017-12-27,드라마,ko,드라마,ko
베를린,2013-01-30,액션,de/en/ko,액션,de/en/ko
마스터,2016-12-21,액션/범죄,ko,범죄/액션,ko
터널,2016-08-10,드라마,ko,드라마,ko
어벤져스,2012-04-26,액션/SF,en/hi/ru,SF/액션,en/hi/ru
내부자들,2015-11-19,범죄/드라마,ko,드라마/범죄,ko
인천상륙작전,2016-07-27,전쟁/드라마,en/ko,드라마/전쟁,en/ko
럭키,2016-10-13,코미디,ko,코미디,ko
은밀하게위대하게,2013-06-05,액션/코미디/드라마,ko,드라마/액션/코미디,ko
곡성,2016-05-12,미스터리/스릴러/드라마,de/ja/ko/ es,드라마/미스터리/스릴러, es/de/ja/ko
범죄도시,2017-10-03,범죄/액션,ko,범죄/액션,ko
늑대소년,2012-10-31,멜로/로맨스/드라마/판타지,ko,드라마/로맨스/멜로/판타지,ko
군함도,2017-07-26,액션/드라마,ja/ko,드라마/액션,ja/ko
미션임파서블폴아웃,2018-07-25,액션/스릴러,en/fr,스릴러/액션,en/fr
다크나이트라이즈,2012-07-19,액션/범죄/스릴러,en,범죄/스릴러/액션,en
아저씨,2010-08-04,액션/드라마,ko,드라마/액션,ko
사도,2015-09-16,사극,ko,사극,ko
