TITLE,OPEN_DT,AUDI_ACC,CMT_SCORE,NAVER_PRE_EVAL
명량,2014-07-30,17613682,0.3724534215566777,8.64
극한직업,2019-01-23,16263083,0.3485714285714286,8.02
신과함께-죄와 벌,2017-12-20,14410754,0.3029806747461513,8.04
국제시장,2014-12-17,14245998,0.3812523864070256,8.76
베테랑,2015-08-05,13395400,0.4222222222222222,8.89
도둑들,2012-07-25,12983330,0.3818181818181817,8.69
7번방의 선물,2013-01-23,12811206,0.498900293255132,9.53
암살,2015-07-22,12705700,0.3076923076923077,8.29
"광해, 왕이 된 남자",2012-09-13,12319542,0.2164705882352941,9.79
신과함께-인과 연,2018-08-01,12253247,0.2652937613567535,6.71
택시운전사,2017-08-02,12099971,0.4443924869456785,8.5
부산행,2016-07-20,11565078,0.3735139766520296,8.23
변호인,2013-12-18,11372451,0.2550993977854044,6.08
어벤져스: 인피니티 워,2018-04-25,11211880,0.1748971193415638,9.54
어벤져스: 에이지 오브 울트론,2015-04-23,10494499,0.1838163781365493,9.52
겨울왕국,2014-01-16,10296101,0.3911384976525822,9.63
인터스텔라,2014-11-06,10273803,0.35474137931034483,9.58
보헤미안 랩소디,2018-10-31,9946132,0.29521829521829523,9.67
검사외전,2016-02-03,9699092,0.2984599044078598,9.01
관상,2013-09-11,9134586,0.4652049571020019,9.51
아이언맨 3,2013-04-25,9001309,0.3261707988980716,9.67
설국열차,2013-08-01,8914845,0.3648136667355513,8.17
캡틴 아메리카: 시빌 워,2016-04-27,8677249,0.17173661917597227,9.46
수상한 그녀,2014-01-22,8656397,0.4981902792140641,9.55
해적: 바다로 간 산적,2014-08-06,8646758,0.2991735537190083,8.11
공조,2017-01-18,7817446,0.44817432273262653,8.51
트랜스포머 3,2011-06-29,7784807,0.30916762562332184,9.49
히말라야,2015-12-16,7759473,0.4208050182958704,8.19
미션임파서블:고스트프로토콜,2011-12-15,7575899,0.3871681415929204,9.18
밀정,2016-09-07,7487545,0.3953813855843247,8.75
최종병기 활,2011-08-10,7466976,0.3506815365551425,8.64
써니,2011-05-04,7328820,0.3864894795127353,9.0
스파이더맨: 홈 커밍,2017-07-05,7257973,0.1987127916331456,9.12
1987,2017-12-27,7231638,0.30865064046323915,7.55
베를린,2013-01-30,7166199,0.3825387708213671,8.83
마스터,2016-12-21,7150541,0.3472505091649695,8.58
터널,2016-08-10,7118592,0.351422550052687,8.28
어벤져스,2012-04-26,7074867,0.2559523809523809,9.44
내부자들,2015-11-19,7071763,0.31414141414141417,7.78
인천상륙작전,2016-07-27,7049643,0.2960141477350021,7.57
럭키,2016-10-13,6965706,0.528152260111023,9.35
은밀하게 위대하게,2013-06-05,6953800,0.3458472615068141,9.59
곡성,2016-05-12,6878264,0.33672272193977315,8.85
범죄도시,2017-10-03,6851297,0.44291576152546464,9.28
늑대소년,2012-10-31,6654837,0.4534134821811937,9.28
군함도,2017-07-26,6592151,0.4175730926483067,8.55
미션 임파서블: 폴아웃,2018-07-25,6584915,0.2075,9.35
다크 나이트 라이즈,2012-07-19,6396528,0.24771183938588726,9.57
아저씨,2010-08-04,6282774,0.35064935064935066,9.1
사도,2015-09-16,6246849,0.3710792131844763,8.67
미션 임파서블: 로그네이션,2015-07-30,6126488,0.2564102564102564,9.59
킹스맨 : 시크릿 에이전트,2015-02-11,6125154,0.3975265017667845,9.32
연평해전,2015-06-24,6043458,0.2465223665223665,9.45
인셉션,2010-07-21,5926948,0.40285400658616893,9.34
레미제라블,2012-12-19,5911890,0.4934383202099738,9.6
쥬라기 월드: 폴른 킹덤,2018-06-06,5661128,0.2637729549248748,9.09
청년경찰,2017-08-09,5636259,0.4341769212909218,8.77
숨바꼭질,2013-08-14,5602543,0.3753926701570681,9.11
덕혜옹주,2016-08-03,5593551,0.41483316333964737,8.23
더 테러 라이브,2013-07-31,5583596,0.2924850555081127,7.64
쥬라기 월드,2015-06-11,5546792,0.2533191715347849,9.26
캡틴 마블,2019-03-06,5540958,0.1571015375247374,4.88
의형제,2010-02-04,5507106,0.44005449591280654,9.19
감시자들,2013-07-03,5496547,0.3692242475625265,8.34
앤트맨과 와스프,2018-07-04,5447826,0.18085106382978725,7.81
닥터 스트레인지,2016-10-26,5446379,0.3214129960750109,9.29
검은 사제들,2015-11-05,5440945,0.3381818181818182,8.48
안시성,2018-09-19,5440186,0.3092933204259439,6.88
블랙 팬서,2018-02-14,5398994,0.3203559510567297,8.9
더 킹,2017-01-18,5316325,0.4321954274976511,8.54
완득이,2011-10-20,5310510,0.5261136712749616,9.5
트랜스포머: 사라진 시대,2014-06-25,5295801,0.17805277152791982,6.19
완벽한 타인,2018-10-31,5294119,0.3355704697986577,7.59
월드 워 Z,2013-06-20,5237525,0.3486024844720497,9.29
타워,2012-12-25,5181014,0.3595172559813678,7.88
미녀와 야수,2017-03-16,5137993,0.3403141361256545,8.79
독전,2018-05-22,5063620,0.4104134762633997,8.88
쿵푸팬더 2,2011-05-26,5062722,0.2978723404255319,9.46
아쿠아맨,2018-12-19,5038134,0.2833333333333333,8.54
공작,2018-08-08,4971261,0.40930232558139534,7.65
인사이드 아웃,2015-07-09,4968687,0.38564273789649417,9.55
킹스맨: 골든 서클,2017-09-27,4945484,0.2829028290282903,8.98
바람과 함께 사라지다,2012-08-08,4897551,0.40728476821192056,9.54
마션,2015-10-08,4875494,0.4391462306993642,9.6
토르: 라그나로크,2017-10-25,4857152,0.3082706766917293,9.41
어메이징 스파이더맨,2012-06-28,4853123,0.2837596668649613,7.85
"님아, 그 강을 건너지 마오",2014-11-27,4801355,0.343717549325026,9.8
조선명탐정 : 각시투구꽃의 비밀,2011-01-27,4786259,0.3984575835475577,9.09
군도: 민란의 시대,2014-07-23,4774895,0.34375842545160423,9.28
범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,4710454,0.4673913043478261,9.31
주토피아,2016-02-17,4703245,0.4348118279569893,9.72
엣지 오브 투모로우,2014-06-04,4697142,0.3847802786709539,9.23
신세계,2013-02-21,4682492,0.3710045662100457,8.99
신비한 동물사전,2016-11-16,4666993,0.2538382804503582,9.59
도가니,2011-09-22,4662822,0.3953764078245406,9.24
내 아내의 모든 것,2012-05-17,4598583,0.4964285714285714,9.13
판도라,2016-12-07,4571142,0.3668326073428749,8.13
연가시,2012-07-05,4513026,0.3182308522114347,7.8
아이언맨 2,2010-04-29,4498335,0.3329938900203666,9.23
강철비,2017-12-14,4451336,0.3446567586694975,7.49
해리포터와 죽음의 성물2,2011-07-13,4400298,0.250901225666907,9.6
엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,4313871,0.3136067101584343,9.16
아가씨,2016-06-01,4277071,0.40013404825737264,7.93
어메이징 스파이더맨 2,2014-04-23,4168350,0.2566978193146417,9.02
용의자,2013-12-24,4131248,0.4716282894736842,9.28
건축학개론,2012-03-22,4110645,0.3706563706563705,9.01
