OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,CMT_SCORE,AUDI_ACC,y_pred,exp(test_y),exp(y_pred)
31,128,한국,씨제이이앤엠(주),사극,15세이상관람가,0,7.42237370098682,9.52068861492688,0.372453421556678,16.6841865443637,15.883633713571,17613682,7909963.40705784
4,111,한국,씨제이이앤엠(주),코미디,15세이상관람가,0,5.24174701505964,6.40191719672719,0.348571428571429,16.604408250507,14.9390365933473,16263083,3075680.0626226
51,139,한국,롯데쇼핑㈜롯데엔터테인먼트,판타지,12세이상관람가,1,8.33351070898294,10.9542042767611,0.302980674746151,16.4834852913813,15.8241632793676,14410754,7453268.950112
51,126,한국,씨제이이앤엠(주),드라마,12세이상관람가,0,7.11395610956603,9.45594966800606,0.381252386407026,16.4719865831301,15.6604489141981,14245998,6327709.71452126
32,123,한국,씨제이이앤엠(주),액션,15세이상관람가,0,6.52941883826223,9.20552881497896,0.422222222222222,16.4104219224038,15.6954120434678,13395400,6552859.27875978
30,135,한국,(주)쇼박스,액션,15세이상관람가,0,6.55393340402581,0,0.381818181818182,16.3791767848735,15.6216689050172,12983330,6087018.24605998
4,127,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15세이상관람가,0,6.64639051484773,0,0.498900293255132,16.3658308146406,15.2618788516617,12811206,4247660.21504091
30,139,한국,(주)쇼박스,액션,15세이상관람가,0,6.8134445995109,9.94491736229927,0.307692307692308,16.3575612696374,15.8654087362713,12705700,7767110.20573172
37,131,한국,씨제이이앤엠(주),사극,15세이상관람가,0,5.62762111369064,0,0.216470588235294,16.326697340054,15.4504181304822,12319542,5128983.91604944
31,141,한국,롯데컬처웍스(주)롯데엔터테인먼트,판타지,12세이상관람가,1,6.18208490671663,8.52178264375005,0.265293761356753,16.321301521057,15.6679779060714,12253247,6375530.78586957
31,137,한국,(주)쇼박스,드라마,15세이상관람가,0,8.17075142375753,10.7277287828121,0.444392486945679,16.3087136138699,15.7718877963882,12099971,7073654.42685074
29,118,한국,(주)넥스트엔터테인먼트월드(NEW),액션,15세이상관람가,0,8.54539184577492,11.0501278102148,0.37351397665203,16.2635005981126,15.672663567972,11565078,6405474.46576349
51,126,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,15세이상관람가,0,10.1899438740621,0,0.255099397785404,16.2467044097778,15.4569378285724,11372451,5162532.58745988
17,149,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,1,7.18538701558042,10.7010848344525,0.174897119341564,16.2324844883911,15.8311893793023,11211880,7505820.76355259
17,141,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,1,7.9665866976384,11.4739351252789,0.183816378136549,16.1663617730798,15.9156966481408,10494499,8167689.69797224
3,108,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),애니메이션,전체관람가,1,6.97541392745595,0,0.391138497652582,16.1472758378448,15.1254220798809,10296101,3705845.81156967
45,169,미국,워너브러더스 코리아(주),SF,12세이상관람가,0,6.69456205852109,9.35123211067366,0.354741379310345,16.14510781521,15.3643791279981,10273803,4706142.49856058
44,134,미국,이십세기폭스코리아(주),드라마,12세이상관람가,0,4.92725368515721,7.02019070831193,0.295218295218295,16.1126942898358,14.128256842125,9946132,1367174.61316581
