,audiAcc,movieNm
0,"17,613,682",명량
1,"16,263,083",극한직업
2,"14,410,754",신과함께-죄와 벌
3,"14,245,998",국제시장
4,"13,395,400",베테랑
5,"12,983,330",도둑들
6,"12,811,206",7번방의 선물
7,"12,705,700",암살
8,"12,319,542","광해, 왕이 된 남자"
9,"12,253,247",신과함께-인과 연
10,"12,099,971",택시운전사
11,"11,565,078",부산행
12,"11,372,451",변호인
13,"11,211,880",어벤져스: 인피니티 워
14,"10,494,499",어벤져스: 에이지 오브 울트론
15,"10,296,101",겨울왕국
16,"10,273,803",인터스텔라
17,"9,946,132",보헤미안 랩소디
18,"9,699,092",검사외전
19,"9,134,586",관상
20,"9,001,309",아이언맨 3
21,"8,914,845",설국열차
22,"8,677,249",캡틴 아메리카: 시빌 워
23,"8,656,397",수상한 그녀
24,"8,646,758",해적: 바다로 간 산적
25,"8,435,381",아바타
26,"7,817,446",공조
27,"7,784,807",트랜스포머 3
28,"7,759,473",히말라야
29,"7,575,899",미션임파서블:고스트프로토콜
30,"7,487,545",밀정
31,"7,466,976",최종병기 활
32,"7,328,820",써니
33,"7,257,973",스파이더맨: 홈 커밍
34,"7,231,638",1987
35,"7,166,199",베를린
36,"7,150,541",마스터
37,"7,118,592",터널
38,"7,074,867",어벤져스
39,"7,071,763",내부자들
40,"7,049,643",인천상륙작전
41,"6,965,706",럭키
42,"6,953,800",은밀하게 위대하게
43,"6,878,264",곡성
44,"6,851,297",범죄도시
45,"6,654,837",늑대소년
46,"6,592,151",군함도
47,"6,584,915",미션 임파서블: 폴아웃
48,"6,396,528",다크 나이트 라이즈
49,"6,282,774",아저씨
50,"6,246,849",사도
51,"6,126,488",미션 임파서블: 로그네이션
52,"6,125,154",킹스맨 : 시크릿 에이전트
53,"6,043,458",연평해전
54,"5,926,948",인셉션
55,"5,911,890",레미제라블
56,"5,661,128",쥬라기 월드: 폴른 킹덤
57,"5,636,259",청년경찰
58,"5,602,543",숨바꼭질
59,"5,593,551",덕혜옹주
60,"5,583,596",더 테러 라이브
61,"5,546,792",쥬라기 월드
62,"5,540,958",캡틴 마블
63,"5,507,106",의형제
64,"5,496,547",감시자들
65,"5,447,826",앤트맨과 와스프
66,"5,446,379",닥터 스트레인지
67,"5,440,945",검은 사제들
68,"5,440,186",안시성
69,"5,398,994",블랙 팬서
70,"5,316,325",더 킹
71,"5,310,510",완득이
72,"5,295,801",트랜스포머: 사라진 시대
73,"5,294,119",완벽한 타인
74,"5,237,525",월드 워 Z
75,"5,181,014",타워
76,"5,137,993",미녀와 야수
77,"5,063,620",독전
78,"5,062,722",쿵푸팬더 2
79,"5,038,134",아쿠아맨
80,"4,971,261",공작
81,"4,968,687",인사이드 아웃
82,"4,945,484",킹스맨: 골든 서클
83,"4,897,551",바람과 함께 사라지다
84,"4,875,494",마션
85,"4,857,152",토르: 라그나로크
86,"4,853,123",어메이징 스파이더맨
87,"4,801,355","님아, 그 강을 건너지 마오"
88,"4,786,259",조선명탐정 : 각시투구꽃의 비밀
89,"4,774,895",군도: 민란의 시대
90,"4,710,454",범죄와의 전쟁: 나쁜놈들 전성시대
91,"4,703,245",주토피아
92,"4,697,142",엣지 오브 투모로우
93,"4,682,492",신세계
94,"4,666,993",신비한 동물사전
95,"4,662,822",도가니
96,"4,598,583",내 아내의 모든 것
97,"4,571,142",판도라
98,"4,513,026",연가시
99,"4,498,335",아이언맨 2
100,"4,451,336",강철비
101,"4,400,298",해리포터와 죽음의 성물2
102,"4,313,871",엑스맨: 데이즈 오브 퓨처 패스트
103,"4,277,071",아가씨
104,"4,168,350",어메이징 스파이더맨 2
105,"4,131,248",용의자
106,"4,110,645",건축학개론
107,"4,057,546",댄싱퀸
108,"4,018,341",꾼
109,"4,002,134",혹성탈출: 반격의 서막
110,"4,001,813",타짜-신의 손
111,"3,984,812",쿵푸팬더3
112,"3,963,220",캡틴 아메리카: 윈터 솔져
113,"3,893,216",박수건달
114,"3,888,096",베놈
115,"3,872,015",조선명탐정 : 사라진 놉의 딸
116,"3,849,433",역린
117,"3,842,441",매드 맥스: 분노의 도로
118,"3,829,891",남한산성
119,"3,784,602",데드풀 2
120,"3,772,620",암수살인
121,"3,754,983",국가부도의 날
122,"3,689,325",미이라
123,"3,671,356",전우치
124,"3,653,238",분노의 질주: 더 익스트림
125,"3,637,122",너의 이름은.
126,"3,610,642",인턴
127,"3,597,193",라라랜드
128,"3,586,523",귀향
129,"3,579,666",리얼 스틸
130,"3,562,123",신의 한 수
131,"3,510,017",코코
132,"3,450,941",부러진 화살
133,"3,450,143",끝까지 간다
134,"3,427,464",비긴 어게인
135,"3,423,920",스파이
136,"3,417,629",그것만이 내 세상
137,"3,408,144",이끼
138,"3,389,046",돈
139,"3,385,706",포화속으로
140,"3,379,762",맨 인 블랙 3
141,"3,375,735",어바웃 타임
142,"3,324,861",슈퍼배드 3
143,"3,317,196",데드풀
144,"3,280,243",아이 캔 스피크
145,"3,273,879",스타워즈: 깨어난 포스
146,"3,247,558",분노의 질주: 더 세븐
147,"3,239,371",터미네이터 제니시스
148,"3,227,452",그래비티
149,"3,189,091",마녀
150,"3,167,760",악인전
151,"3,148,038",탐정: 리턴즈
152,"3,130,046",캐리비안의 해적: 낯선 조류
153,"3,125,069",퀵
154,"3,119,023",감기
155,"3,100,113",나우 유 씨 미 2
156,"3,068,544",하모니
157,"3,049,894",캐리비안의 해적: 죽은 자는 말이 없다
158,"3,044,134",스물
159,"3,039,889",토르: 다크 월드
160,"3,035,116",방자전
161,"3,033,052",인크레더블 2
162,"3,004,647",레드: 더 레전드
163,"3,001,530",오싹한 연애
164,"3,000,056",드래곤 길들이기 2
165,"2,982,022",형
166,"2,971,475",친구 2
167,"2,963,449",26년
168,"2,949,944",서치
169,"2,945,137",고지전
170,"2,938,818",엑스맨: 아포칼립스
171,"2,931,897",프리즌
172,"2,921,331",솔트
173,"2,897,477",헬로우 고스트
174,"2,860,786",극비수사
175,"2,841,788",표적
176,"2,839,921",앤트맨
177,"2,836,774",호빗: 다섯 군대 전투
178,"2,820,029",너의 결혼식
179,"2,818,993",호빗: 뜻밖의 여정
180,"2,812,427",메이즈 러너
181,"2,811,757",말모이
182,"2,809,053",해리 포터와 죽음의 성물1
183,"2,801,949",빅 히어로
184,"2,792,705",덩케르크
