순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
37,마스터,조의석,영화사 집,,씨제이이앤엠(주),2016-12-21,개봉영화,장편,한국,"1,501","58,067,927,865","7,150,541","14,520,299,965","1,731,940",액션,15세이상관람가,일반영화
42,럭키,이계벽,(주)용필름,,(주)쇼박스,2016-10-13,개봉영화,장편,한국,"1,158","56,361,435,256","6,965,706","13,812,629,836","1,640,015",코미디,15세이상관람가,일반영화
45,범죄도시,강윤성,"(주)홍필름,(주)비에이엔터테인먼트",,"메가박스중앙(주)플러스엠,(주)키위미디어그룹",2017-10-03,개봉영화,장편,한국,"1,315","56,077,813,249","6,851,297","14,046,905,449","1,670,254",범죄,청소년관람불가,일반영화
77,미녀와 야수,빌 콘돈,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-03-16,개봉영화,장편,미국,"1,627","42,130,589,579","5,137,993","13,177,630,229","1,531,839",멜로/로맨스,전체관람가,일반영화
136,스파이,이승준,"(주)제이케이필름,씨제이이앤엠(주)",,씨제이이앤엠(주),2013-09-05,개봉영화,장편,한국,785,"24,436,429,305","3,423,920","5,483,475,805","733,029",액션,15세이상관람가,일반영화
150,마녀,박훈정,"(주)영화사 금월,(주)페퍼민트앤컴퍼니",,워너브러더스 코리아(주),2018-06-27,개봉영화,장편,한국,"1,117","27,242,029,463","3,189,091","6,459,959,863","732,154",미스터리,15세이상관람가,일반영화
208,아수라,김성수,(주)사나이픽처스,,씨제이이앤엠(주),2016-09-28,개봉영화,장편,한국,"1,278","20,576,226,662","2,594,028","5,577,412,282","676,676",범죄,청소년관람불가,일반영화
213,정글북,존 파브로,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-06-09,개봉영화,장편,미국,924,"21,457,807,134","2,532,051","6,360,280,354","702,113",어드벤처,12세이상관람가,일반영화
214,목격자,조규장,(주)에이디사공육,,(주)넥스트엔터테인먼트월드(NEW),2018-08-15,개봉영화,장편,한국,"1,021","21,732,042,597","2,524,086","4,600,434,447","514,732",스릴러,15세이상관람가,일반영화
230,블라인드,안상훈,(주)문와쳐,,(주)넥스트엔터테인먼트월드(NEW),2011-08-10,개봉영화,장편,한국,404,"18,361,430,500","2,362,906","5,974,758,500","736,580",스릴러,청소년관람불가,일반영화
233,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,"18,396,836,358","2,315,882","5,393,002,858","648,385",액션,15세이상관람가,일반영화
287,해결사,권혁재,(주)외유내강,,"(주)넥스트엔터테인먼트월드(NEW),(주)에스비에스콘텐츠허브",2010-09-09,개봉영화,장편,한국,524,"14,063,913,437","1,873,327","3,623,264,000","456,531",액션,15세이상관람가,일반영화
433,하루,조선호,(주)라인필름,,CGV아트하우스,2017-06-15,개봉영화,장편,한국,781,"9,068,009,842","1,129,018","2,244,976,142","270,183",스릴러,15세이상관람가,일반영화
