영화명,개봉일,키워드,수상내역,순번,감독,제작사,수입사,배급사,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,API구분
가시,2012-03-08,"결혼,사채,재건축,재산,엄마,엄마와아들,빚,사채빚",,5177.0,김중현,한국영화아카데미,,씨제이이앤엠(주),개봉영화,장편,한국,1,"1,696,500",216,"1,524,000",191,드라마,15세이상관람가,독립/예술영화,both
가시,2014-04-10,"집착,파멸,여학교,선생님,여학생,사랑",황금촬영상 시상식(2015) : 촬영상-은상 -,1135.0,김태균,"(주)캠프비,(주)뱅가드스튜디오",,(주)인벤트스톤,개봉영화,장편,한국,356,"1,094,017,000","141,956","295,827,600","36,552",멜로/로맨스,청소년관람불가,일반영화,both
고백,2011-03-31,"여교사,중학교,죄책감,복수,유아살해",부천국제판타스틱영화제(2010) : 부천초이스심사위원특별상(장편) - 나카시마 테츠야,1696.0,나카시마 테츠야,,(주)미로비젼,(주)미로비젼,개봉영화,장편,일본,36,"337,747,500","43,127","221,624,500","27,659",드라마,청소년관람불가,독립/예술영화,both
고백,2015-08-20,"기억,기억상실,미스터리,치정극,욕망,네 남녀",,4629.0,정영배,"이글루픽쳐스,(주)오이필름",,더그레이트 컴퍼니,개봉영화,장편,한국,20,"2,847,000",568,"364,000",68,미스터리,청소년관람불가,독립/예술영화,both
골든슬럼버,2010-08-26,,,1463.0,나카무라 요시히로,"씨제이엔터테인먼트,Dub",씨제이엔터테인먼트,씨제이엔터테인먼트,개봉영화,장편,일본,139,"483,993,392","66,224","215,645,000","28,330",스릴러,12세이상관람가,일반영화,both
골든슬럼버,2018-02-14,"일본소설원작,소설원작,소설쓰기,국가기관,살인누명",,374.0,노동석,영화사 집,,씨제이이앤엠(주),개봉영화,장편,한국,833,"11,412,768,798","1,387,508","2,666,693,198","315,506",범죄,15세이상관람가,일반영화,both
내아내의친구,2016-09-08,"아내,아내친구,동거",,5322.0,엠씨짱,(주)케이알씨지,,(주)케이알씨지,개봉영화,장편,한국,20,"922,000",177,"541,000",108,멜로/로맨스,청소년관람불가,일반영화,both
내아내의친구,2017-01-05,,,8010.0,김정오,(주)영화사가을,,(주)영화사가을,개봉영화,장편,한국,1,"5,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화,both
너의췌장을먹고싶어,2017-10-25,,,710.0,츠키카와 쇼,,(주)미디어캐슬,(주)넥스트엔터테인먼트월드(NEW),개봉영화,장편,일본,218,"3,705,621,800","465,495","1,048,442,800","128,547",드라마,12세이상관람가,독립/예술영화,both
너의췌장을먹고싶어,2018-11-15,"극장판,일본소설원작,췌장암,비밀공유",,1585.0,우시지마 신이치로,,(주)미디어캐슬,(주)넥스트엔터테인먼트월드(NEW),개봉영화,장편,일본,319,"408,562,605","52,161","142,430,905","16,738",애니메이션,12세이상관람가,독립/예술영화,both
대지진,2010-11-04,"지진,가족,쌍둥이,남매",,1558.0,펑샤오강,"당산시 정부,차이나필름그룹,후아이브라더스픽처스",씨제이엔터테인먼트,필라멘트픽쳐스,개봉영화,장편,중국,90,"379,043,639","55,000","119,095,000","16,777",드라마,전체관람가,일반영화,both
대지진,2018-11-29,"아르마니아 대지진,실화바탕,재난영화",,8182.0,사릭 안드레아시안,,(주)퍼스트런,(주)퍼스트런,개봉영화,장편,러시아,1,"2,000",1,"2,000",1,드라마,12세이상관람가,독립/예술영화,both
더데이,2012-02-23,"JYJ,가수,멤버,일상,꿈,우정,현실",,1988.0,백창주,(주)씨제스엔터테인먼트,,롯데쇼핑㈜롯데시네마,개봉영화,장편,한국,30,"192,005,000","24,163","97,169,500","11,890",다큐멘터리,전체관람가,일반영화,both
더데이,2013-04-22,"식인종,지배,미래,생존,사투",,5007.0,더글러스 아니오코스키,,(주)고맙습니다 사랑합니다,(주)고맙습니다 사랑합니다,개봉영화,장편,미국,4,"1,430,000",286,"755,000",151,드라마,청소년관람불가,일반영화,both
딥,2017-10-03,,,961.0,줄리오 소토 거피드,,(주)영화사 빅,(주)이수C&E,개봉영화,장편,스페인,441,"1,746,940,500","226,933","349,568,900","43,492",애니메이션,전체관람가,독립/예술영화,both
딥,2018-09-06,"필리핀,영화감독,국내최초,다이빙",,5078.0,조성규,"(주)영화공장,하준사",,(주)드림팩트엔터테인먼트,개봉영화,장편,한국,9,"1,796,500",248,"1,468,100",181,멜로/로맨스,15세이상관람가,독립/예술영화,both
라이프,2015-10-15,,,2107.0,안톤 코르빈,,(주)프레인글로벌,"(주)영화사오원,(주)프레인글로벌",개봉영화,장편,캐나다,99,"155,668,185","19,596","100,206,485","12,230",드라마,15세이상관람가,독립/예술영화,both
라이프,2017-04-05,,,715.0,다니엘 에스피노사,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,개봉영화,장편,미국,647,"3,786,712,210","459,421","1,188,643,810","139,729",SF,15세이상관람가,일반영화,both
러브,2012-08-09,"톱스타,싱글맘,삼각관계,임신",,4526.0,유승택,,(주)노이에스,(주)에스와이코마드,개봉영화,장편,대만,6,"5,205,500",676,"3,687,500",475,드라마,15세이상관람가,독립/예술영화,both
러브,2017-11-02,,,3660.0,가스파 노에,,판씨네마(주),판씨네마(주),개봉영화,장편,프랑스,27,"16,473,500","2,108","12,383,000","1,561",멜로/로맨스,청소년관람불가,독립/예술영화,both
로빈후드,2010-05-13,,,338.0,리들리 스콧,유니버셜 픽쳐스,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),개봉영화,장편,미국,555,"11,746,340,129","1,596,574","3,818,192,500","492,605",액션,15세이상관람가,일반영화,both
로빈후드,2010-05-13,"13세기,실존인물,전쟁,숲,반란,활,영화제 상영작",,338.0,리들리 스콧,유니버셜 픽쳐스,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),개봉영화,장편,미국,555,"11,746,340,129","1,596,574","3,818,192,500","492,605",액션,15세이상관람가,일반영화,both
마녀,2014-09-11,"공포영화,괴담,내기,마감,사무실,소문,신입사원,회사,보고서,오피스괴담,호러영화",전주국제영화제(2014) : CGV 무비꼴라쥬 창작지원상 - 유영선,2723.0,유영선,주식회사 흰수염고래영화사,,CGV아트하우스,개봉영화,장편,한국,61,"63,500,100","7,880","26,140,700","3,135",공포(호러),청소년관람불가,독립/예술영화,both
마녀,2018-06-27,"의문의사고,오디션프로그램,여고생,유전자조작,뇌",청룡영화상(2018) : 신인여우상 - 김다미|대종상 영화제(2018) : 신인여자배우상 - 김다미|부일영화상(2018) : 신인 여자 연기상 - 김다미|올해의 영화상(2019) : 신인여우상 - 김다미,150.0,박훈정,"(주)영화사 금월,(주)페퍼민트앤컴퍼니",,워너브러더스 코리아(주),개봉영화,장편,한국,"1,117","27,242,029,463","3,189,091","6,459,959,863","732,154",미스터리,15세이상관람가,일반영화,both
