2019-07-04 14:43:18,698 : INFO : EPOCH 3 - PROGRESS: at 40.93% examples, 46209 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:43:19,825 : INFO : EPOCH 3 - PROGRESS: at 42.21% examples, 46232 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:43:20,903 : INFO : EPOCH 3 - PROGRESS: at 43.02% examples, 46172 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:43:21,944 : INFO : EPOCH 3 - PROGRESS: at 43.85% examples, 46290 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:43:23,123 : INFO : EPOCH 3 - PROGRESS: at 44.75% examples, 46421 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:43:24,157 : INFO : EPOCH 3 - PROGRESS: at 45.91% examples, 46462 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:43:25,348 : INFO : EPOCH 3 - PROGRESS: at 46.87% examples, 46272 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:43:26,553 : INFO : EPOCH 3 - PROGRESS: at 47.88% examples, 46348 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:43:27,623 : INFO : EPOCH 3 - PROGRESS: at 48.69% examples, 46373 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:43:28,943 : INFO : EPOCH 3 - PROGRESS: at 49.97% examples, 46168 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:43:29,976 : INFO : EPOCH 3 - PROGRESS: at 50.78% examples, 46305 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:43:31,102 : INFO : EPOCH 3 - PROGRESS: at 51.91% examples, 46428 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:43:32,279 : INFO : EPOCH 3 - PROGRESS: at 52.80% examples, 46337 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:43:33,322 : INFO : EPOCH 3 - PROGRESS: at 54.00% examples, 46527 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:43:34,416 : INFO : EPOCH 3 - PROGRESS: at 54.83% examples, 46561 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:43:35,586 : INFO : EPOCH 3 - PROGRESS: at 56.00% examples, 46583 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:43:36,745 : INFO : EPOCH 3 - PROGRESS: at 56.80% examples, 46645 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:43:37,808 : INFO : EPOCH 3 - PROGRESS: at 57.82% examples, 46681 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:43:38,817 : INFO : EPOCH 3 - PROGRESS: at 58.44% examples, 46645 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:43:39,882 : INFO : EPOCH 3 - PROGRESS: at 59.52% examples, 46732 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:43:41,153 : INFO : EPOCH 3 - PROGRESS: at 60.71% examples, 46613 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:43:42,150 : INFO : EPOCH 3 - PROGRESS: at 61.49% examples, 46789 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:43:43,355 : INFO : EPOCH 3 - PROGRESS: at 62.41% examples, 46845 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:43:44,427 : INFO : EPOCH 3 - PROGRESS: at 63.87% examples, 46929 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:43:45,450 : INFO : EPOCH 3 - PROGRESS: at 64.95% examples, 46787 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:43:46,593 : INFO : EPOCH 3 - PROGRESS: at 66.05% examples, 46857 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:43:47,611 : INFO : EPOCH 3 - PROGRESS: at 66.59% examples, 46877 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:43:48,784 : INFO : EPOCH 3 - PROGRESS: at 67.78% examples, 46923 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:43:49,989 : INFO : EPOCH 3 - PROGRESS: at 68.53% examples, 46903 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:43:51,159 : INFO : EPOCH 3 - PROGRESS: at 70.14% examples, 46926 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:43:52,324 : INFO : EPOCH 3 - PROGRESS: at 71.45% examples, 47026 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:43:53,592 : INFO : EPOCH 3 - PROGRESS: at 72.49% examples, 47097 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:43:54,642 : INFO : EPOCH 3 - PROGRESS: at 73.93% examples, 47136 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:43:55,655 : INFO : EPOCH 3 - PROGRESS: at 74.85% examples, 47220 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:43:57,015 : INFO : EPOCH 3 - PROGRESS: at 76.43% examples, 47127 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:43:58,303 : INFO : EPOCH 3 - PROGRESS: at 77.39% examples, 47148 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:43:59,322 : INFO : EPOCH 3 - PROGRESS: at 78.94% examples, 47326 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:44:00,552 : INFO : EPOCH 3 - PROGRESS: at 79.92% examples, 47246 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:01,755 : INFO : EPOCH 3 - PROGRESS: at 80.79% examples, 47344 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:44:02,987 : INFO : EPOCH 3 - PROGRESS: at 82.01% examples, 47284 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:03,990 : INFO : EPOCH 3 - PROGRESS: at 82.82% examples, 47394 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:05,071 : INFO : EPOCH 3 - PROGRESS: at 83.89% examples, 47445 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:44:06,182 : INFO : EPOCH 3 - PROGRESS: at 84.58% examples, 47383 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:07,379 : INFO : EPOCH 3 - PROGRESS: at 86.13% examples, 47431 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:44:08,445 : INFO : EPOCH 3 - PROGRESS: at 87.26% examples, 47600 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:09,542 : INFO : EPOCH 3 - PROGRESS: at 87.95% examples, 47531 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:10,543 : INFO : EPOCH 3 - PROGRESS: at 89.68% examples, 47608 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:44:11,684 : INFO : EPOCH 3 - PROGRESS: at 90.84% examples, 47639 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:44:12,873 : INFO : EPOCH 3 - PROGRESS: at 91.95% examples, 47612 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:44:14,062 : INFO : EPOCH 3 - PROGRESS: at 93.26% examples, 47704 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:15,331 : INFO : EPOCH 3 - PROGRESS: at 94.39% examples, 47761 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:16,631 : INFO : EPOCH 3 - PROGRESS: at 95.14% examples, 47798 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:44:17,820 : INFO : EPOCH 3 - PROGRESS: at 96.18% examples, 47856 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:18,984 : INFO : EPOCH 3 - PROGRESS: at 97.05% examples, 47902 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:20,328 : INFO : EPOCH 3 - PROGRESS: at 97.91% examples, 47867 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:21,518 : INFO : EPOCH 3 - PROGRESS: at 98.87% examples, 47967 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:44:22,613 : INFO : EPOCH 3 - PROGRESS: at 99.58% examples, 48040 words/s, in_qsize 4, out_qsize 0
2019-07-04 14:44:22,622 : INFO : worker thread finished; awaiting finish of 3 more threads
2019-07-04 14:44:22,874 : INFO : worker thread finished; awaiting finish of 2 more threads
2019-07-04 14:44:23,015 : INFO : worker thread finished; awaiting finish of 1 more threads
2019-07-04 14:44:23,030 : INFO : worker thread finished; awaiting finish of 0 more threads
2019-07-04 14:44:23,030 : INFO : EPOCH - 3 : training on 8650731 raw words (5381313 effective words) took 111.9s, 48094 effective words/s
2019-07-04 14:44:24,030 : INFO : EPOCH 4 - PROGRESS: at 0.60% examples, 38706 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:25,236 : INFO : EPOCH 4 - PROGRESS: at 1.37% examples, 43074 words/s, in_qsize 8, out_qsize 0
